DATE,fievre,toux,diarrhee,difficulté respiratoire,perte gout,perte odorat,fatigue,mal de gorge,courbatures,nez qui coule,mal au ventre,mal au dos,maux de tete,perte appetit,essoufflement,rhinite,agueusie,cephalees,anosmie,vomissements,douleur abdominale,/m/0cjf0,/m/0b76bty,/m/01cdt5,/m/05sfr2,/m/0m7pl
2020-04-17,16,13,44,0,27,34,39,26,0,34,68,66,75,0,0,30,36,0,20,42,0,16,22,21,27,15
2020-04-18,43,18,30,0,0,34,39,35,50,0,27,33,51,0,33,0,0,0,20,0,0,16,13,32,0,10
2020-04-19,33,13,31,0,29,0,59,40,26,36,57,34,44,0,35,0,0,0,0,45,60,23,23,22,0,0
2020-04-20,12,25,0,0,25,0,67,59,23,31,50,45,31,0,30,28,0,0,18,38,0,15,12,20,49,18
2020-04-21,30,21,0,0,0,32,28,24,23,0,38,31,23,0,31,0,0,0,0,40,0,16,20,37,25,9
2020-04-22,12,15,0,0,26,33,31,41,0,33,26,64,40,0,32,29,35,0,0,0,56,12,13,27,38,9
2020-04-23,15,0,28,0,0,0,61,32,24,32,26,0,24,0,0,0,0,0,0,0,0,18,27,24,0,9
2020-04-24,21,21,28,0,26,0,31,0,23,0,26,31,24,0,0,29,0,0,19,0,55,11,19,17,25,14
2020-04-25,27,22,32,0,0,0,37,56,0,37,58,36,41,0,0,32,0,0,21,45,0,18,19,12,0,0
2020-04-26,19,20,33,0,0,0,22,29,28,77,30,37,28,0,0,0,0,0,22,0,0,18,15,0,30,22
2020-04-27,12,18,27,0,0,0,36,0,23,0,25,62,47,0,31,0,34,0,0,0,54,12,8,23,25,9
2020-04-28,19,16,0,29,0,30,27,23,0,0,40,29,45,74,0,27,32,0,0,38,0,14,19,22,0,0
2020-04-29,11,16,27,0,0,31,31,23,22,0,25,59,34,0,0,0,0,0,0,38,52,13,16,19,24,9
2020-04-30,6,16,26,0,24,0,26,45,22,30,72,86,51,0,29,0,32,75,17,37,0,17,11,19,47,9
2020-05-01,16,10,28,0,0,0,33,49,0,66,0,32,32,0,32,0,0,0,0,41,0,13,15,27,25,0
2020-05-02,19,20,29,32,27,0,30,26,25,34,63,98,50,0,0,30,0,86,20,42,58,14,17,21,26,20
2020-05-03,27,11,31,0,0,0,45,45,52,0,100,35,26,0,35,32,0,0,0,0,0,12,30,19,0,10
2020-05-04,24,20,0,0,0,0,57,22,0,30,48,29,55,73,44,0,0,0,26,0,0,17,15,19,23,14
2020-05-05,15,7,25,28,24,0,67,45,22,0,47,76,22,0,0,26,32,74,43,37,50,14,17,15,0,13
2020-05-06,10,26,28,0,26,0,49,48,23,32,64,31,59,0,0,29,0,0,37,0,0,11,14,40,0,19
2020-05-07,15,15,29,32,26,0,42,50,0,34,27,64,24,0,32,29,0,0,19,41,56,11,9,10,26,19
2020-05-08,17,15,29,0,27,34,47,25,0,0,0,0,41,0,33,0,0,0,39,41,0,10,28,21,26,13
2020-05-09,22,11,67,0,0,39,44,30,0,39,62,0,85,95,38,0,0,0,0,49,0,12,17,20,0,0
2020-05-10,20,12,0,0,28,0,67,40,0,0,42,34,26,0,0,31,0,0,0,0,0,12,40,15,55,0
2020-05-11,7,17,0,29,24,0,38,34,0,0,0,29,22,0,0,26,0,0,35,0,51,13,27,22,0,9
2020-05-12,14,17,0,0,25,0,48,47,23,62,50,61,0,0,31,28,0,0,0,0,0,11,16,20,24,14
2020-05-13,9,17,27,30,49,0,32,0,23,32,25,30,45,0,0,0,0,0,18,0,53,12,24,16,24,14
2020-05-14,6,11,27,0,26,0,57,24,0,49,34,31,23,0,31,0,0,0,19,40,0,11,6,10,25,9
2020-05-15,8,20,29,0,27,0,21,25,24,34,27,0,25,0,32,0,0,0,0,42,0,15,22,21,0,10
2020-05-16,14,17,0,0,0,0,48,57,0,0,30,37,28,0,0,34,40,0,0,47,0,12,27,20,30,11
2020-05-17,12,17,0,0,0,39,29,58,28,39,31,38,0,0,38,34,0,0,0,48,0,15,12,24,31,0
2020-05-18,28,14,41,0,26,0,29,24,35,0,38,0,55,0,0,0,0,0,0,0,0,13,16,17,25,12
2020-05-19,18,11,0,0,26,0,62,0,24,0,43,63,24,0,32,29,0,0,19,82,0,16,17,15,0,10
2020-05-20,9,15,29,0,0,0,25,25,24,0,27,48,25,0,0,0,0,0,0,41,0,8,19,10,0,0
2020-05-21,21,13,0,36,0,0,34,29,28,0,61,37,42,0,0,34,0,0,22,48,0,13,17,24,30,17
2020-05-22,22,29,28,0,0,0,29,37,0,0,39,48,0,0,0,0,35,0,38,0,0,13,6,20,25,9
2020-05-23,18,8,30,0,0,35,63,35,26,36,28,34,26,0,51,0,0,0,0,0,0,10,16,17,28,0
2020-05-24,16,13,30,0,42,35,40,26,26,0,42,34,34,0,0,31,0,0,0,43,0,15,27,33,27,10
2020-05-25,16,7,0,61,0,0,32,24,0,0,50,30,23,0,31,28,0,0,0,0,0,11,18,20,25,9
2020-05-26,10,7,28,0,0,0,25,37,24,33,39,32,0,0,32,0,0,0,0,0,0,12,12,17,0,9
2020-05-27,12,14,0,0,0,0,41,24,23,0,0,31,24,79,0,0,0,0,0,81,0,12,14,17,0,9
2020-05-28,10,18,0,0,26,0,37,24,0,32,34,41,24,0,31,28,0,0,19,0,0,12,8,25,25,9
2020-05-29,12,10,0,0,27,33,30,51,0,51,27,32,37,0,33,30,0,0,0,0,0,9,17,26,26,10
2020-05-30,17,8,33,0,0,0,29,48,28,38,31,0,28,0,37,67,41,0,0,0,0,14,20,42,30,0
2020-05-31,19,14,33,37,31,0,58,29,28,39,41,37,38,0,0,34,0,0,0,0,65,21,20,36,0,0
2020-06-01,17,12,31,0,28,35,50,27,39,36,47,69,52,0,0,63,0,0,0,0,0,9,32,19,0,10
2020-06-02,17,7,0,30,0,31,51,0,34,63,33,0,34,0,0,27,0,0,18,0,0,12,12,23,0,9
2020-06-03,20,11,0,0,23,0,48,22,21,0,35,0,32,0,0,0,0,0,0,0,0,14,15,18,23,8
2020-06-04,9,18,36,0,0,0,35,42,0,0,37,36,41,0,0,24,0,0,16,34,0,11,12,17,0,8
2020-06-05,13,6,24,27,0,0,40,29,21,0,91,28,42,0,0,0,0,0,0,54,0,10,20,9,22,8
2020-06-06,13,11,0,0,27,34,47,0,0,34,45,33,37,0,33,30,36,0,0,0,0,10,9,11,26,10
2020-06-07,6,8,0,0,0,0,61,77,0,34,27,67,25,0,0,0,0,0,0,0,58,7,15,11,0,10
2020-06-08,5,9,36,0,0,0,32,21,41,0,45,0,21,0,0,0,0,0,0,0,48,10,20,26,22,0
2020-06-09,9,10,0,0,23,29,52,0,21,0,39,28,29,0,0,26,0,0,17,0,49,10,15,18,0,8
2020-06-10,6,9,0,89,0,0,31,23,23,0,25,30,23,0,30,0,0,0,0,38,0,8,12,29,0,13
2020-06-11,8,14,27,0,0,0,47,47,0,0,25,30,0,0,30,28,33,0,0,77,0,15,16,29,0,9
2020-06-12,6,14,0,0,0,0,45,0,23,33,51,0,47,0,31,0,0,0,0,100,55,12,12,17,0,0
2020-06-13,19,14,0,0,0,0,29,43,0,0,61,37,56,94,37,34,0,0,22,47,0,15,20,24,0,0
2020-06-14,10,8,32,0,0,0,42,28,27,0,29,53,27,0,0,32,0,0,21,0,0,13,19,17,58,0
2020-06-15,11,13,26,29,0,0,46,23,0,31,41,44,22,0,0,0,0,0,0,38,52,14,16,24,0,9
2020-06-16,16,7,0,0,0,0,60,33,21,0,35,29,29,0,0,0,0,0,0,37,100,15,13,43,46,0
2020-06-17,8,10,26,28,0,0,45,34,0,30,72,0,29,0,0,40,32,0,17,0,0,13,21,12,23,13
2020-06-18,14,9,0,30,0,0,35,0,0,31,0,30,23,0,30,0,0,0,0,0,0,13,28,19,0,0
2020-06-19,12,12,29,0,0,0,44,25,0,50,26,0,0,0,32,0,0,0,19,42,0,14,11,26,0,10
2020-06-20,11,9,0,0,0,0,54,44,0,40,47,57,38,0,38,35,42,0,0,73,0,15,25,18,31,0
2020-06-21,11,16,32,0,29,0,89,0,27,37,29,54,45,91,36,33,0,0,0,0,63,12,26,12,0,0
2020-06-22,16,26,0,0,0,0,49,36,35,32,51,62,24,0,0,28,0,0,0,0,0,13,21,20,0,19
2020-06-23,13,12,29,0,0,0,38,25,49,34,27,65,49,0,0,0,0,0,0,0,57,12,19,18,0,0
2020-06-24,11,13,59,33,28,0,26,77,25,35,41,33,25,0,0,0,0,0,0,0,58,9,31,16,27,0
2020-06-25,16,11,29,0,0,0,26,26,0,34,45,33,25,0,0,30,0,86,0,0,58,11,20,11,26,0
2020-06-26,19,7,0,0,0,0,47,0,0,34,27,32,0,0,0,30,0,0,19,42,0,11,11,10,0,10
2020-06-27,19,17,32,0,0,0,57,0,0,38,30,0,28,0,91,100,0,0,0,94,0,15,26,19,0,11
2020-06-28,20,16,30,0,0,0,27,54,26,0,56,57,39,0,0,31,0,0,0,44,0,12,16,11,0,10
2020-06-29,14,12,0,0,0,0,36,32,0,0,0,46,23,0,31,57,0,0,19,0,0,14,27,10,0,14
2020-06-30,18,18,28,31,0,0,57,24,35,49,26,31,47,0,0,0,34,0,19,0,0,13,21,15,0,18
2020-07-01,16,12,27,0,0,0,89,72,35,32,38,62,0,0,0,0,0,0,0,40,0,16,25,10,0,0
2020-07-02,14,7,0,0,0,0,63,37,0,0,40,48,24,0,32,0,0,0,19,41,0,11,36,26,0,10
2020-07-03,15,15,31,0,0,0,40,40,0,36,47,34,26,0,0,31,37,0,0,0,60,8,25,33,0,0
2020-07-04,14,25,49,37,0,0,51,29,0,39,61,37,0,0,0,34,0,0,0,95,0,14,12,18,30,0
2020-07-05,21,8,32,0,0,0,56,28,0,38,74,36,27,0,0,33,0,0,0,46,0,11,19,23,0,0
2020-07-06,17,22,28,0,0,33,55,25,24,68,27,32,37,0,0,29,0,0,19,0,0,11,6,31,0,10
2020-07-07,16,10,0,0,0,0,86,0,0,0,28,0,0,0,0,61,0,0,0,43,0,15,20,16,0,10
2020-07-08,10,18,28,32,0,0,55,25,24,33,40,80,0,0,32,29,0,84,0,0,0,11,19,10,0,10
2020-07-09,20,10,0,0,0,0,31,40,26,0,56,34,26,0,0,0,0,0,0,0,0,13,25,11,0,10
2020-07-10,29,8,31,0,0,0,64,0,26,0,29,35,54,90,0,0,0,0,0,45,61,13,26,28,0,11
2020-07-11,26,10,0,0,34,0,59,48,31,44,68,0,47,0,84,0,0,0,0,0,0,13,11,26,0,0
2020-07-12,21,13,37,0,0,0,44,49,0,43,51,0,31,0,41,0,0,0,0,0,0,10,33,20,0,0
2020-07-13,20,8,31,0,0,0,41,27,26,0,0,70,40,0,0,0,39,0,0,0,0,10,14,28,0,0
2020-07-14,23,11,29,0,54,0,48,0,25,35,41,33,50,0,100,0,0,0,0,0,58,13,18,16,0,0
2020-07-15,18,18,0,0,0,0,49,40,26,0,57,34,26,0,0,31,0,0,0,0,60,17,25,11,55,0
2020-07-16,9,18,30,0,28,0,31,40,25,35,28,34,26,0,34,46,0,0,0,44,0,12,22,22,0,10
2020-07-17,12,14,67,0,0,0,44,29,28,39,31,0,29,0,0,0,42,0,23,0,0,15,20,18,30,11
2020-07-18,13,20,39,0,0,0,58,34,100,0,37,0,50,0,44,0,0,0,0,0,0,11,15,19,0,0
2020-07-19,16,15,37,0,0,0,100,33,32,89,35,43,64,0,0,0,0,0,0,0,0,19,28,28,0,13
2020-07-20,18,9,0,0,0,0,39,58,28,39,62,37,43,95,0,0,0,0,0,48,0,13,22,24,0,17
2020-07-21,21,23,0,0,34,0,38,32,0,57,34,41,31,0,0,38,0,0,0,53,0,18,30,22,33,0
2020-07-22,17,17,33,0,0,38,53,57,84,0,31,0,56,0,0,34,0,0,0,0,0,20,27,18,30,11
2020-07-23,17,13,33,0,31,0,68,44,28,0,62,37,0,0,0,34,0,0,22,0,0,18,25,12,0,11
2020-07-24,9,14,0,0,30,0,38,43,55,38,30,37,37,0,36,0,0,0,22,0,64,18,17,18,0,11
2020-07-25,23,18,35,0,0,0,52,62,0,42,0,0,0,0,0,37,0,0,0,0,70,19,34,25,0,23
2020-07-26,18,36,35,0,0,0,31,77,30,41,0,79,30,100,0,36,0,0,0,51,0,16,37,13,32,12
2020-07-27,22,19,30,0,0,0,44,53,25,0,42,34,26,87,34,62,0,0,0,0,0,20,32,44,27,10
2020-07-28,7,11,31,0,0,0,65,41,26,73,73,35,0,0,35,32,0,0,0,0,62,10,28,30,0,32
2020-07-29,18,21,0,0,30,0,53,28,0,0,30,37,28,0,37,67,0,0,0,0,0,17,19,28,0,11
2020-07-30,18,13,33,0,0,0,49,29,28,39,30,37,0,95,37,0,0,0,0,0,65,16,29,16,0,11
2020-07-31,14,13,0,0,0,0,69,59,28,39,47,76,28,0,38,0,0,0,23,48,0,11,20,24,0,11
2020-08-01,17,9,0,0,32,40,68,45,0,41,32,0,29,0,0,0,0,0,0,0,0,13,15,12,0,12
2020-08-02,19,9,100,37,31,0,39,29,0,40,47,38,57,0,38,0,42,0,0,48,0,12,32,24,30,11
2020-08-03,11,15,29,0,0,0,56,34,0,34,41,33,25,0,33,0,0,0,0,0,58,15,22,21,26,10
2020-08-04,22,16,0,0,0,0,36,26,25,0,28,45,26,0,0,0,0,0,0,43,0,15,27,22,28,10
2020-08-05,11,16,31,0,0,0,41,68,0,73,29,70,27,0,0,0,0,0,21,0,0,13,21,22,28,10
2020-08-06,11,0,0,70,29,0,46,41,53,0,44,35,27,0,0,0,39,0,0,45,0,11,23,11,57,11
2020-08-07,21,8,0,0,0,0,35,42,27,38,30,36,0,0,0,66,0,95,0,0,0,10,19,23,0,11
2020-08-08,15,18,69,0,32,0,30,61,29,41,80,39,59,0,0,35,0,0,23,50,0,12,16,12,31,12
2020-08-09,19,9,34,0,0,0,30,59,0,39,31,38,29,0,38,0,0,0,0,0,0,17,10,20,31,11
2020-08-10,15,11,87,0,0,0,32,26,0,0,45,0,25,0,33,0,0,0,0,42,58,11,28,28,0,10
