date,/m/01c751
2020-12-22,3.9926830707290235
2020-12-23,3.856414023946463
2020-12-24,5.205477587093813
2020-12-25,8.639457566014338
2020-12-26,8.162515902275375
2020-12-27,11.473853739091597
2020-12-28,4.060817594120303
2020-12-29,4.333355687685425
2020-12-30,4.537759257859265
2020-12-31,8.108008283562352
2021-01-01,7.467543763684317
2021-01-02,5.096462349667764
2021-01-03,3.2023225993901727
2021-01-04,3.9790561660507673
2021-01-05,2.180304748520969
2021-01-06,5.150969968380787
2021-01-07,3.910921642659487
2021-01-08,5.777807583580566
2021-01-09,2.7253809356512106
2021-01-10,6.827079243806282
2021-01-11,2.1394240344862
2021-01-12,7.085990432693147
2021-01-13,3.4884875976335494
2021-01-14,5.300865919841605
2021-01-15,4.101698308155072
2021-01-16,6.363764484745577
2021-01-17,6.050345677145687
2021-01-18,5.546150204050215
2021-01-19,7.780962571284205
2021-01-20,6.227495437963015
2021-01-21,3.0933073619641243
2021-01-22,5.873195916328359
2021-01-23,3.62475664441611
2021-01-24,5.859569011650103
2021-01-25,3.583875930381342
2021-01-26,2.4255890327295777
2021-01-27,3.052426647929356
2021-01-28,3.9926830707290235
2021-01-29,2.2211854625557366
2021-01-30,5.995838058432663
2021-01-31,5.001074016919971
2021-02-01,1.1174061836169962
2021-02-02,4.060817594120303
2021-02-03,4.483251639146242
2021-02-04,2.180304748520969
2021-02-05,2.4937235561208575
2021-02-06,1.7987514175297987
2021-02-07,1.022017850869204
2021-02-08,1.4853326099299098
2021-02-09,2.957038315181563
2021-02-10,2.2211854625557366
2021-02-11,1.267302135077813
2021-02-12,2.6708733169381866
2021-02-13,2.957038315181563
2021-02-14,3.2704571227814525
2021-02-15,0.8448680900518752
2021-02-16,2.1394240344862
2021-02-17,2.7526347450077226
2021-02-18,3.883667833302975
2021-02-19,2.6845002216164424
2021-02-20,3.7337718818421584
2021-02-21,4.796670446746131
2021-02-22,3.0796804572858676
2021-02-23,5.055581635632995
2021-02-24,2.3983352233730657
2021-02-25,2.6027387935469064
2021-02-26,1.3626904678256053
