date,/m/0g9pc
2021-03-21,0.0
2021-03-22,12.994934946622402
2021-03-23,7.841771088479036
2021-03-24,2.6886072303356694
2021-03-25,5.601265063199311
2021-03-26,11.202530126398623
2021-03-27,2.912657832863642
2021-03-28,3.1367084353916144
2021-03-29,10.97847952387065
2021-03-30,5.377214460671339
2021-03-31,12.994934946622402
2021-04-01,8.513922896062953
2021-04-02,0.0
2021-04-03,6.049366268255256
2021-04-04,0.0
2021-04-05,0.0
2021-04-06,4.481012050559449
2021-04-07,0.0
2021-04-08,4.929113255615394
2021-04-09,0.0
2021-04-10,5.601265063199311
2021-04-11,0.0
2021-04-12,0.0
2021-04-13,5.153163858143366
2021-04-14,7.841771088479036
2021-04-15,10.530378318814705
2021-04-16,5.377214460671339
2021-04-17,2.912657832863642
2021-04-18,2.6886072303356694
2021-04-19,2.464556627807697
2021-04-20,2.6886072303356694
2021-04-21,0.0
2021-04-22,2.6886072303356694
2021-04-23,2.6886072303356694
2021-04-24,2.912657832863642
2021-04-25,0.0
2021-04-26,7.169619280895119
2021-04-27,5.153163858143366
2021-04-28,2.464556627807697
2021-04-29,4.929113255615394
2021-04-30,0.0
2021-05-01,5.153163858143366
2021-05-02,5.153163858143366
2021-05-03,7.617720485951064
2021-05-04,0.0
2021-05-05,2.464556627807697
2021-05-06,4.929113255615394
2021-05-07,0.0
2021-05-08,5.601265063199311
2021-05-09,5.825315665727284
2021-05-10,7.169619280895119
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,2.6886072303356694
2021-05-14,0.0
2021-05-15,6.558548841440152
2021-05-16,4.925291542404472
2021-05-17,5.094592841973322
