date,/m/0lbt3
2021-02-09,11.420555487498625
2021-02-10,11.420555487498625
2021-02-11,17.51151841416456
2021-02-12,76.13703658332417
2021-02-13,12.181925853331867
2021-02-14,6.0909629266659335
2021-02-15,11.420555487498625
2021-02-16,11.420555487498625
2021-02-17,11.420555487498625
2021-02-18,6.0909629266659335
2021-02-19,18.2728887799978
2021-02-20,40.35262938916181
2021-02-21,39.59125902332857
2021-02-22,26.64796280416346
2021-02-23,0.0
2021-02-24,29.693444267496425
2021-02-25,12.181925853331867
2021-02-26,6.0909629266659335
2021-02-27,31.97755536499615
2021-02-28,45.6822219499945
2021-03-01,12.181925853331867
2021-03-02,12.181925853331867
2021-03-03,18.2728887799978
2021-03-04,12.181925853331867
2021-03-05,6.0909629266659335
2021-03-06,37.30714792582884
2021-03-07,25.125222072496975
2021-03-08,29.693444267496425
2021-03-09,23.602481340830494
2021-03-10,6.0909629266659335
2021-03-11,12.181925853331867
2021-03-12,25.125222072496975
2021-03-13,6.0909629266659335
2021-03-14,29.693444267496425
2021-03-15,37.30714792582884
2021-03-16,31.21618499916291
2021-03-17,23.602481340830494
2021-03-18,28.932073901663184
2021-03-19,23.602481340830494
2021-03-20,12.94329621916511
2021-03-21,19.034259145831044
2021-03-22,23.602481340830494
2021-03-23,17.51151841416456
2021-03-24,18.2728887799978
2021-03-25,12.181925853331867
2021-03-26,12.181925853331867
2021-03-27,19.795629511664284
2021-03-28,26.64796280416346
2021-03-29,35.78440719416236
2021-03-30,12.181925853331867
2021-03-31,17.51151841416456
2021-04-01,6.0909629266659335
2021-04-02,25.125222072496975
2021-04-03,19.795629511664284
2021-04-04,6.0909629266659335
2021-04-05,12.94329621916511
2021-04-06,25.125222072496975
2021-04-07,10.659185121665384
2021-04-08,28.170703535829944
2021-04-09,5.329592560832692
2021-04-10,0.0
2021-04-11,11.420555487498625
2021-04-12,31.97755536499615
2021-04-13,11.420555487498625
2021-04-14,11.420555487498625
2021-04-15,40.35262938916181
2021-04-16,11.420555487498625
2021-04-17,29.693444267496425
2021-04-18,25.125222072496975
2021-04-19,17.51151841416456
2021-04-20,22.84111097499725
2021-04-21,16.75014804833132
2021-04-22,17.51151841416456
2021-04-23,24.363851706663734
2021-04-24,32.73892573082939
2021-04-25,19.034259145831044
2021-04-26,15.227407316664834
2021-04-27,31.97755536499615
2021-04-28,21.31837024333077
2021-04-29,10.659185121665384
2021-04-30,15.988777682498075
2021-05-01,10.659185121665384
2021-05-02,6.0909629266659335
2021-05-03,6.0909629266659335
2021-05-04,28.170703535829944
2021-05-05,22.07974060916401
2021-05-06,28.932073901663184
2021-05-07,24.363851706663734
2021-05-08,12.94329621916511
2021-05-09,18.2728887799978
2021-05-10,9.897814755832142
2021-05-11,10.659185121665384
2021-05-12,6.0909629266659335
2021-05-13,19.034259145831044
2021-05-14,18.2728887799978
2021-05-15,48.72770341332747
2021-05-16,6.0909629266659335
2021-05-17,5.329592560832692
2021-05-18,11.420555487498625
2021-05-19,29.693444267496425
2021-05-20,6.0909629266659335
2021-05-21,6.0909629266659335
2021-05-22,19.795629511664284
2021-05-23,26.64796280416346
2021-05-24,17.51151841416456
2021-05-25,18.2728887799978
2021-05-26,23.602481340830494
2021-05-27,12.181925853331867
2021-05-28,6.0909629266659335
2021-05-29,20.556999877497525
2021-05-30,16.523137360935166
2021-05-31,18.350085882144256
