date,/m/0g9pc
2021-01-25,2.2245021586360005
2021-01-26,3.640094441404365
2021-01-27,4.145663113821637
2021-01-28,5.055686724172729
2021-01-29,2.3256158931194553
2021-01-30,4.449004317272001
2021-01-31,3.4378669724374555
2021-02-01,4.449004317272001
2021-02-02,5.8645966000403655
2021-02-03,2.2245021586360005
2021-02-04,4.6512317862389105
2021-02-05,1.415592282768364
2021-02-06,1.5167060172518187
2021-02-07,2.9322983000201828
2021-02-08,3.640094441404365
2021-02-09,3.640094441404365
2021-02-10,1.415592282768364
2021-02-11,2.831184565536728
2021-02-12,3.3367532379540012
2021-02-13,2.0222746896690915
2021-02-14,3.7412081758878193
2021-02-15,3.7412081758878193
2021-02-16,3.7412081758878193
2021-02-17,2.42672962760291
2021-02-18,4.347890582788547
2021-02-19,2.9322983000201828
2021-02-20,2.1233884241525462
2021-02-21,1.0111373448345458
2021-02-22,2.628957096569819
2021-02-23,2.3256158931194553
2021-02-24,2.3256158931194553
2021-02-25,2.42672962760291
2021-02-26,2.3256158931194553
2021-02-27,1.921160955185637
2021-02-28,3.0334120345036375
2021-03-01,3.7412081758878193
2021-03-02,2.3256158931194553
2021-03-03,4.044549379338183
2021-03-04,1.921160955185637
2021-03-05,3.3367532379540012
2021-03-06,2.628957096569819
2021-03-07,5.055686724172729
2021-03-08,0.9100236103510912
2021-03-09,1.921160955185637
2021-03-10,3.3367532379540012
2021-03-11,1.921160955185637
2021-03-12,3.3367532379540012
2021-03-13,5.055686724172729
2021-03-14,1.921160955185637
2021-03-15,2.9322983000201828
2021-03-16,4.2467768483050925
2021-03-17,2.7300708310532737
2021-03-18,2.831184565536728
2021-03-19,1.5167060172518187
2021-03-20,2.628957096569819
2021-03-21,2.628957096569819
2021-03-22,3.7412081758878193
2021-03-23,1.921160955185637
2021-03-24,2.9322983000201828
2021-03-25,5.359027927623092
2021-03-26,1.5167060172518187
2021-03-27,2.1233884241525462
2021-03-28,3.4378669724374555
2021-03-29,4.449004317272001
2021-03-30,3.4378669724374555
2021-03-31,3.3367532379540012
2021-04-01,1.921160955185637
2021-04-02,3.0334120345036375
2021-04-03,2.1233884241525462
2021-04-04,4.449004317272001
2021-04-05,1.5167060172518187
2021-04-06,1.213364813801455
2021-04-07,2.628957096569819
2021-04-08,2.7300708310532737
2021-04-09,3.9434356448547287
2021-04-10,1.5167060172518187
2021-04-11,2.42672962760291
2021-04-12,2.628957096569819
2021-04-13,3.2356395034705465
2021-04-14,4.2467768483050925
2021-04-15,1.0111373448345458
2021-04-16,1.0111373448345458
2021-04-17,3.134525768987092
2021-04-18,1.5167060172518187
2021-04-19,1.921160955185637
2021-04-20,2.42672962760291
2021-04-21,4.145663113821637
2021-04-22,2.0222746896690915
2021-04-23,2.5278433620863643
2021-04-24,2.7300708310532737
2021-04-25,0.5055686724172729
2021-04-26,2.5278433620863643
2021-04-27,4.85345925520582
2021-04-28,2.628957096569819
2021-04-29,2.628957096569819
