date,/m/0g9pc
2021-02-06,3.206945819825131
2021-02-07,4.904740665614906
2021-02-08,4.716096793860487
2021-02-09,5.093384537369325
2021-02-10,3.0183019480707114
2021-02-11,3.3955896915795503
2021-02-12,3.3955896915795503
2021-02-13,4.904740665614906
2021-02-14,4.150165178597228
2021-02-15,4.716096793860487
2021-02-16,5.093384537369325
2021-02-17,3.0183019480707114
2021-02-18,3.0183019480707114
2021-02-19,4.904740665614906
2021-02-20,4.716096793860487
2021-02-21,7.16846712666794
2021-02-22,5.847960024387003
2021-02-23,3.58423356333397
2021-02-24,4.338809050351648
2021-02-25,3.58423356333397
2021-02-26,3.3955896915795503
2021-02-27,3.206945819825131
2021-02-28,5.6593161526325835
2021-03-01,5.093384537369325
2021-03-02,1.8864387175441946
2021-03-03,2.8296580763162917
2021-03-04,5.470672280878165
2021-03-05,4.527452922106067
2021-03-06,3.961521306842809
2021-03-07,3.58423356333397
2021-03-08,6.97982325491352
2021-03-09,4.338809050351648
2021-03-10,2.075082589298614
2021-03-11,2.8296580763162917
2021-03-12,6.413891639650262
2021-03-13,3.0183019480707114
2021-03-14,4.527452922106067
2021-03-15,4.150165178597228
2021-03-16,3.58423356333397
2021-03-17,4.716096793860487
2021-03-18,4.716096793860487
2021-03-19,3.772877435088389
2021-03-20,2.8296580763162917
2021-03-21,3.58423356333397
2021-03-22,2.8296580763162917
2021-03-23,4.338809050351648
2021-03-24,1.5091509740353557
2021-03-25,4.904740665614906
2021-03-26,5.6593161526325835
2021-03-27,2.6410142045618725
2021-03-28,3.3955896915795503
2021-03-29,5.282028409123745
2021-03-30,3.772877435088389
2021-03-31,4.904740665614906
2021-04-01,3.961521306842809
2021-04-02,0.7545754870176778
2021-04-03,3.3955896915795503
2021-04-04,4.527452922106067
2021-04-05,3.0183019480707114
2021-04-06,2.452370332807453
2021-04-07,1.8864387175441946
2021-04-08,2.8296580763162917
2021-04-09,2.075082589298614
2021-04-10,2.452370332807453
2021-04-11,5.6593161526325835
2021-04-12,2.452370332807453
2021-04-13,4.904740665614906
2021-04-14,3.58423356333397
2021-04-15,2.6410142045618725
2021-04-16,2.2637264610530337
2021-04-17,2.452370332807453
2021-04-18,4.904740665614906
2021-04-19,2.452370332807453
2021-04-20,2.2637264610530337
2021-04-21,2.8296580763162917
2021-04-22,2.452370332807453
2021-04-23,3.961521306842809
2021-04-24,1.1318632305265168
2021-04-25,3.772877435088389
2021-04-26,3.772877435088389
2021-04-27,3.961521306842809
2021-04-28,5.470672280878165
2021-04-29,2.452370332807453
2021-04-30,3.772877435088389
2021-05-01,2.452370332807453
2021-05-02,2.8296580763162917
2021-05-03,3.772877435088389
2021-05-04,4.150165178597228
2021-05-05,3.0183019480707114
2021-05-06,3.961521306842809
2021-05-07,1.5091509740353557
2021-05-08,3.206945819825131
2021-05-09,4.150165178597228
2021-05-10,3.206945819825131
2021-05-11,2.075082589298614
2021-05-12,3.0183019480707114
2021-05-13,2.075082589298614
2021-05-14,1.5091509740353557
2021-05-15,2.927608307551565
2021-05-16,2.5887044073007157
