date,/m/0g9pc
2020-12-20,4.076948305593053
2020-12-21,7.134659534787842
2020-12-22,2.8056418447091973
2020-12-23,0.35070523058864966
2020-12-24,4.241341382431482
2020-12-25,2.301503075738014
2020-12-26,5.172902151182583
2020-12-27,0.9863584610305772
2020-12-28,1.304185076251541
2020-12-29,2.0603932297083163
2020-12-30,1.0521156917659489
2020-12-31,2.2576649219144325
2021-01-01,3.8467979980192517
2021-01-02,4.011191074857681
2021-01-03,1.5452949222812375
2021-01-04,2.652208306326663
2021-01-05,0.3397456921327544
2021-01-06,3.43033553669523
2021-01-07,4.778358766770352
2021-01-08,1.5781735376489237
2021-01-09,1.4247399992663896
2021-01-10,2.279583998826223
2021-01-11,0.6027746150742417
2021-01-12,2.6850869216943494
2021-01-13,2.1151909219877933
2021-01-14,4.811237382138038
2021-01-15,2.553572460223606
2021-01-16,2.4658961525764425
2021-01-17,1.2384278455161692
2021-01-18,0.7890867688244618
2021-01-19,1.3480232300751223
2021-01-20,1.4795376915458658
2021-01-21,1.2384278455161692
2021-01-22,0.8219653841921477
2021-01-23,1.7425666144873528
2021-01-24,1.7754452298550394
2021-01-25,0.0
2021-01-26,5.271537997285641
2021-01-27,3.419375998239335
2021-01-28,3.8687170749310416
2021-01-29,0.2959075383091732
2021-01-30,3.8906361518428327
2021-01-31,2.1699886142672704
2021-02-01,1.841202460590411
2021-02-02,2.279583998826223
2021-02-03,1.2384278455161692
2021-02-04,3.6056881519895545
2021-02-05,4.767399228314457
2021-02-06,3.4632141520629163
2021-02-07,2.345341229561595
2021-02-08,0.3178266152209638
2021-02-09,5.107144920447212
2021-02-10,1.7096879991196674
2021-02-11,6.225017842948532
2021-02-12,1.8960001528698875
2021-02-13,1.1069133840454255
2021-02-14,1.7535261529432484
2021-02-15,1.2822659993397503
2021-02-16,1.6548903068401906
2021-02-17,3.002913536915313
2021-02-18,2.290543537282119
2021-02-19,3.660485844269031
2021-02-20,2.0055955374288406
2021-02-21,0.3178266152209638
2021-02-22,2.224786306546746
2021-02-23,5.216740305006164
2021-02-24,4.372855843902226
2021-02-25,3.1015493830183707
2021-02-26,2.7618036908856167
2021-02-27,1.161711076324902
2021-02-28,2.52069384485592
2021-03-01,5.293457074197432
2021-03-02,1.6439307683842954
2021-03-03,4.909873228241096
2021-03-04,2.0384741527965264
2021-03-05,1.0849943071336352
2021-03-06,0.0
2021-03-07,1.8740810759580973
2021-03-08,3.572809536621869
2021-03-09,2.739884613973826
2021-03-10,2.1480695373554797
2021-03-11,3.901595690298728
2021-03-12,1.304185076251541
2021-03-13,2.52069384485592
2021-03-14,0.3835838459563356
2021-03-15,0.4493410766917073
2021-03-16,2.8933181523563603
2021-03-17,1.5781735376489237
2021-03-18,1.0082775379423676
2021-03-19,1.2603469224279598
2021-03-20,2.498774767944129
2021-03-21,2.389179383385176
2021-03-22,1.885040614413992
2021-03-23,3.1344279983860566
2021-03-24,0.7781272303685665
2021-03-25,1.7864047683109345
2021-03-26,3.287861536768591
2021-03-27,2.7070059986061397
2021-03-28,1.9727169220611545
2021-03-29,1.1836301532366929
2021-03-30,0.975398922574682
2021-03-31,1.5452949222812375
2021-04-01,0.6466127688978228
2021-04-02,1.5343353838253424
2021-04-03,2.422057998752862
2021-04-04,1.161711076324902
2021-04-05,1.0849943071336352
2021-04-06,1.0959538455895304
2021-04-07,1.2165087686043787
2021-04-08,1.9288787682375736
2021-04-09,1.4356995377222848
2021-04-10,1.1945896916925878
2021-04-11,2.9261967677240452
2021-04-12,1.4904972300017612
2021-04-13,2.213826768090851
2021-04-14,1.304185076251541
2021-04-15,2.027514614340631
2021-04-16,1.7535261529432484
2021-04-17,1.5781735376489237
2021-04-18,2.8385204600768836
2021-04-19,0.5479769227947652
2021-04-20,5.118104458903106
2021-04-21,2.6960464601502445
2021-04-22,0.0
2021-04-23,3.211144767577324
2021-04-24,1.885040614413992
2021-04-25,2.312462614193908
2021-04-26,2.498774767944129
2021-04-27,2.4878152294882336
2021-04-28,4.1536650747843185
2021-04-29,1.7425666144873528
2021-04-30,2.224786306546746
