date,/m/01c751
2021-02-06,3.44150246810729
2021-02-07,10.754695212835282
2021-02-08,6.452817127701169
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-13,7.743380553241403
2021-02-14,3.8716902766207015
2021-02-15,9.89431959580846
2021-02-16,6.88300493621458
2021-02-17,0.0
2021-02-18,0.0
2021-02-19,3.44150246810729
2021-02-20,4.3018780851341125
2021-02-21,8.173568361754814
2021-02-22,3.44150246810729
2021-02-23,3.44150246810729
2021-02-24,3.44150246810729
2021-02-25,3.44150246810729
2021-02-26,3.44150246810729
2021-02-27,11.615070829862104
2021-02-28,11.184883021348693
2021-03-01,3.44150246810729
2021-03-02,10.754695212835282
2021-03-03,6.88300493621458
2021-03-04,0.0
2021-03-05,3.44150246810729
2021-03-06,3.8716902766207015
2021-03-07,3.8716902766207015
2021-03-08,6.88300493621458
2021-03-09,6.452817127701169
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,3.44150246810729
2021-03-15,2.5811268510804677
2021-03-16,0.0
2021-03-17,6.88300493621458
2021-03-18,3.44150246810729
2021-03-19,7.313192744727991
2021-03-20,8.173568361754814
2021-03-21,11.184883021348693
2021-03-22,20.21882700013033
2021-03-23,3.44150246810729
2021-03-24,3.44150246810729
2021-03-25,10.32450740432187
2021-03-26,3.44150246810729
2021-03-27,11.184883021348693
2021-03-28,8.173568361754814
2021-03-29,3.44150246810729
2021-03-30,3.8716902766207015
2021-03-31,0.0
2021-04-01,0.0
2021-04-02,7.313192744727991
2021-04-03,0.0
2021-04-04,3.8716902766207015
2021-04-05,0.0
2021-04-06,3.44150246810729
2021-04-07,0.0
2021-04-08,0.0
2021-04-09,6.88300493621458
2021-04-10,6.88300493621458
2021-04-11,0.0
2021-04-12,6.452817127701169
2021-04-13,0.0
2021-04-14,3.44150246810729
2021-04-15,10.32450740432187
2021-04-16,10.754695212835282
2021-04-17,3.8716902766207015
2021-04-18,3.8716902766207015
2021-04-19,0.0
2021-04-20,3.44150246810729
2021-04-21,3.44150246810729
2021-04-22,7.313192744727991
2021-04-23,3.8716902766207015
2021-04-24,3.8716902766207015
2021-04-25,7.743380553241403
2021-04-26,3.44150246810729
2021-04-27,6.88300493621458
2021-04-28,3.44150246810729
2021-04-29,9.89431959580846
2021-04-30,0.0
2021-05-01,7.743380553241403
2021-05-02,0.0
2021-05-03,9.89431959580846
2021-05-04,6.452817127701169
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,6.88300493621458
2021-05-08,7.313192744727991
2021-05-09,3.8716902766207015
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,3.44150246810729
2021-05-14,0.0
2021-05-15,3.8716902766207015
2021-05-16,0.0
2021-05-17,3.44150246810729
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,0.0
2021-05-23,3.8716902766207015
2021-05-24,3.44150246810729
2021-05-25,0.0
2021-05-26,0.0
2021-05-27,3.44150246810729
2021-05-28,3.8716902766207015
2021-05-29,0.0
2021-05-30,5.231487209410217
2021-05-31,3.205206952244288
