date,/m/01c751
2021-03-10,9.160838832796806
2021-03-11,0.0
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,9.160838832796806
2021-03-15,0.0
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,18.779719607233453
2021-03-19,19.237761548873294
2021-03-20,10.993006599356168
2021-03-21,0.0
2021-03-22,0.0
2021-03-23,0.0
2021-03-24,9.160838832796806
2021-03-25,9.618880774436647
2021-03-26,10.534964657716326
2021-03-27,0.0
2021-03-28,0.0
2021-03-29,0.0
2021-03-30,0.0
2021-03-31,10.534964657716326
2021-04-01,11.909090482635849
2021-04-02,0.0
2021-04-03,11.451048540996007
2021-04-04,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,0.0
2021-04-08,0.0
2021-04-09,0.0
2021-04-10,12.367132424275688
2021-04-11,0.0
2021-04-12,0.0
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,9.618880774436647
2021-04-16,10.076922716076487
2021-04-17,23.360139023631856
2021-04-18,0.0
2021-04-19,9.618880774436647
2021-04-20,0.0
2021-04-21,0.0
2021-04-22,0.0
2021-04-23,0.0
2021-04-24,0.0
2021-04-25,11.451048540996007
2021-04-26,0.0
2021-04-27,0.0
2021-04-28,10.993006599356168
2021-04-29,0.0
2021-04-30,0.0
2021-05-01,26.108390673470897
2021-05-02,0.0
2021-05-03,20.153845432152973
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,10.076922716076487
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,10.534964657716326
2021-05-13,9.618880774436647
2021-05-14,0.0
2021-05-15,12.825174365915528
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,0.0
2021-05-23,10.076922716076487
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,0.0
2021-05-27,21.069929315432653
2021-05-28,0.0
2021-05-29,0.0
2021-05-30,11.424279856094975
2021-05-31,18.60721030453793
