date,/g/121j1nlf
2020-07-24,0.3745114308305292
2020-07-25,0.3682954734723461
2020-07-26,0.20512659282004084
2020-07-27,2.2751874761301027
2020-07-28,3.207229793937884
2020-07-29,3.0911167779146917
2020-07-30,2.6925666958891425
2020-07-31,2.755330488334111
2020-08-01,2.5074135081764863
2020-08-02,2.739639540222869
2020-08-03,3.267264629039532
2020-08-04,3.0743790675349705
2020-08-05,2.9099737698058283
2020-08-06,3.218233703047969
2020-08-07,2.737348207190228
2020-08-08,2.519511187699114
2020-08-09,2.609934101450142
2020-08-10,2.5328551051278674
2020-08-11,8.004944949267013
2020-08-12,6.301360937120791
2020-08-13,4.6864392899189795
2020-08-14,3.907477083621636
2020-08-15,3.0271864602449634
2020-08-16,3.4008349982249895
2020-08-17,3.869478927216887
2020-08-18,3.5637654046486733
