date,/g/121j1nlf
2020-06-11,0.0
2020-06-12,0.8150390615508517
2020-06-13,3.8035156205706415
2020-06-14,0.8150390615508517
2020-06-15,2.173437497468938
2020-06-16,5.7052734308559625
2020-06-17,7.335351553957666
2020-06-18,2.98847655901979
2020-06-19,1.6300781231017034
2020-06-20,3.531835933387024
2020-06-21,2.4451171846525552
2020-06-22,1.3583984359180863
2020-06-23,1.6300781231017034
2020-06-24,3.8035156205706415
2020-06-25,3.260156246203407
2020-06-26,1.6300781231017034
2020-06-27,4.8902343693051105
2020-06-28,3.531835933387024
2020-06-29,4.346874994937876
2020-06-30,7.063671866774048
2020-07-01,3.260156246203407
2020-07-02,0.8150390615508517
2020-07-03,0.8150390615508517
2020-07-04,0.0
2020-07-05,1.9017578102853208
2020-07-06,6.791992179590431
2020-07-07,7.063671866774048
2020-07-08,8.693749989875752
2020-07-09,5.7052734308559625
2020-07-10,4.8902343693051105
2020-07-11,1.9017578102853208
2020-07-12,2.7167968718361726
2020-07-13,2.98847655901979
2020-07-14,4.075195307754258
2020-07-15,8.422070302692134
2020-07-16,0.8150390615508517
2020-07-17,3.531835933387024
2020-07-18,3.260156246203407
2020-07-19,3.8035156205706415
2020-07-20,0.8150390615508517
2020-07-21,4.075195307754258
2020-07-22,3.531835933387024
2020-07-23,3.531835933387024
2020-07-24,3.531835933387024
2020-07-25,3.260156246203407
2020-07-26,4.8902343693051105
2020-07-27,4.8902343693051105
2020-07-28,4.8902343693051105
2020-07-29,3.260156246203407
2020-07-30,4.346874994937876
