date,/g/11j2cc_qll
2020-08-08,8.57941328463029
2020-08-09,9.58875602399856
2020-08-10,12.112112872419234
2020-08-11,12.112112872419234
2020-08-12,13.121455611787503
2020-08-13,12.616784242103368
2020-08-14,12.616784242103368
2020-08-15,11.102770133050964
2020-08-16,15.140141090524041
2020-08-17,15.644812460208176
2020-08-18,11.102770133050964
2020-08-19,14.130798351155772
2020-08-20,14.635469720839907
2020-08-21,14.130798351155772
2020-08-22,12.112112872419234
2020-08-23,9.58875602399856
2020-08-24,11.102770133050964
2020-08-25,12.616784242103368
2020-08-26,13.626126981471637
2020-08-27,18.16816930862885
2020-08-28,14.130798351155772
2020-08-29,12.112112872419234
2020-08-30,12.112112872419234
2020-08-31,14.635469720839907
2020-09-01,14.635469720839907
2020-09-02,13.626126981471637
