date,/m/05sfr2
2020-05-16,5.315047896649206
2020-05-17,5.723897734852994
2020-05-18,5.008410517996366
2020-05-19,5.732415439815571
2020-05-20,4.99989281303379
2020-05-21,5.681309210040097
2020-05-22,5.0330799021429975
2020-05-23,5.223056388010604
2020-05-24,4.639257238829091
2020-05-25,4.538065386304296
2020-05-26,4.662609204796352
2020-05-27,4.320113703943198
2020-05-28,4.39016960184498
2020-05-29,2.6982839643328695
2020-05-30,4.91011346080399
2020-05-31,3.8716027376781894
2020-06-01,3.3762461584466363
2020-06-02,3.9367812349455
2020-06-03,3.9194003023408843
2020-06-04,3.6195792149112602
2020-06-05,2.876544346063931
2020-06-06,2.9553802494364505
2020-06-07,4.075313817643948
2020-06-08,2.75983629308276
2020-06-09,2.8798291753907064
2020-06-10,3.0087104193510923
2020-06-11,3.035375504308414
2020-06-12,2.6931735806894563
2020-06-13,2.790662210981004
2020-06-14,2.673000250300577
2020-06-15,2.7278712231806477
2020-06-16,2.876806720997982
2020-06-17,2.5005486212489276
2020-06-18,2.9120809178494556
2020-06-19,3.0375002844324737
2020-06-20,3.0672860271905376
2020-06-21,3.2258831250187954
2020-06-22,2.5846525344187294
2020-06-23,3.290006184078803
2020-06-24,2.8559423996726023
2020-06-25,3.3541292431388086
2020-06-26,2.9397956307510738
2020-06-27,3.3442641571295786
2020-06-28,2.546641720308614
2020-06-29,2.7862036209965737
2020-06-30,3.7718888642736634
2020-07-01,2.437928168372003
2020-07-02,2.6350652170274196
2020-07-03,2.720491271444768
2020-07-04,2.497069282968628
2020-07-05,4.599864468626419
2020-07-06,3.29218871254548
2020-07-07,3.114765368755604
2020-07-08,2.9701981997416307
2020-07-09,4.1661629615845
2020-07-10,3.6733203399459544
2020-07-11,5.263559199099659
2020-07-12,4.57928514803831
2020-07-13,3.5526444562264703
2020-07-14,3.6244810169222257
2020-07-15,3.4677467026769397
2020-07-16,4.055500381096761
2020-07-17,3.4285631241156187
2020-07-18,4.4016219917217665
2020-07-19,4.048969784669875
2020-07-20,3.5823741507218396
2020-07-21,3.480440980044242
2020-07-22,4.9182050121028205
2020-07-23,4.225623557635578
2020-07-24,3.4979746877522735
2020-07-25,4.576297711796207
2020-07-26,3.6996123263946354
2020-07-27,4.19708923820481
2020-07-28,3.1043800672443376
2020-07-29,3.3162663258022835
2020-07-30,3.9617802762927736
2020-07-31,3.444383598418717
