date,/m/01cdt5
2021-01-22,10.019026138470583
2021-01-23,10.019026138470583
2021-01-24,7.286564464342241
2021-01-25,22.770513951069503
2021-01-26,13.662308370641703
2021-01-27,13.662308370641703
2021-01-28,11.840667254556141
2021-01-29,10.019026138470583
2021-01-30,5.464923348256681
2021-01-31,7.286564464342241
2021-02-01,11.840667254556141
2021-02-02,7.286564464342241
2021-02-03,2.7324616741283405
2021-02-04,13.662308370641703
2021-02-05,4.554102790213901
2021-02-06,10.019026138470583
2021-02-07,20.038052276941166
2021-02-08,24.592155067155065
2021-02-09,15.483949486727262
2021-02-10,16.39477004477004
2021-02-11,7.286564464342241
2021-02-12,2.7324616741283405
2021-02-13,16.39477004477004
2021-02-14,8.19738502238502
2021-02-15,14.573128928684483
2021-02-16,0.0
2021-02-17,7.286564464342241
2021-02-18,4.554102790213901
2021-02-19,7.286564464342241
2021-02-20,10.929846696513362
2021-02-21,10.019026138470583
2021-02-22,10.929846696513362
2021-02-23,7.286564464342241
2021-02-24,9.108205580427802
2021-02-25,4.554102790213901
2021-02-26,2.7324616741283405
2021-02-27,17.305590602812824
2021-02-28,8.19738502238502
2021-03-01,7.286564464342241
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,7.286564464342241
2021-03-05,7.286564464342241
2021-03-06,0.0
2021-03-07,27.324616741283407
2021-03-08,13.662308370641703
2021-03-09,9.108205580427802
2021-03-10,7.286564464342241
2021-03-11,7.286564464342241
2021-03-12,10.019026138470583
2021-03-13,5.464923348256681
2021-03-14,5.464923348256681
2021-03-15,3.6432822321711207
2021-03-16,8.19738502238502
2021-03-17,0.0
2021-03-18,7.286564464342241
2021-03-19,2.7324616741283405
2021-03-20,8.19738502238502
2021-03-21,2.7324616741283405
2021-03-22,7.286564464342241
2021-03-23,10.019026138470583
2021-03-24,7.286564464342241
2021-03-25,7.286564464342241
2021-03-26,8.19738502238502
2021-03-27,2.7324616741283405
2021-03-28,2.7324616741283405
2021-03-29,7.286564464342241
2021-03-30,7.286564464342241
2021-03-31,5.464923348256681
2021-04-01,5.464923348256681
2021-04-02,14.573128928684483
2021-04-03,5.464923348256681
2021-04-04,5.464923348256681
2021-04-05,10.019026138470583
2021-04-06,4.554102790213901
2021-04-07,4.554102790213901
2021-04-08,14.573128928684483
2021-04-09,4.554102790213901
2021-04-10,5.464923348256681
2021-04-11,10.929846696513362
2021-04-12,16.39477004477004
2021-04-13,7.286564464342241
2021-04-14,7.286564464342241
2021-04-15,4.554102790213901
2021-04-16,5.464923348256681
2021-04-17,10.929846696513362
2021-04-18,0.0
2021-04-19,16.39477004477004
2021-04-20,7.286564464342241
2021-04-21,7.286564464342241
2021-04-22,9.108205580427802
2021-04-23,4.554102790213901
2021-04-24,10.929846696513362
2021-04-25,7.286564464342241
2021-04-26,6.375743906299461
2021-04-27,11.840667254556141
2021-04-28,7.286564464342241
2021-04-29,9.108205580427802
2021-04-30,4.554102790213901
2021-05-01,15.483949486727262
2021-05-02,27.324616741283407
2021-05-03,10.019026138470583
2021-05-04,0.0
2021-05-05,11.840667254556141
2021-05-06,4.554102790213901
2021-05-07,8.19738502238502
2021-05-08,5.464923348256681
2021-05-09,7.286564464342241
2021-05-10,4.554102790213901
2021-05-11,9.108205580427802
2021-05-12,9.108205580427802
2021-05-13,7.286564464342241
2021-05-14,5.464923348256681
2021-05-15,7.2546353895649265
2021-05-16,7.028590275187052
