date,/m/01b_06_0,/m/01b_06,batch_id
2021-01-05,62.0,62.0,2
2021-01-06,74.0,74.0,2
2021-01-07,68.0,68.0,2
2021-01-08,63.0,63.0,2
2021-01-09,66.0,66.0,2
2021-01-10,62.0,62.0,2
2021-01-11,61.0,61.0,2
2021-01-12,63.0,63.0,2
2021-01-13,65.0,65.0,2
2021-01-14,69.0,69.0,2
2021-01-15,58.0,58.0,2
2021-01-16,58.0,58.0,2
2021-01-17,62.0,62.0,2
2021-01-18,69.0,69.0,2
2021-01-19,61.0,61.0,2
2021-01-20,58.0,58.0,2
2021-01-21,62.0,62.0,2
2021-01-22,60.0,60.0,2
2021-01-23,57.0,57.0,2
2021-01-24,59.0,59.0,2
2021-01-25,63.0,63.0,2
2021-01-26,64.0,64.0,2
2021-01-27,62.0,62.0,2
2021-01-28,64.0,64.0,2
2021-01-29,55.0,55.0,2
2021-01-30,62.0,62.0,2
2021-01-31,61.0,61.0,2
2021-02-01,63.0,63.0,2
2021-02-02,74.0,74.0,2
2021-02-03,68.0,68.0,2
2021-02-04,66.0,66.0,2
2021-02-05,60.0,60.0,2
2021-02-06,64.0,64.0,2
2021-02-07,62.0,62.0,2
2021-02-08,58.0,58.0,2
2021-02-09,63.0,63.0,2
2021-02-10,53.0,53.0,2
2021-02-11,58.0,58.0,2
2021-02-12,59.0,59.0,2
2021-02-13,57.0,57.0,2
2021-02-14,60.0,60.0,2
2021-02-15,63.0,63.0,2
2021-02-16,61.0,61.0,2
2021-02-17,68.0,68.0,2
2021-02-18,67.0,67.0,2
2021-02-19,57.0,57.0,2
2021-02-20,65.0,65.0,2
2021-02-21,65.0,65.0,2
2021-02-22,63.0,63.0,2
2021-02-23,70.0,70.0,2
2021-02-24,63.0,63.0,2
2021-02-25,64.0,64.0,2
2021-02-26,58.0,58.0,2
2021-02-27,61.0,61.0,2
2021-02-28,61.0,61.0,2
2021-03-01,62.0,62.0,2
2021-03-02,62.0,62.0,2
2021-03-03,60.0,60.0,2
2021-03-04,69.0,69.0,2
2021-03-05,63.0,63.0,2
2021-03-06,67.0,67.0,2
2021-03-07,67.0,67.0,2
2021-03-08,64.0,64.0,2
2021-03-09,73.0,73.0,2
2021-03-10,63.0,63.0,2
2021-03-11,70.0,70.0,2
2021-03-12,61.0,61.0,2
2021-03-13,64.0,64.0,2
2021-03-14,68.0,68.0,2
2021-03-15,75.0,75.0,2
2021-03-16,78.0,78.0,2
2021-03-17,80.0,80.0,2
2021-03-18,82.0,82.0,2
2021-03-19,79.0,79.0,2
2021-03-20,68.0,68.0,2
2021-03-21,72.0,72.0,2
2021-03-22,75.0,75.0,2
2021-03-23,78.0,78.0,2
2021-03-24,70.0,70.0,2
2021-03-25,78.0,78.0,2
2021-03-26,64.0,64.0,2
2021-03-27,68.0,68.0,2
2021-03-28,66.0,66.0,2
2021-03-29,75.0,75.0,2
2021-03-30,89.0,89.0,2
2021-03-31,74.0,74.0,2
2021-04-01,78.0,78.0,2
2021-04-02,79.0,79.0,2
2021-04-03,70.0,70.0,2
2021-04-04,74.0,74.0,2
2021-04-05,68.0,68.0,2
2021-04-06,71.0,71.0,2
2021-04-07,65.0,65.0,2
2021-04-08,67.0,67.0,2
2021-04-09,75.0,75.0,2
2021-04-10,71.0,71.0,2
2021-04-11,76.0,76.0,2
2021-04-12,74.0,74.0,2
2021-04-13,70.0,70.0,2
2021-04-14,63.0,63.0,2
2021-04-15,73.0,73.0,2
2021-04-16,70.0,70.0,2
2021-04-17,66.0,66.0,2
2021-04-18,69.0,69.0,2
2021-04-19,77.0,77.0,2
2021-04-20,62.0,62.0,2
2021-04-21,65.0,65.0,2
2021-04-22,74.0,74.0,2
2021-04-23,64.0,64.0,2
2021-04-24,65.0,65.0,2
2021-04-25,67.0,67.0,2
2021-04-26,63.0,63.0,2
2021-04-27,73.0,73.0,2
2021-04-28,62.0,62.0,2
2021-04-29,65.0,65.0,2
2021-04-30,63.0,63.0,2
2021-05-01,62.0,62.0,2
2021-05-02,64.0,64.0,2
2021-05-03,65.0,65.0,2
2021-05-04,63.0,63.0,2
2021-05-05,64.0,64.0,2
2021-05-06,58.0,58.0,2
2021-05-07,58.0,58.0,2
2021-05-08,59.0,59.0,2
2021-05-09,65.0,65.0,2
2021-05-10,65.0,65.0,2
2021-05-11,66.0,66.0,2
2021-05-12,60.0,60.0,2
2021-05-13,63.0,63.0,2
2021-05-14,64.0,64.0,2
