date,/m/0405g08_0,/m/0405g08,batch_id
2020-10-10,77.0,77.0,2
2020-10-11,47.0,47.0,2
2020-10-12,46.0,46.0,2
2020-10-13,51.0,51.0,2
2020-10-14,51.0,51.0,2
2020-10-15,42.0,42.0,2
2020-10-16,69.0,69.0,2
2020-10-17,35.0,35.0,2
2020-10-18,44.0,44.0,2
2020-10-19,49.0,49.0,2
2020-10-20,64.0,64.0,2
2020-10-21,36.0,36.0,2
2020-10-22,36.0,36.0,2
2020-10-23,25.0,25.0,2
2020-10-24,70.0,70.0,2
2020-10-25,41.0,41.0,2
2020-10-26,37.0,37.0,2
2020-10-27,64.0,64.0,2
2020-10-28,47.0,47.0,2
2020-10-29,28.0,28.0,2
2020-10-30,45.0,45.0,2
2020-10-31,31.0,31.0,2
2020-11-01,57.0,57.0,2
2020-11-02,34.0,34.0,2
2020-11-03,67.0,67.0,2
2020-11-04,51.0,51.0,2
2020-11-05,26.0,26.0,2
2020-11-06,39.0,39.0,2
2020-11-07,48.0,48.0,2
2020-11-08,55.0,55.0,2
2020-11-09,56.0,56.0,2
2020-11-10,46.0,46.0,2
2020-11-11,18.0,18.0,2
2020-11-12,11.0,11.0,2
2020-11-13,46.0,46.0,2
2020-11-14,19.0,19.0,2
2020-11-15,32.0,32.0,2
2020-11-16,51.0,51.0,2
2020-11-17,45.0,45.0,2
2020-11-18,69.0,69.0,2
2020-11-19,40.0,40.0,2
2020-11-20,0.0,0.0,2
2020-11-21,63.0,63.0,2
2020-11-22,57.0,57.0,2
2020-11-23,23.0,23.0,2
2020-11-24,34.0,34.0,2
2020-11-25,22.0,22.0,2
2020-11-26,11.0,11.0,2
2020-11-27,39.0,39.0,2
2020-11-28,67.0,67.0,2
2020-11-29,49.0,49.0,2
2020-11-30,33.0,33.0,2
2020-12-01,16.0,16.0,2
2020-12-02,44.0,44.0,2
2020-12-03,33.0,33.0,2
2020-12-04,33.0,33.0,2
2020-12-05,30.0,30.0,2
2020-12-06,37.0,37.0,2
2020-12-07,60.0,60.0,2
2020-12-08,28.0,28.0,2
2020-12-09,49.0,49.0,2
2020-12-10,17.0,17.0,2
2020-12-11,40.0,40.0,2
2020-12-12,19.0,19.0,2
2020-12-13,19.0,19.0,2
2020-12-14,23.0,23.0,2
2020-12-15,17.0,17.0,2
2020-12-16,6.0,6.0,2
2020-12-17,60.0,60.0,2
2020-12-18,38.0,38.0,2
2020-12-19,28.0,28.0,2
2020-12-20,50.0,50.0,2
2020-12-21,51.0,51.0,2
2020-12-22,51.0,51.0,2
2020-12-23,41.0,41.0,2
2020-12-24,64.0,64.0,2
2020-12-25,61.0,61.0,2
2020-12-26,42.0,42.0,2
2020-12-27,38.0,38.0,2
2020-12-28,21.0,21.0,2
2020-12-29,55.0,55.0,2
2020-12-30,57.0,57.0,2
2020-12-31,92.0,92.0,2
2021-01-01,90.0,90.0,2
2021-01-02,76.0,76.0,2
2021-01-03,64.0,64.0,2
2021-01-04,30.0,30.0,2
2021-01-05,36.0,36.0,2
2021-01-06,29.0,29.0,2
2021-01-07,35.0,35.0,2
2021-01-08,54.0,54.0,2
2021-01-09,71.0,71.0,2
2021-01-10,42.0,42.0,2
2021-01-11,0.0,0.0,2
2021-01-12,64.0,64.0,2
2021-01-13,23.0,23.0,2
2021-01-14,58.0,58.0,2
2021-01-15,50.0,50.0,2
2021-01-16,14.0,14.0,2
2021-01-17,41.0,41.0,2
2021-01-18,34.0,34.0,2
2021-01-19,46.0,46.0,2
2021-01-20,39.0,39.0,2
2021-01-21,35.0,35.0,2
2021-01-22,42.0,42.0,2
2021-01-23,27.0,27.0,2
2021-01-24,13.0,13.0,2
2021-01-25,29.0,29.0,2
2021-01-26,40.0,40.0,2
2021-01-27,46.0,46.0,2
2021-01-28,29.0,29.0,2
2021-01-29,65.0,65.0,2
2021-01-30,53.0,53.0,2
2021-01-31,46.0,46.0,2
2021-02-01,40.0,40.0,2
2021-02-02,40.0,40.0,2
2021-02-03,44.0,44.0,2
2021-02-04,76.0,76.0,2
2021-02-05,24.0,24.0,2
2021-02-06,58.0,58.0,2
2021-02-07,26.0,26.0,2
2021-02-08,52.0,52.0,2
2021-02-09,34.0,34.0,2
2021-02-10,28.0,28.0,2
2021-02-11,30.0,30.0,2
2021-02-12,25.0,25.0,2
2021-02-13,70.0,70.0,2
2021-02-14,50.0,50.0,2
2021-02-15,12.0,12.0,2
2021-02-16,41.0,41.0,2
2021-02-17,43.0,43.0,2
2021-02-18,67.0,67.0,2
2021-02-19,57.0,57.0,2
2021-02-20,53.0,53.0,2
2021-02-21,76.0,76.0,2
2021-02-22,48.0,48.0,2
2021-02-23,62.0,62.0,2
2021-02-24,31.0,31.0,2
2021-02-25,56.0,56.0,2
2021-02-26,13.0,13.0,2
2021-02-27,45.0,45.0,2
2021-02-28,56.0,56.0,2
2021-03-01,42.0,42.0,2
2021-03-02,53.0,53.0,2
2021-03-03,23.0,23.0,2
2021-03-04,17.0,17.0,2
2021-03-05,36.0,36.0,2
2021-03-06,84.0,84.0,2
2021-03-07,28.0,28.0,2
2021-03-08,53.0,53.0,2
2021-03-09,29.0,29.0,2
2021-03-10,34.0,34.0,2
2021-03-11,29.0,29.0,2
2021-03-12,30.0,30.0,2
2021-03-13,33.0,33.0,2
2021-03-14,84.0,84.0,2
2021-03-15,18.0,18.0,2
2021-03-16,46.0,46.0,2
