date,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-11-27,33.0,32.0,32.0,29.0,32.0,22.0,38.0,38.0,32.0,27.0,33.0,37.0,33.0,29.0,28.0,34.0,29.0,29.0,27.0,36.0,32.541322314049594
2020-11-28,25.0,38.0,16.0,29.0,19.0,26.0,26.0,38.0,27.0,19.0,21.0,24.0,37.0,35.0,28.0,26.0,28.0,18.0,25.0,32.0,27.737603305785125
2020-11-29,36.0,33.0,24.0,33.0,24.0,24.0,31.0,25.0,31.0,32.0,21.0,34.0,33.0,37.0,35.0,31.0,33.0,31.0,27.0,38.0,31.663223140495873
2020-11-30,32.0,40.0,36.0,25.0,29.0,30.0,23.0,39.0,28.0,41.0,27.0,40.0,39.0,30.0,31.0,34.0,22.0,23.0,31.0,34.0,32.747933884297524
2020-12-01,38.0,29.0,21.0,21.0,25.0,25.0,37.0,27.0,29.0,29.0,30.0,40.0,35.0,26.0,35.0,23.0,24.0,28.0,24.0,29.0,29.700413223140497
2020-12-02,35.0,28.0,32.0,25.0,24.0,27.0,29.0,38.0,25.0,31.0,34.0,34.0,23.0,36.0,26.0,23.0,31.0,23.0,37.0,31.0,30.57851239669421
2020-12-03,49.0,43.0,28.0,39.0,29.0,35.0,44.0,37.0,44.0,43.0,37.0,32.0,27.0,40.0,37.0,34.0,29.0,35.0,34.0,36.0,37.8099173553719
2020-12-04,28.0,31.0,23.0,26.0,34.0,25.0,26.0,26.0,28.0,33.0,27.0,32.0,28.0,36.0,27.0,21.0,23.0,34.0,24.0,29.0,28.97727272727273
2020-12-05,23.0,18.0,25.0,22.0,26.0,26.0,22.0,21.0,33.0,24.0,26.0,29.0,33.0,26.0,28.0,18.0,25.0,19.0,27.0,34.0,26.084710743801647
2020-12-06,53.0,37.0,37.0,38.0,33.0,34.0,32.0,34.0,29.0,34.0,32.0,31.0,36.0,34.0,44.0,30.0,35.0,40.0,25.0,48.0,36.983471074380155
2020-12-07,43.0,29.0,28.0,33.0,22.0,22.0,21.0,26.0,27.0,31.0,30.0,24.0,32.0,26.0,30.0,28.0,23.0,29.0,32.0,34.0,29.44214876033058
2020-12-08,51.0,41.0,29.0,39.0,40.0,36.0,47.0,46.0,32.0,47.0,35.0,37.0,49.0,49.0,42.0,39.0,33.0,30.0,32.0,36.0,40.805785123966935
2020-12-09,43.0,32.0,29.0,27.0,29.0,25.0,43.0,22.0,33.0,28.0,23.0,23.0,23.0,33.0,28.0,22.0,20.0,27.0,31.0,27.0,29.33884297520661
2020-12-10,58.0,54.0,54.0,52.0,41.0,48.0,47.0,53.0,40.0,53.0,46.0,38.0,33.0,36.0,42.0,38.0,41.0,43.0,45.0,56.0,47.41735537190082
2020-12-11,38.0,45.0,26.0,31.0,31.0,33.0,32.0,26.0,33.0,35.0,31.0,40.0,34.0,20.0,40.0,36.0,28.0,29.0,33.0,41.0,34.19421487603306
2020-12-12,21.0,25.0,28.0,28.0,22.0,24.0,30.0,27.0,22.0,24.0,21.0,21.0,31.0,29.0,24.0,19.0,25.0,30.0,24.0,27.0,25.929752066115704
2020-12-13,28.0,33.0,24.0,19.0,21.0,25.0,28.0,25.0,30.0,32.0,29.0,30.0,26.0,29.0,29.0,30.0,31.0,25.0,37.0,41.0,29.54545454545455
2020-12-14,25.0,34.0,26.0,24.0,18.0,23.0,27.0,30.0,29.0,32.0,25.0,36.0,40.0,30.0,29.0,25.0,25.0,34.0,31.0,36.0,29.90702479338843
2020-12-15,58.0,57.0,44.0,41.0,45.0,24.0,41.0,43.0,47.0,44.0,36.0,34.0,51.0,37.0,41.0,40.0,34.0,49.0,42.0,51.0,44.3698347107438
2020-12-16,31.0,20.0,25.0,29.0,36.0,29.0,24.0,37.0,26.0,35.0,29.0,50.0,42.0,30.0,33.0,24.0,18.0,34.0,25.0,43.0,32.02479338842975
2020-12-17,51.0,44.0,52.0,34.0,31.0,31.0,47.0,51.0,53.0,44.0,32.0,53.0,42.0,46.0,46.0,43.0,31.0,47.0,35.0,42.0,44.163223140495866
2020-12-18,33.0,31.0,29.0,37.0,30.0,43.0,37.0,37.0,29.0,26.0,27.0,32.0,30.0,35.0,46.0,37.0,31.0,36.0,36.0,28.0,34.607438016528924
2020-12-19,54.0,45.0,39.0,33.0,31.0,36.0,47.0,29.0,45.0,44.0,38.0,39.0,38.0,26.0,40.0,38.0,28.0,36.0,23.0,31.0,38.223140495867774
2020-12-20,47.0,61.0,47.0,44.0,41.0,38.0,39.0,44.0,57.0,63.0,41.0,37.0,45.0,58.0,58.0,44.0,48.0,37.0,41.0,62.0,49.173553719008275
2020-12-21,50.0,49.0,55.0,35.0,48.0,62.0,32.0,42.0,47.0,51.0,41.0,46.0,53.0,38.0,47.0,44.0,34.0,48.0,45.0,46.0,47.15909090909091
2020-12-22,59.0,57.0,52.0,41.0,45.0,33.0,49.0,37.0,54.0,57.0,36.0,40.0,40.0,52.0,63.0,58.0,39.0,35.0,44.0,58.0,49.018595041322314
