,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-12-10,23.0,41.0,35.0,42.0,23.0,22.0,34.0,21.0,50.0,77.0,21.0,49.0,33.0,23.0,45.205479452054796,21.0,21.0,62.765957446808514,74.6268656716418,36.0,50.01300501132548
2020-12-11,0.0,0.0,17.0,0.0,23.0,0.0,17.0,0.0,0.0,51.0,0.0,25.0,33.0,46.0,0.0,21.0,0.0,0.0,23.880597014925375,0.0,17.025443261740396
2020-12-12,0.0,22.0,0.0,22.0,0.0,24.0,0.0,0.0,53.0,27.0,22.0,0.0,35.0,0.0,24.65753424657534,45.0,22.0,0.0,26.865671641791046,19.0,22.70163443813148
2020-12-13,72.0,22.0,37.0,0.0,72.0,24.0,73.0,22.0,26.0,27.0,67.0,79.0,86.0,73.0,49.31506849315068,44.0,67.0,44.680851063829785,52.23880597014925,57.0,65.89554487578003
2020-12-14,0.0,0.0,0.0,20.0,0.0,0.0,16.0,20.0,0.0,25.0,20.0,0.0,16.0,0.0,0.0,0.0,20.0,20.21276595744681,0.0,0.0,10.419693265794864
2020-12-15,67.0,20.0,17.0,21.0,0.0,86.0,0.0,41.0,24.0,75.0,41.0,24.0,48.0,23.0,21.91780821917808,20.0,41.0,41.48936170212766,49.25373134328358,35.0,46.10677233517676
2020-12-16,23.0,40.0,35.0,21.0,0.0,22.0,17.0,41.0,100.0,51.0,42.0,73.0,0.0,69.0,23.28767123287671,42.0,85.0,21.27659574468085,49.25373134328358,53.0,53.54028157846842
2020-12-17,23.0,0.0,18.0,0.0,0.0,22.0,17.0,21.0,25.0,0.0,0.0,0.0,16.0,0.0,23.28767123287671,0.0,21.0,0.0,0.0,0.0,12.34670977019261
2020-12-18,48.0,21.0,18.0,22.0,48.0,47.0,18.0,44.0,52.0,54.0,0.0,52.0,35.0,0.0,0.0,22.0,22.0,0.0,26.865671641791046,57.0,38.89607977756273
2020-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-20,49.0,22.0,19.0,92.0,100.0,96.0,38.0,45.0,27.0,0.0,91.0,0.0,36.0,100.0,100.0,69.0,23.0,45.744680851063826,26.865671641791046,39.0,67.5111042395345
2020-12-21,88.0,80.0,51.0,21.0,0.0,43.0,17.0,20.0,24.0,50.0,41.0,48.0,48.0,90.0,89.04109589041096,41.0,21.0,0.0,71.64179104477611,52.0,59.36376024204287
2020-12-22,46.0,21.0,18.0,0.0,0.0,22.0,0.0,0.0,51.0,26.0,0.0,0.0,17.0,0.0,45.205479452054796,21.0,0.0,42.5531914893617,0.0,18.0,21.72307570327042
2020-12-23,24.0,0.0,0.0,0.0,47.0,23.0,18.0,21.0,26.0,0.0,22.0,26.0,34.0,0.0,23.28767123287671,0.0,22.0,0.0,25.37313432835821,0.0,20.656146955633282
2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-25,0.0,0.0,22.0,0.0,29.0,28.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,26.0,0.0,0.0,22.0,12.393921249569773
2020-12-26,77.0,46.0,39.0,24.0,0.0,100.0,20.0,23.0,55.0,0.0,47.0,55.0,37.0,52.0,0.0,0.0,24.0,70.2127659574468,28.35820895522388,20.0,47.55892060986442
2020-12-27,46.0,21.0,35.0,43.0,23.0,23.0,0.0,0.0,25.0,26.0,21.0,0.0,0.0,0.0,23.28767123287671,21.0,21.0,21.27659574468085,25.37313432835821,18.0,26.04296902564768
