,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751_10,/m/01c751_11,/m/01c751_12,/m/01c751_13,/m/01c751_14,/m/01c751_15,/m/01c751_16,/m/01c751_17,/m/01c751_18,/m/01c751_19,/m/01c751
2020-11-23,15.0,23.0,19.0,0.0,0.0,24.0,0.0,33.0,15.0,23.0,23.0,0.0,0.0,0.0,31.0,0.0,22.0,0.0,0.0,18.0,17.6597272074659
2020-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-25,14.0,0.0,0.0,26.0,13.0,0.0,0.0,60.0,29.0,43.0,22.0,20.0,21.0,0.0,29.0,0.0,42.0,0.0,0.0,0.0,22.900215362526918
2020-11-26,0.0,0.0,0.0,56.0,0.0,47.0,46.0,33.0,31.0,46.0,23.0,44.0,46.0,29.0,32.0,59.0,22.0,61.0,0.0,19.0,42.64178033022254
2020-11-27,15.0,22.0,36.0,54.0,26.0,46.0,44.0,31.0,0.0,22.0,22.0,0.0,44.0,56.0,0.0,0.0,43.0,60.0,45.0,54.0,44.50825556353194
2020-11-28,0.0,0.0,0.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,8.686288585786073
2020-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,22.0,18.0,27.0,13.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,10.983488872936109
2020-12-01,15.0,0.0,0.0,28.0,0.0,0.0,0.0,32.0,0.0,0.0,23.0,21.0,0.0,0.0,31.0,29.0,0.0,30.0,0.0,0.0,15.003589375448671
2020-12-02,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,22.0,0.0,21.0,23.0,28.0,0.0,0.0,21.0,0.0,0.0,0.0,9.188801148600144
2020-12-03,15.0,22.0,0.0,28.0,13.0,23.0,22.0,0.0,15.0,22.0,22.0,0.0,0.0,0.0,31.0,29.0,0.0,0.0,22.0,18.0,20.24407753050969
2020-12-04,15.0,22.0,0.0,0.0,0.0,23.0,22.0,0.0,15.0,0.0,0.0,21.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,0.0,12.634601579325198
2020-12-05,15.0,0.0,54.0,28.0,0.0,23.0,22.0,32.0,15.0,22.0,0.0,42.0,0.0,0.0,62.0,29.0,21.0,60.0,23.0,18.0,33.452979181622396
2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-08,0.0,23.0,18.0,0.0,13.0,0.0,23.0,33.0,0.0,23.0,0.0,0.0,23.0,0.0,31.0,0.0,22.0,0.0,0.0,19.0,16.367552045944006
2020-12-09,0.0,0.0,0.0,28.0,13.0,0.0,0.0,0.0,0.0,23.0,23.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.404163675520458
2020-12-10,0.0,23.0,38.0,29.0,20.0,0.0,23.0,67.0,0.0,0.0,0.0,0.0,24.0,0.0,32.0,0.0,0.0,0.0,24.0,19.0,21.464465183058145
2020-12-11,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0050251256281406
2020-12-12,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0100502512562812
2020-12-13,15.0,22.0,18.0,0.0,0.0,0.0,0.0,32.0,15.0,0.0,0.0,0.0,0.0,29.0,31.0,29.0,0.0,0.0,0.0,0.0,13.711414213926778
2020-12-14,0.0,0.0,0.0,0.0,13.0,23.0,0.0,32.0,0.0,23.0,23.0,0.0,0.0,29.0,31.0,0.0,0.0,30.0,0.0,0.0,14.644651830581475
2020-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-16,0.0,24.0,19.0,0.0,14.0,0.0,0.0,0.0,0.0,24.0,24.0,22.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,19.0,14.788226848528355
2020-12-17,17.0,0.0,0.0,32.0,15.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,8.255563531945441
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,22.0,8.614501076812633
2020-12-19,53.0,27.0,43.0,99.0,15.0,54.0,26.0,74.0,0.0,54.0,53.0,100.0,0.0,0.0,37.0,68.0,77.0,70.0,27.0,0.0,62.957645369705666
2020-12-20,18.0,0.0,21.0,33.0,15.0,0.0,0.0,37.0,17.0,26.0,26.0,25.0,26.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,19.956927494615936
2020-12-21,0.0,25.0,20.0,30.0,14.0,0.0,25.0,35.0,0.0,25.0,50.0,24.0,25.0,63.0,0.0,0.0,48.0,33.0,0.0,20.0,31.371141421392675
2020-12-22,33.0,0.0,0.0,30.0,14.0,25.0,0.0,0.0,33.0,25.0,25.0,23.0,24.0,63.0,34.0,0.0,47.0,33.0,25.0,20.0,32.59152907394113
