date,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s,batch_id
2020-06-03,4.0,2.0,4.0,10.0,8.0,2.0,4.0,4.0,0.0,9.0,4.718875502008032,0
2020-06-04,4.0,3.0,6.0,2.0,2.0,0.0,6.0,8.0,6.0,3.0,4.016064257028113,0
2020-06-05,6.0,7.0,6.0,8.0,10.0,4.0,10.0,4.0,4.0,4.0,6.325301204819278,0
2020-06-06,2.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.3052208835341366,0
2020-06-07,7.0,6.0,7.0,5.0,9.0,4.0,0.0,0.0,5.0,4.0,4.718875502008032,0
2020-06-08,2.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.2088353413654622,0
2020-06-09,12.0,7.0,13.0,10.0,13.0,10.0,10.0,6.0,10.0,11.0,10.240963855421686,0
2020-06-10,4.0,4.0,9.0,4.0,3.0,6.0,0.0,6.0,2.0,4.0,4.216867469879518,0
2020-06-11,6.0,4.0,4.0,8.0,3.0,6.0,2.0,6.0,4.0,0.0,4.317269076305221,0
2020-06-12,11.0,0.0,10.0,4.0,14.0,4.0,11.0,9.0,0.0,0.0,6.325301204819278,0
2020-06-13,5.0,5.0,6.0,0.0,10.0,5.0,0.0,5.0,8.0,5.0,4.9196787148594385,0
2020-06-14,2.0,4.0,5.0,0.0,3.0,2.0,2.0,5.0,2.0,2.0,2.710843373493976,0
2020-06-15,0.0,4.0,2.0,2.0,5.0,2.0,4.0,4.0,2.0,2.0,2.710843373493976,0
2020-06-16,4.0,7.0,4.0,2.0,10.0,6.0,6.0,2.0,2.0,5.0,4.819277108433735,0
2020-06-17,2.0,2.0,5.0,8.0,5.0,4.0,6.0,2.0,4.0,2.0,4.016064257028113,0
2020-06-18,7.0,8.0,7.0,4.0,11.0,10.0,4.0,6.0,13.0,7.0,7.730923694779117,0
2020-06-19,9.0,2.0,10.0,0.0,11.0,6.0,4.0,7.0,5.0,6.0,6.024096385542169,0
2020-06-20,5.0,9.0,11.0,10.0,10.0,5.0,5.0,0.0,3.0,5.0,6.325301204819278,0
2020-06-21,0.0,2.0,3.0,2.0,3.0,2.0,5.0,5.0,2.0,2.0,2.610441767068273,0
2020-06-22,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.8032128514056225,0
2020-06-23,7.0,6.0,14.0,4.0,20.0,9.0,7.0,11.0,9.0,6.0,9.337349397590364,0
2020-06-24,7.0,4.0,7.0,2.0,3.0,2.0,2.0,2.0,7.0,6.0,4.216867469879518,0
2020-06-25,2.0,2.0,10.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,2.5100401606425704,0
2020-06-26,0.0,6.0,7.0,0.0,0.0,2.0,5.0,7.0,9.0,4.0,4.016064257028113,0
2020-06-27,5.0,4.0,3.0,5.0,9.0,2.0,7.0,2.0,2.0,0.0,3.91566265060241,0
2020-06-28,2.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,4.0,1.5060240963855422,0
2020-06-29,6.0,6.0,11.0,0.0,5.0,2.0,6.0,2.0,6.0,4.0,4.819277108433735,0
2020-06-30,4.0,2.0,9.0,2.0,3.0,4.0,2.0,2.0,4.0,6.0,3.815261044176707,0
2020-07-01,4.0,4.0,5.0,4.0,6.0,6.0,2.0,9.0,2.0,0.0,4.216867469879518,0
2020-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-03,5.0,2.0,5.0,5.0,9.0,7.0,2.0,5.0,5.0,8.0,5.321285140562249,0
2020-07-04,5.0,0.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,4.216867469879518,0
2020-07-05,0.0,2.0,0.0,2.0,6.0,2.0,5.0,2.0,5.0,4.0,2.811244979919679,0
2020-07-06,26.0,15.0,28.0,23.0,30.0,31.0,21.0,29.0,15.0,13.0,23.192771084337352,0
2020-07-07,19.0,12.0,12.0,14.0,27.0,13.0,18.0,13.0,19.0,18.0,16.566265060240966,0
2020-07-08,5.0,6.0,5.0,4.0,6.0,2.0,4.0,4.0,5.0,6.0,4.718875502008032,0
2020-07-09,5.0,0.0,0.0,7.0,9.0,4.0,0.0,9.0,5.0,4.0,4.317269076305221,0
2020-07-10,5.0,4.0,3.0,0.0,6.0,0.0,5.0,2.0,0.0,0.0,2.5100401606425704,0
2020-07-11,0.0,0.0,3.0,5.0,3.0,10.0,3.0,5.0,3.0,5.0,3.714859437751004,0
2020-07-12,6.0,0.0,0.0,3.0,7.0,5.0,3.0,3.0,3.0,2.0,3.21285140562249,0
2020-07-13,5.0,4.0,8.0,5.0,15.0,2.0,7.0,2.0,7.0,6.0,6.124497991967872,0
2020-07-14,2.0,6.0,5.0,4.0,9.0,4.0,2.0,4.0,5.0,8.0,4.9196787148594385,0
2020-07-15,12.0,4.0,5.0,5.0,6.0,9.0,7.0,5.0,7.0,6.0,6.626506024096386,0
2020-07-16,2.0,4.0,3.0,5.0,0.0,2.0,0.0,5.0,7.0,6.0,3.413654618473896,0
2020-07-17,5.0,5.0,5.0,5.0,3.0,2.0,5.0,3.0,0.0,2.0,3.5140562248995986,0
2020-07-18,3.0,8.0,3.0,3.0,11.0,8.0,9.0,9.0,9.0,5.0,6.827309236947792,0
