date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2020-03-19,46.0,42.0,78.0,50.0,42.0,87.0,68.0,57.0,41.0,68.0,90.0,100.0,75.0,79.0,52.0,62.0,71.0,82.0,17.0,62.0,86.97738176833447
2020-03-20,73.0,27.0,88.0,23.0,62.0,33.0,79.0,69.0,26.0,0.0,69.0,92.0,72.0,77.0,69.0,58.0,65.0,60.0,33.0,12.0,74.50308430431802
2020-03-21,63.0,100.0,80.0,100.0,66.0,71.0,100.0,89.0,55.0,100.0,90.0,60.0,97.0,16.0,72.0,48.0,73.0,51.0,89.0,39.0,100.0
2020-03-22,31.0,28.0,95.0,49.0,32.0,73.0,28.0,29.0,54.0,41.0,71.0,39.0,58.0,64.0,89.0,47.0,57.0,17.0,71.0,51.0,70.18505825908156
2020-03-23,49.0,69.0,77.0,50.0,17.0,42.0,45.0,46.0,44.0,11.0,15.0,16.0,95.0,26.0,58.0,25.0,56.0,53.0,56.0,41.0,61.06922549691569
2020-03-24,0.0,13.0,28.0,11.0,9.0,48.0,38.0,26.0,12.0,36.0,32.0,36.0,50.0,57.0,48.0,14.0,48.0,29.0,47.0,11.0,40.64427690198766
2020-03-25,14.0,50.0,56.0,11.0,28.0,16.0,61.0,13.0,12.0,24.0,16.0,88.0,51.0,0.0,47.0,0.0,37.0,14.0,60.0,22.0,42.494859492803286
2020-03-26,41.0,39.0,43.0,34.0,19.0,16.0,25.0,39.0,25.0,25.0,32.0,54.0,35.0,29.0,50.0,70.0,12.0,15.0,80.0,11.0,47.56682659355724
2020-03-27,55.0,37.0,14.0,22.0,48.0,46.0,25.0,13.0,48.0,36.0,79.0,36.0,84.0,14.0,94.0,55.0,49.0,43.0,32.0,45.0,59.972583961617545
2020-03-28,16.0,42.0,48.0,38.0,64.0,35.0,43.0,58.0,55.0,71.0,54.0,81.0,57.0,16.0,55.0,47.0,42.0,49.0,36.0,64.0,66.55243317340644
2020-03-29,30.0,14.0,15.0,35.0,10.0,0.0,13.0,0.0,52.0,13.0,0.0,38.0,18.0,15.0,34.0,29.0,26.0,16.0,34.0,24.0,28.512679917751885
2020-03-30,40.0,25.0,27.0,31.0,27.0,0.0,24.0,13.0,35.0,24.0,30.0,51.0,49.0,54.0,45.0,52.0,23.0,28.0,30.0,32.0,43.86566141192598
2020-03-31,27.0,12.0,0.0,32.0,18.0,15.0,0.0,37.0,35.0,24.0,15.0,35.0,16.0,14.0,0.0,0.0,47.0,28.0,61.0,11.0,29.26662097326936
2020-04-01,14.0,13.0,0.0,11.0,10.0,0.0,0.0,13.0,12.0,12.0,0.0,0.0,34.0,14.0,16.0,0.0,24.0,15.0,16.0,11.0,14.736120630568882
