date,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5,batch_id
2020-03-26,54.0,40.0,100.0,16.0,75.0,50.0,48.0,27.0,32.0,31.0,64.88340192043896,0
2020-03-27,8.0,38.0,36.0,48.0,37.0,32.0,47.0,51.0,31.0,31.0,49.24554183813443,0
2020-03-28,59.0,70.0,50.0,72.0,62.0,73.0,53.0,29.0,35.0,69.0,78.4636488340192,0
2020-03-29,60.0,45.0,51.0,55.0,74.0,55.0,86.0,30.0,18.0,23.0,68.1755829903978,0
2020-03-30,22.0,30.0,43.0,23.0,44.0,23.0,18.0,33.0,8.0,39.0,38.820301783264746,0
2020-03-31,36.0,38.0,26.0,15.0,27.0,39.0,27.0,41.0,23.0,29.0,41.28943758573388,0
2020-04-01,44.0,54.0,69.0,77.0,71.0,55.0,54.0,100.0,76.0,79.0,93.14128943758574,0
2020-04-02,29.0,45.0,26.0,23.0,61.0,23.0,9.0,33.0,8.0,20.0,37.99725651577503,0
2020-04-03,23.0,31.0,27.0,48.0,46.0,40.0,28.0,43.0,16.0,41.0,47.050754458161855,0
2020-04-04,17.0,9.0,31.0,9.0,42.0,9.0,42.0,20.0,18.0,23.0,30.178326474622768,0
2020-04-05,35.0,27.0,41.0,46.0,21.0,28.0,43.0,59.0,45.0,35.0,52.12620027434842,0
2020-04-06,46.0,64.0,46.0,49.0,47.0,41.0,58.0,62.0,32.0,52.0,68.1755829903978,0
2020-04-07,62.0,48.0,74.0,58.0,76.0,100.0,68.0,62.0,65.0,73.0,94.10150891632371,0
2020-04-08,39.0,49.0,38.0,75.0,48.0,59.0,49.0,90.0,41.0,54.0,74.34842249657063,0
2020-04-09,73.0,59.0,58.0,43.0,19.0,86.0,50.0,46.0,17.0,88.0,73.93689986282578,0
2020-04-10,72.0,28.0,53.0,9.0,32.0,38.0,45.0,30.0,28.0,36.0,50.89163237311385,0
2020-04-11,54.0,47.0,21.0,48.0,44.0,9.0,33.0,20.0,19.0,61.0,48.83401920438957,0
2020-04-12,51.0,44.0,29.0,53.0,41.0,54.0,84.0,57.0,44.0,22.0,65.70644718792866,0
2020-04-13,16.0,0.0,19.0,9.0,20.0,9.0,20.0,28.0,17.0,22.0,21.94787379972565,0
2020-04-14,37.0,38.0,26.0,39.0,44.0,31.0,63.0,33.0,30.0,40.0,52.26337448559671,0
2020-04-15,29.0,31.0,9.0,23.0,27.0,31.0,18.0,25.0,38.0,20.0,34.43072702331961,0
2020-04-16,30.0,31.0,26.0,39.0,27.0,8.0,46.0,51.0,31.0,30.0,43.75857338820301,0
2020-04-17,31.0,32.0,37.0,41.0,57.0,50.0,68.0,35.0,16.0,84.0,61.86556927297668,0
2020-04-18,44.0,100.0,51.0,92.0,63.0,65.0,65.0,30.0,91.0,47.0,88.88888888888889,0
2020-04-19,36.0,36.0,10.0,19.0,32.0,19.0,65.0,30.0,46.0,47.0,46.639231824417,0
2020-04-20,23.0,23.0,9.0,8.0,18.0,24.0,28.0,26.0,8.0,20.0,25.651577503429355,0
2020-04-21,46.0,56.0,64.0,65.0,66.0,49.0,67.0,53.0,24.0,52.0,74.34842249657063,0
2020-04-22,39.0,32.0,46.0,58.0,47.0,50.0,49.0,36.0,16.0,21.0,54.046639231824415,0
2020-04-23,38.0,47.0,71.0,56.0,37.0,40.0,47.0,52.0,63.0,51.0,68.86145404663922,0
2020-04-24,23.0,40.0,18.0,40.0,28.0,32.0,9.0,9.0,16.0,31.0,33.74485596707819,0
2020-04-25,25.0,9.0,10.0,27.0,20.0,36.0,21.0,68.0,35.0,23.0,37.585733882030176,0
2020-04-26,52.0,53.0,70.0,27.0,83.0,46.0,42.0,19.0,53.0,58.0,68.99862825788752,0
2020-04-27,29.0,15.0,8.0,23.0,43.0,53.0,18.0,25.0,45.0,49.0,42.249657064471876,0
2020-04-28,14.0,15.0,17.0,23.0,17.0,31.0,36.0,8.0,22.0,19.0,27.709190672153632,0
2020-04-29,22.0,8.0,26.0,0.0,27.0,0.0,28.0,17.0,8.0,20.0,21.399176954732507,0
2020-04-30,37.0,23.0,35.0,47.0,9.0,23.0,28.0,17.0,15.0,20.0,34.84224965706447,0
2020-05-01,24.0,0.0,38.0,9.0,10.0,43.0,10.0,28.0,42.0,55.0,35.528120713305896,0
2020-05-02,16.0,43.0,39.0,17.0,50.0,35.0,31.0,66.0,69.0,33.0,54.73251028806584,0
2020-05-03,9.0,26.0,30.0,18.0,21.0,36.0,42.0,38.0,18.0,11.0,34.15637860082304,0
2020-05-04,7.0,15.0,8.0,30.0,51.0,30.0,35.0,32.0,15.0,57.0,38.40877914951989,0
2020-05-05,35.0,64.0,40.0,44.0,33.0,44.0,35.0,24.0,36.0,37.0,53.77229080932785,0
2020-05-06,68.0,31.0,52.0,71.0,54.0,32.0,46.0,67.0,54.0,100.0,78.87517146776405,0
2020-05-07,15.0,0.0,18.0,16.0,18.0,16.0,19.0,26.0,8.0,31.0,22.908093278463646,0
2020-05-08,23.0,56.0,46.0,49.0,28.0,42.0,48.0,18.0,24.0,31.0,50.06858710562414,0
2020-05-09,27.0,9.0,32.0,29.0,55.0,20.0,45.0,21.0,38.0,37.0,42.9355281207133,0
2020-05-10,33.0,43.0,58.0,51.0,40.0,26.0,40.0,37.0,25.0,0.0,48.42249657064471,0
2020-05-11,29.0,37.0,42.0,30.0,35.0,46.0,62.0,25.0,37.0,68.0,56.37860082304526,0
2020-05-12,29.0,38.0,43.0,15.0,18.0,23.0,45.0,50.0,53.0,29.0,47.050754458161855,0
2020-05-13,22.0,23.0,61.0,23.0,36.0,39.0,46.0,42.0,31.0,40.0,49.79423868312756,0
2020-05-14,15.0,54.0,35.0,8.0,18.0,40.0,37.0,43.0,39.0,50.0,46.50205761316872,0
2020-05-15,30.0,39.0,27.0,16.0,45.0,39.0,19.0,34.0,46.0,30.0,44.58161865569273,0
2020-05-16,17.0,9.0,0.0,9.0,10.0,0.0,20.0,9.0,0.0,22.0,13.16872427983539,0
2020-05-17,0.0,17.0,19.0,17.0,40.0,27.0,21.0,0.0,9.0,22.0,23.593964334705074,0
2020-05-18,22.0,46.0,43.0,39.0,0.0,31.0,64.0,42.0,46.0,30.0,49.79423868312756,0
2020-05-19,30.0,31.0,26.0,39.0,9.0,8.0,28.0,42.0,23.0,30.0,36.48834019204389,0
2020-05-20,23.0,24.0,28.0,33.0,19.0,42.0,29.0,27.0,24.0,10.0,35.528120713305896,0
2020-05-21,19.0,0.0,11.0,20.0,34.0,0.0,58.0,21.0,0.0,13.0,24.14266117969822,0
2020-05-22,35.0,54.0,81.0,55.0,42.0,37.0,54.0,59.0,54.0,93.0,77.36625514403292,0
2020-05-23,17.0,9.0,29.0,26.0,30.0,27.0,21.0,19.0,17.0,45.0,32.92181069958848,0
2020-05-24,16.0,34.0,49.0,43.0,60.0,35.0,40.0,19.0,26.0,22.0,47.18792866941015,0
2020-05-25,7.0,38.0,26.0,39.0,53.0,39.0,64.0,17.0,38.0,59.0,52.12620027434842,0
2020-05-26,39.0,32.0,36.0,24.0,37.0,33.0,38.0,26.0,24.0,31.0,43.8957475994513,0
2020-05-27,22.0,23.0,9.0,16.0,9.0,24.0,9.0,25.0,31.0,30.0,27.16049382716049,0
2020-05-28,8.0,24.0,18.0,8.0,28.0,8.0,29.0,0.0,16.0,31.0,23.3196159122085,0
