,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-03-27,65.0,54.0,50.0,45.0,28.0,38.0,44.0,38.0,49.0,59.0,29.0,37.0,42.0,55.0,51.0,43.0,42.0,44.0,53.0,51.0,48.69888475836431
2020-03-28,65.0,41.0,34.0,38.0,50.0,49.0,53.0,45.0,42.0,55.0,58.0,42.0,55.0,45.0,61.0,31.0,36.0,44.0,32.0,43.0,48.805098247477424
2020-03-29,40.0,72.0,25.0,50.0,69.0,44.0,37.0,53.0,51.0,49.0,40.0,47.0,45.0,59.0,38.0,34.0,52.0,68.0,62.0,28.0,51.14179500796601
2020-03-30,40.0,38.0,28.0,25.0,28.0,27.0,40.0,25.0,57.0,30.0,44.0,30.0,31.0,60.0,46.0,36.0,34.0,30.0,35.0,33.0,38.07753584705257
2020-03-31,44.0,31.0,42.0,21.0,28.0,13.0,32.0,29.0,44.0,17.0,34.0,15.0,31.0,37.0,36.0,19.0,44.0,22.0,49.0,24.0,32.50132766861391
2020-04-01,41.0,19.0,22.0,29.0,22.0,32.0,37.0,26.0,22.0,35.0,15.0,42.0,28.0,28.0,28.0,24.0,31.0,23.0,36.0,9.0,29.155602761550714
2020-04-02,50.0,31.0,39.0,43.0,39.0,27.0,48.0,34.0,49.0,55.0,25.0,23.0,42.0,23.0,46.0,23.0,19.0,22.0,44.0,24.0,37.493361656930425
2020-04-03,56.0,56.0,37.0,33.0,51.0,39.0,50.0,52.0,50.0,39.0,35.0,36.0,56.0,53.0,38.0,30.0,31.0,45.0,41.0,38.0,45.990440785979814
2020-04-04,30.0,19.0,43.0,38.0,38.0,33.0,34.0,36.0,21.0,21.0,47.0,14.0,47.0,34.0,23.0,20.0,27.0,31.0,21.0,29.0,32.18268720127456
2020-04-05,43.0,24.0,35.0,26.0,22.0,29.0,15.0,26.0,27.0,42.0,36.0,30.0,9.0,57.0,23.0,24.0,28.0,27.0,39.0,22.0,31.014338821030268
2020-04-06,48.0,41.0,31.0,37.0,24.0,36.0,43.0,29.0,34.0,45.0,52.0,25.0,41.0,54.0,54.0,35.0,25.0,47.0,34.0,30.0,40.62665958576739
2020-04-07,10.0,15.0,0.0,7.0,7.0,10.0,16.0,17.0,22.0,13.0,10.0,15.0,4.0,18.0,23.0,10.0,4.0,7.0,13.0,12.0,12.373871481678172
2020-04-08,19.0,26.0,14.0,34.0,27.0,20.0,24.0,12.0,30.0,16.0,38.0,32.0,26.0,23.0,23.0,16.0,18.0,11.0,26.0,18.0,24.057355284121083
2020-04-09,15.0,19.0,14.0,14.0,14.0,10.0,12.0,25.0,22.0,21.0,24.0,13.0,11.0,14.0,27.0,13.0,7.0,15.0,17.0,12.0,16.94105151354222
2020-04-10,36.0,28.0,34.0,11.0,33.0,25.0,21.0,31.0,37.0,31.0,41.0,39.0,32.0,29.0,29.0,24.0,27.0,12.0,32.0,38.0,31.33297928836962
2020-04-11,34.0,31.0,29.0,33.0,12.0,39.0,23.0,39.0,31.0,20.0,22.0,43.0,31.0,21.0,27.0,34.0,30.0,30.0,41.0,21.0,31.38608603292618
2020-04-12,35.0,18.0,17.0,0.0,21.0,8.0,5.0,10.0,21.0,20.0,17.0,26.0,23.0,32.0,16.0,12.0,17.0,22.0,16.0,11.0,18.428040361125863
2020-04-13,22.0,21.0,23.0,12.0,4.0,11.0,31.0,28.0,29.0,28.0,48.0,35.0,30.0,15.0,56.0,25.0,21.0,36.0,24.0,17.0,27.40308019118428
2020-04-14,30.0,20.0,14.0,14.0,14.0,3.0,8.0,30.0,13.0,17.0,5.0,19.0,19.0,24.0,14.0,10.0,15.0,19.0,32.0,15.0,17.790759426447156
2020-04-15,31.0,32.0,26.0,15.0,19.0,25.0,34.0,35.0,42.0,31.0,20.0,20.0,24.0,34.0,48.0,24.0,31.0,23.0,42.0,25.0,30.855018587360593
2020-04-16,16.0,32.0,15.0,18.0,18.0,18.0,30.0,13.0,18.0,22.0,20.0,25.0,12.0,29.0,14.0,14.0,12.0,8.0,19.0,13.0,19.437068507700477
2020-04-17,15.0,12.0,14.0,18.0,14.0,14.0,13.0,22.0,9.0,13.0,5.0,29.0,8.0,10.0,14.0,3.0,11.0,4.0,18.0,13.0,13.754646840148698
2020-04-18,22.0,4.0,12.0,16.0,24.0,15.0,23.0,24.0,30.0,38.0,17.0,15.0,26.0,37.0,21.0,15.0,17.0,13.0,15.0,14.0,21.136484333510353
2020-04-19,17.0,9.0,16.0,16.0,8.0,8.0,9.0,0.0,5.0,5.0,17.0,19.0,17.0,11.0,16.0,26.0,17.0,4.0,15.0,17.0,13.382899628252787
