date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21_10,/m/01b_21_11,/m/01b_21_12,/m/01b_21_13,/m/01b_21_14,/m/01b_21_15,/m/01b_21_16,/m/01b_21_17,/m/01b_21_18,/m/01b_21_19,/m/01b_21
2020-03-15,42.0,82.0,47.0,61.0,43.0,67.0,71.0,47.0,11.0,0.0,36.0,43.0,69.0,41.0,100.0,69.0,52.0,41.0,50.0,100.0,60.056022408963585
2020-03-16,100.0,90.0,100.0,97.0,52.0,100.0,100.0,100.0,92.0,94.0,100.0,81.0,84.0,98.0,77.0,89.0,80.0,88.0,86.0,77.0,100.0
2020-03-17,42.0,77.0,51.0,43.0,65.0,32.0,60.0,81.0,63.0,84.0,61.0,42.0,74.0,87.0,75.0,57.0,70.0,25.0,70.0,53.0,67.89915966386555
2020-03-18,30.0,40.0,69.0,100.0,31.0,59.0,48.0,34.0,57.0,90.0,81.0,53.0,87.0,74.0,50.0,40.0,19.0,73.0,60.0,56.0,64.48179271708683
2020-03-19,46.0,42.0,14.0,37.0,47.0,62.0,33.0,61.0,59.0,64.0,41.0,62.0,55.0,58.0,92.0,83.0,58.0,47.0,23.0,41.0,57.42296918767507
2020-03-20,60.0,51.0,68.0,46.0,100.0,69.0,56.0,59.0,47.0,100.0,89.0,67.0,71.0,100.0,49.0,100.0,74.0,100.0,83.0,56.0,80.95238095238095
2020-03-21,80.0,75.0,44.0,57.0,24.0,72.0,69.0,55.0,51.0,47.0,68.0,32.0,37.0,67.0,95.0,54.0,49.0,77.0,23.0,34.0,62.18487394957983
2020-03-22,55.0,87.0,22.0,48.0,49.0,55.0,52.0,37.0,92.0,67.0,85.0,25.0,47.0,49.0,96.0,64.0,100.0,20.0,72.0,43.0,65.26610644257703
2020-03-23,33.0,45.0,55.0,72.0,42.0,38.0,50.0,53.0,69.0,48.0,50.0,54.0,62.0,40.0,44.0,72.0,49.0,97.0,46.0,57.0,60.280112044817926
2020-03-24,35.0,39.0,47.0,53.0,66.0,48.0,53.0,49.0,55.0,78.0,61.0,57.0,93.0,53.0,67.0,67.0,81.0,95.0,22.0,78.0,67.05882352941177
2020-03-25,14.0,39.0,26.0,43.0,22.0,40.0,0.0,50.0,28.0,35.0,23.0,15.0,42.0,26.0,19.0,19.0,26.0,43.0,0.0,38.0,30.70028011204482
2020-03-26,36.0,10.0,7.0,35.0,15.0,33.0,23.0,25.0,38.0,18.0,16.0,15.0,35.0,45.0,19.0,49.0,18.0,18.0,7.0,31.0,27.61904761904762
2020-03-27,28.0,49.0,19.0,60.0,50.0,25.0,76.0,65.0,64.0,60.0,22.0,29.0,100.0,26.0,37.0,77.0,27.0,52.0,57.0,38.0,53.8375350140056
2020-03-28,24.0,66.0,44.0,40.0,41.0,47.0,44.0,28.0,42.0,30.0,61.0,75.0,39.0,60.0,22.0,67.0,51.0,50.0,58.0,88.0,54.73389355742297
2020-03-29,31.0,43.0,22.0,9.0,24.0,53.0,42.0,18.0,50.0,67.0,25.0,32.0,18.0,38.0,21.0,53.0,39.0,38.0,47.0,0.0,37.53501400560224
2020-03-30,28.0,29.0,39.0,0.0,22.0,16.0,38.0,16.0,36.0,34.0,23.0,43.0,42.0,35.0,9.0,48.0,18.0,17.0,28.0,38.0,31.316526610644257
2020-03-31,0.0,19.0,7.0,17.0,7.0,24.0,8.0,8.0,18.0,17.0,15.0,7.0,25.0,9.0,9.0,19.0,0.0,8.0,0.0,22.0,13.38935574229692
2020-04-01,14.0,48.0,40.0,70.0,29.0,41.0,46.0,50.0,46.0,52.0,46.0,21.0,69.0,27.0,38.0,48.0,36.0,26.0,21.0,23.0,44.31372549019607
2020-04-02,29.0,50.0,27.0,44.0,37.0,42.0,23.0,34.0,28.0,44.0,23.0,22.0,43.0,18.0,48.0,30.0,37.0,45.0,15.0,31.0,37.53501400560224
2020-04-03,29.0,20.0,33.0,26.0,44.0,8.0,39.0,8.0,9.0,34.0,15.0,29.0,42.0,44.0,19.0,29.0,18.0,26.0,36.0,46.0,31.03641456582633
2020-04-04,25.0,46.0,38.0,10.0,17.0,29.0,35.0,49.0,32.0,20.0,45.0,34.0,39.0,10.0,44.0,56.0,72.0,21.0,8.0,18.0,36.30252100840336
2020-04-05,33.0,33.0,23.0,40.0,35.0,19.0,26.0,47.0,43.0,10.0,0.0,8.0,58.0,31.0,66.0,33.0,40.0,49.0,25.0,53.0,37.64705882352941
2020-04-06,7.0,28.0,19.0,17.0,0.0,16.0,7.0,8.0,18.0,0.0,15.0,0.0,16.0,8.0,9.0,9.0,26.0,25.0,7.0,22.0,14.397759103641457
2020-04-07,14.0,10.0,13.0,26.0,14.0,8.0,15.0,16.0,9.0,9.0,8.0,0.0,17.0,17.0,38.0,29.0,27.0,0.0,0.0,15.0,15.966386554621849
2020-04-08,36.0,20.0,7.0,26.0,38.0,16.0,23.0,16.0,19.0,26.0,23.0,22.0,17.0,53.0,56.0,29.0,18.0,9.0,21.0,23.0,27.899159663865547
2020-04-09,0.0,20.0,7.0,18.0,8.0,8.0,31.0,8.0,19.0,9.0,16.0,29.0,17.0,9.0,20.0,40.0,0.0,27.0,15.0,8.0,17.310924369747898
2020-04-10,30.0,21.0,14.0,9.0,8.0,18.0,17.0,9.0,0.0,9.0,16.0,15.0,18.0,28.0,40.0,20.0,19.0,9.0,23.0,8.0,18.54341736694678
2020-04-11,8.0,0.0,7.0,10.0,8.0,0.0,17.0,0.0,10.0,10.0,0.0,24.0,10.0,20.0,11.0,11.0,20.0,0.0,0.0,9.0,9.803921568627452
2020-04-12,24.0,22.0,7.0,10.0,8.0,19.0,9.0,28.0,31.0,10.0,26.0,33.0,19.0,20.0,22.0,33.0,30.0,10.0,32.0,26.0,23.473389355742295
2020-04-13,0.0,21.0,21.0,27.0,15.0,9.0,0.0,0.0,10.0,18.0,24.0,15.0,26.0,28.0,30.0,20.0,19.0,18.0,15.0,0.0,17.703081232493
2020-04-14,21.0,29.0,13.0,0.0,22.0,16.0,22.0,16.0,9.0,25.0,0.0,14.0,33.0,35.0,9.0,28.0,26.0,8.0,21.0,15.0,20.28011204481793
2020-04-15,22.0,30.0,7.0,18.0,15.0,8.0,32.0,34.0,19.0,18.0,32.0,15.0,18.0,18.0,30.0,0.0,37.0,18.0,15.0,32.0,23.41736694677871
2020-04-16,30.0,21.0,21.0,18.0,8.0,26.0,16.0,17.0,10.0,0.0,8.0,15.0,18.0,9.0,20.0,21.0,9.0,28.0,8.0,8.0,17.42296918767507
2020-04-17,7.0,20.0,7.0,27.0,8.0,8.0,24.0,25.0,0.0,18.0,16.0,15.0,27.0,28.0,20.0,0.0,9.0,18.0,22.0,32.0,18.54341736694678
2020-04-18,32.0,33.0,22.0,59.0,41.0,27.0,26.0,9.0,51.0,0.0,26.0,56.0,37.0,19.0,21.0,32.0,20.0,29.0,47.0,34.0,34.78991596638655
2020-04-19,16.0,0.0,0.0,0.0,8.0,18.0,0.0,28.0,20.0,19.0,26.0,16.0,9.0,19.0,11.0,53.0,0.0,38.0,0.0,9.0,16.246498599439775
