,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-03-10,22.0,42.0,15.0,51.0,28.0,15.0,61.0,16.0,30.0,48.0,38.0,46.0,34.0,26.0,13.0,50.0,44.0,18.0,29.0,0.0,42.1832884097035
2020-03-11,21.0,0.0,0.0,17.0,14.0,15.0,0.0,47.0,29.0,15.0,9.0,15.0,68.0,25.0,25.0,16.0,14.0,35.0,21.0,15.0,27.021563342318057
2020-03-12,11.0,0.0,0.0,17.0,56.0,31.0,30.0,16.0,0.0,16.0,0.0,15.0,34.0,13.0,13.0,17.0,15.0,54.0,21.0,30.0,26.212938005390836
2020-03-13,35.0,15.0,66.0,18.0,30.0,98.0,64.0,52.0,81.0,52.0,30.0,33.0,54.0,100.0,42.0,71.0,62.0,97.0,38.0,49.0,73.24797843665768
2020-03-14,46.0,59.0,33.0,18.0,59.0,16.0,16.0,86.0,81.0,86.0,31.0,99.0,93.0,56.0,56.0,54.0,31.0,19.0,61.0,65.0,71.7654986522911
2020-03-15,21.0,81.0,30.0,50.0,55.0,30.0,44.0,63.0,30.0,47.0,19.0,15.0,100.0,52.0,64.0,16.0,43.0,71.0,35.0,59.0,62.33153638814016
2020-03-16,40.0,38.0,57.0,31.0,64.0,84.0,97.0,59.0,70.0,44.0,44.0,85.0,47.0,48.0,60.0,62.0,40.0,100.0,33.0,69.0,78.97574123989219
2020-03-17,61.0,26.0,87.0,64.0,39.0,73.0,100.0,31.0,100.0,75.0,100.0,100.0,80.0,74.0,49.0,95.0,97.0,86.0,47.0,100.0,100.0
2020-03-18,32.0,40.0,60.0,67.0,54.0,75.0,59.0,31.0,44.0,78.0,28.0,90.0,34.0,64.0,38.0,81.0,14.0,71.0,63.0,58.0,72.84366576819407
2020-03-19,32.0,54.0,45.0,100.0,27.0,75.0,44.0,80.0,30.0,79.0,47.0,75.0,67.0,52.0,51.0,100.0,100.0,53.0,77.0,30.0,82.0754716981132
2020-03-20,40.0,64.0,43.0,63.0,26.0,14.0,42.0,15.0,28.0,60.0,35.0,57.0,63.0,36.0,48.0,46.0,27.0,67.0,33.0,42.0,57.21024258760107
2020-03-21,81.0,45.0,66.0,92.0,30.0,100.0,48.0,53.0,97.0,86.0,62.0,33.0,73.0,70.0,84.0,36.0,64.0,78.0,100.0,49.0,90.76819407008085
2020-03-22,47.0,30.0,67.0,74.0,30.0,33.0,65.0,35.0,82.0,34.0,31.0,100.0,56.0,57.0,43.0,91.0,63.0,59.0,70.0,49.0,75.2021563342318
2020-03-23,38.0,24.0,27.0,30.0,12.0,13.0,54.0,56.0,40.0,28.0,8.0,13.0,46.0,0.0,35.0,30.0,26.0,32.0,25.0,27.0,38.00539083557951
2020-03-24,21.0,53.0,59.0,32.0,66.0,29.0,29.0,92.0,44.0,15.0,28.0,29.0,49.0,37.0,12.0,32.0,42.0,34.0,61.0,14.0,52.42587601078167
2020-03-25,10.0,52.0,30.0,48.0,53.0,0.0,43.0,61.0,43.0,46.0,36.0,14.0,16.0,63.0,50.0,63.0,42.0,0.0,20.0,43.0,49.39353099730458
2020-03-26,42.0,26.0,45.0,33.0,13.0,44.0,43.0,15.0,15.0,46.0,0.0,29.0,48.0,12.0,38.0,32.0,28.0,35.0,20.0,58.0,41.91374663072776
2020-03-27,69.0,88.0,57.0,31.0,51.0,56.0,41.0,44.0,41.0,58.0,18.0,42.0,0.0,48.0,36.0,30.0,40.0,50.0,20.0,54.0,58.89487870619946
2020-03-28,100.0,71.0,64.0,88.0,100.0,32.0,31.0,100.0,94.0,48.0,39.0,46.0,70.0,41.0,67.0,69.0,59.0,56.0,37.0,78.0,86.92722371967655
2020-03-29,23.0,71.0,32.0,89.0,14.0,63.0,62.0,84.0,32.0,50.0,39.0,47.0,35.0,54.0,41.0,17.0,76.0,37.0,15.0,63.0,63.61185983827493
2020-03-30,30.0,25.0,0.0,32.0,38.0,14.0,42.0,60.0,28.0,44.0,9.0,0.0,47.0,0.0,24.0,31.0,27.0,49.0,20.0,0.0,35.04043126684636
2020-03-31,0.0,25.0,70.0,16.0,0.0,28.0,27.0,0.0,14.0,0.0,17.0,14.0,78.0,12.0,24.0,15.0,13.0,17.0,33.0,42.0,29.98652291105121
2020-04-01,10.0,13.0,29.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,16.0,12.0,12.0,16.0,0.0,0.0,13.0,14.0,11.657681940700808
2020-04-02,20.0,0.0,56.0,31.0,13.0,42.0,27.0,15.0,28.0,29.0,17.0,56.0,16.0,48.0,12.0,31.0,13.0,0.0,26.0,28.0,34.23180592991913
2020-04-03,10.0,13.0,0.0,16.0,13.0,29.0,14.0,15.0,57.0,15.0,18.0,14.0,16.0,12.0,12.0,63.0,41.0,17.0,14.0,29.0,28.16711590296496
2020-04-04,23.0,15.0,0.0,0.0,15.0,17.0,0.0,18.0,0.0,17.0,10.0,0.0,18.0,0.0,0.0,18.0,16.0,0.0,31.0,0.0,13.34231805929919
2020-04-05,24.0,15.0,17.0,19.0,31.0,17.0,17.0,36.0,17.0,36.0,0.0,85.0,19.0,0.0,15.0,19.0,49.0,20.0,32.0,34.0,33.82749326145552
2020-04-06,18.0,35.0,39.0,29.0,12.0,26.0,0.0,14.0,38.0,54.0,33.0,26.0,15.0,44.0,11.0,29.0,50.0,46.0,12.0,39.0,38.40970350404312
2020-04-07,20.0,0.0,0.0,48.0,0.0,71.0,28.0,0.0,42.0,30.0,18.0,29.0,16.0,12.0,12.0,31.0,27.0,17.0,26.0,0.0,28.773584905660375
2020-04-08,21.0,40.0,15.0,49.0,27.0,29.0,0.0,15.0,15.0,31.0,18.0,29.0,0.0,13.0,13.0,16.0,43.0,17.0,28.0,29.0,30.18867924528302
2020-04-09,10.0,26.0,14.0,32.0,53.0,14.0,28.0,15.0,29.0,15.0,9.0,57.0,32.0,25.0,49.0,16.0,14.0,51.0,27.0,43.0,37.668463611859835
2020-04-10,10.0,13.0,30.0,17.0,53.0,15.0,59.0,16.0,15.0,15.0,37.0,44.0,66.0,25.0,0.0,65.0,28.0,36.0,28.0,15.0,39.55525606469003
2020-04-11,46.0,30.0,100.0,73.0,15.0,0.0,16.0,52.0,82.0,34.0,10.0,33.0,0.0,28.0,55.0,0.0,62.0,97.0,23.0,16.0,52.02156334231806
2020-04-12,23.0,0.0,0.0,0.0,15.0,0.0,16.0,0.0,16.0,35.0,21.0,17.0,36.0,14.0,0.0,18.0,16.0,20.0,0.0,16.0,17.722371967654986
2020-04-13,74.0,41.0,30.0,17.0,55.0,59.0,44.0,32.0,15.0,32.0,28.0,15.0,0.0,26.0,51.0,33.0,57.0,18.0,28.0,15.0,45.14824797843666
2020-04-14,10.0,0.0,14.0,16.0,0.0,0.0,0.0,15.0,14.0,0.0,9.0,0.0,32.0,0.0,0.0,0.0,0.0,17.0,40.0,0.0,11.253369272237196
2020-04-15,11.0,0.0,0.0,33.0,14.0,30.0,15.0,0.0,44.0,0.0,0.0,0.0,17.0,25.0,26.0,33.0,14.0,53.0,41.0,15.0,25.0
2020-04-16,21.0,14.0,30.0,17.0,41.0,0.0,74.0,47.0,15.0,62.0,28.0,45.0,17.0,26.0,13.0,50.0,14.0,0.0,0.0,30.0,36.657681940700805
2020-04-17,10.0,0.0,15.0,33.0,0.0,15.0,14.0,0.0,15.0,0.0,0.0,0.0,83.0,13.0,13.0,16.0,0.0,17.0,21.0,15.0,18.867924528301884
2020-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,11.0,28.0,0.0,0.0,14.0,32.0,15.0,0.0,16.0,33.0,20.0,0.0,35.0,0.0,13.0,17.0,0.0,37.0,0.0,15.0,19.2722371967655
