date,/m/0m7pl_0,/m/0m7pl_1,/m/0m7pl_2,/m/0m7pl_3,/m/0m7pl_4,/m/0m7pl_5,/m/0m7pl_6,/m/0m7pl_7,/m/0m7pl_8,/m/0m7pl_9,/m/0m7pl,batch_id
2020-08-05,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.2,0
2020-08-06,2.0,3.0,4.0,1.0,4.0,3.0,1.0,2.0,4.0,4.0,2.8,0
2020-08-07,0.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.8,0
2020-08-08,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,2.5,0
2020-08-09,3.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.6,0
2020-08-10,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,0
2020-08-11,1.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,0.0,1.6,0
2020-08-12,3.0,6.0,3.0,3.0,2.0,7.0,4.0,5.0,1.0,2.0,3.6,0
2020-08-13,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.8,0
2020-08-14,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,1.3,0
2020-08-15,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0
2020-08-16,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.9,0
2020-08-17,0.0,2.0,0.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,1.9,0
2020-08-18,3.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,2.9,0
2020-08-19,2.0,0.0,5.0,3.0,7.0,4.0,4.0,2.0,6.0,2.0,3.5,0
2020-08-20,6.0,0.0,3.0,5.0,5.0,8.0,4.0,6.0,4.0,5.0,4.6,0
2020-08-21,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0
