date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty,batch_id
2020-04-18,14.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.3548387096774195,0.0
2020-04-19,27.0,13.0,47.0,27.0,28.0,0.0,18.0,12.0,12.0,14.0,25.548387096774192,0.0
2020-04-20,11.0,32.0,12.0,22.0,0.0,35.0,29.0,19.0,0.0,11.0,22.06451612903226,0.0
2020-04-21,11.0,11.0,0.0,23.0,0.0,0.0,0.0,10.0,10.0,23.0,11.354838709677422,0.0
2020-04-22,23.0,11.0,40.0,0.0,12.0,25.0,16.0,0.0,10.0,12.0,19.225806451612904,0.0
2020-04-23,11.0,11.0,12.0,11.0,11.0,47.0,58.0,10.0,30.0,22.0,28.774193548387096,0.0
2020-04-24,33.0,11.0,38.0,44.0,34.0,0.0,15.0,10.0,10.0,22.0,28.0,0.0
2020-04-25,13.0,0.0,15.0,13.0,0.0,15.0,0.0,12.0,0.0,14.0,10.58064516129032,0.0
2020-04-26,25.0,13.0,14.0,26.0,13.0,14.0,17.0,11.0,12.0,26.0,22.06451612903226,0.0
2020-04-27,20.0,30.0,23.0,21.0,21.0,33.0,28.0,28.0,9.0,11.0,28.90322580645161,0.0
2020-04-28,21.0,10.0,24.0,21.0,0.0,12.0,29.0,19.0,10.0,0.0,18.83870967741936,0.0
2020-04-29,11.0,0.0,48.0,11.0,11.0,12.0,14.0,29.0,29.0,22.0,24.12903225806452,0.0
2020-04-30,10.0,10.0,24.0,0.0,22.0,0.0,56.0,9.0,19.0,0.0,19.35483870967742,0.0
2020-05-01,37.0,12.0,14.0,12.0,0.0,27.0,17.0,11.0,23.0,38.0,24.645161290322584,0.0
2020-05-02,0.0,25.0,29.0,26.0,13.0,14.0,17.0,0.0,12.0,0.0,17.548387096774192,0.0
2020-05-03,0.0,13.0,0.0,26.0,13.0,14.0,0.0,11.0,0.0,0.0,9.935483870967742,0.0
2020-05-04,20.0,30.0,0.0,21.0,11.0,22.0,0.0,19.0,9.0,0.0,17.032258064516128,0.0
2020-05-05,30.0,20.0,0.0,31.0,42.0,22.0,0.0,46.0,0.0,21.0,27.35483870967742,0.0
2020-05-06,32.0,0.0,36.0,11.0,55.0,35.0,14.0,28.0,29.0,11.0,32.38709677419355,0.0
2020-05-07,0.0,11.0,0.0,11.0,0.0,0.0,14.0,10.0,0.0,11.0,7.354838709677419,0.0
2020-05-08,11.0,11.0,25.0,22.0,11.0,24.0,0.0,30.0,20.0,0.0,19.870967741935484,0.0
2020-05-09,13.0,26.0,0.0,13.0,14.0,29.0,18.0,12.0,0.0,14.0,17.93548387096774,0.0
2020-05-10,0.0,24.0,14.0,24.0,26.0,13.0,16.0,11.0,11.0,12.0,19.483870967741936,0.0
2020-05-11,11.0,0.0,48.0,21.0,11.0,0.0,28.0,19.0,29.0,22.0,24.387096774193544,0.0
2020-05-12,21.0,10.0,12.0,21.0,11.0,12.0,14.0,37.0,10.0,11.0,20.516129032258064,0.0
2020-05-13,22.0,0.0,0.0,0.0,11.0,24.0,0.0,10.0,10.0,11.0,11.354838709677422,0.0
2020-05-14,22.0,0.0,25.0,22.0,11.0,0.0,15.0,10.0,20.0,22.0,18.967741935483872,0.0
2020-05-15,11.0,0.0,0.0,22.0,12.0,12.0,0.0,10.0,0.0,0.0,8.64516129032258,0.0
