date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21,batch_id
2020-06-06,6.0,7.0,12.0,13.0,7.0,25.0,14.0,7.0,14.0,11.0,13.925570228091237,0
2020-06-07,6.0,6.0,6.0,12.0,6.0,12.0,6.0,14.0,13.0,5.0,10.324129651860744,0
2020-06-08,5.0,5.0,5.0,10.0,0.0,0.0,5.0,6.0,0.0,4.0,4.8019207683073235,0
2020-06-09,0.0,16.0,0.0,15.0,11.0,10.0,5.0,6.0,11.0,0.0,8.883553421368548,0
2020-06-10,15.0,22.0,14.0,31.0,28.0,10.0,27.0,24.0,28.0,18.0,26.050420168067227,0
2020-06-11,5.0,18.0,10.0,11.0,6.0,5.0,23.0,13.0,12.0,9.0,13.445378151260504,0
2020-06-12,6.0,13.0,11.0,6.0,13.0,0.0,0.0,7.0,6.0,0.0,7.442977190876351,0
2020-06-13,13.0,7.0,13.0,7.0,7.0,13.0,0.0,16.0,14.0,6.0,11.524609843937576,0
2020-06-14,6.0,6.0,11.0,0.0,0.0,6.0,6.0,7.0,0.0,0.0,5.042016806722689,0
2020-06-15,10.0,6.0,5.0,16.0,0.0,5.0,17.0,18.0,17.0,5.0,11.884753901560625,0
2020-06-16,5.0,11.0,9.0,15.0,17.0,10.0,11.0,18.0,17.0,9.0,14.645858343337336,0
2020-06-17,0.0,23.0,10.0,0.0,0.0,21.0,17.0,6.0,6.0,5.0,10.564225690276112,0
2020-06-18,15.0,6.0,15.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,6.482593037214886,0
2020-06-19,12.0,13.0,17.0,24.0,0.0,0.0,12.0,14.0,0.0,10.0,12.244897959183673,0
2020-06-20,12.0,21.0,12.0,26.0,7.0,25.0,33.0,15.0,21.0,11.0,21.968787515006003,0
2020-06-21,23.0,13.0,11.0,6.0,0.0,12.0,6.0,20.0,13.0,10.0,13.68547418967587,0
2020-06-22,5.0,0.0,5.0,11.0,6.0,11.0,0.0,6.0,6.0,5.0,6.602641056422569,0
2020-06-23,6.0,12.0,5.0,0.0,19.0,6.0,0.0,0.0,6.0,5.0,7.082833133253302,0
2020-06-24,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,5.0,2.7611044417767103,0
2020-06-25,17.0,32.0,11.0,12.0,26.0,6.0,19.0,7.0,19.0,16.0,19.807923169267706,0
