date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty,batch_id
2020-04-20,20.0,19.0,18.0,37.0,28.0,14.0,33.0,11.0,16.0,6.0,23.298731257208765,0
2020-04-21,21.0,14.0,0.0,20.0,0.0,7.0,12.0,6.0,9.0,13.0,11.76470588235294,0
2020-04-22,0.0,21.0,19.0,30.0,7.0,30.0,18.0,12.0,9.0,14.0,18.45444059976932,0
2020-04-23,14.0,14.0,26.0,30.0,15.0,8.0,11.0,6.0,9.0,7.0,16.147635524798154,0
2020-04-24,29.0,22.0,26.0,31.0,38.0,15.0,30.0,24.0,54.0,14.0,32.641291810841984,0
2020-04-25,9.0,9.0,0.0,25.0,27.0,18.0,7.0,14.0,11.0,17.0,15.801614763552479,0
2020-04-26,26.0,8.0,8.0,48.0,27.0,28.0,7.0,21.0,0.0,25.0,22.837370242214533,0
2020-04-27,7.0,7.0,0.0,20.0,22.0,7.0,6.0,6.0,17.0,13.0,12.110726643598616,0
2020-04-28,7.0,7.0,19.0,20.0,7.0,38.0,6.0,6.0,9.0,14.0,15.340253748558247,0
2020-04-29,7.0,0.0,6.0,19.0,7.0,0.0,11.0,6.0,26.0,13.0,10.957324106113033,0
2020-04-30,21.0,20.0,12.0,10.0,15.0,15.0,17.0,11.0,9.0,20.0,17.301038062283737,0
2020-05-01,25.0,25.0,38.0,24.0,17.0,44.0,14.0,14.0,41.0,16.0,29.757785467128027,0
2020-05-02,9.0,9.0,8.0,13.0,9.0,9.0,7.0,0.0,11.0,0.0,8.650519031141869,0
2020-05-03,9.0,9.0,33.0,40.0,10.0,30.0,38.0,15.0,11.0,18.0,24.567474048442907,0
2020-05-04,14.0,7.0,18.0,0.0,7.0,0.0,17.0,6.0,17.0,7.0,10.726643598615919,0
2020-05-05,6.0,19.0,0.0,9.0,7.0,14.0,11.0,10.0,16.0,12.0,11.995386389850058,0
2020-05-06,0.0,7.0,6.0,0.0,7.0,15.0,0.0,6.0,0.0,0.0,4.728950403690887,0
2020-05-07,15.0,14.0,0.0,42.0,15.0,8.0,6.0,6.0,9.0,14.0,14.878892733564014,0
2020-05-08,0.0,14.0,13.0,21.0,23.0,8.0,12.0,18.0,9.0,7.0,14.41753171856978,0
2020-05-09,9.0,17.0,8.0,0.0,0.0,19.0,15.0,7.0,22.0,0.0,11.188004613610149,0
2020-05-10,18.0,17.0,32.0,0.0,37.0,10.0,15.0,29.0,33.0,17.0,23.990772779700116,0
2020-05-11,20.0,33.0,6.0,20.0,21.0,29.0,11.0,17.0,8.0,20.0,21.337946943483274,0
2020-05-12,7.0,7.0,13.0,20.0,0.0,0.0,6.0,6.0,9.0,14.0,9.457900807381774,0
2020-05-13,0.0,0.0,6.0,10.0,7.0,0.0,0.0,0.0,0.0,7.0,3.460207612456747,0
2020-05-14,28.0,7.0,13.0,30.0,15.0,8.0,6.0,23.0,17.0,14.0,18.56978085351788,0
2020-05-15,7.0,15.0,14.0,11.0,16.0,8.0,0.0,12.0,0.0,7.0,10.380622837370241,0
2020-05-16,10.0,39.0,27.0,42.0,21.0,11.0,33.0,32.0,60.0,19.0,33.910034602076124,0
2020-05-17,10.0,10.0,18.0,14.0,0.0,11.0,8.0,8.0,12.0,19.0,12.687427912341407,0
2020-05-18,22.0,7.0,7.0,21.0,23.0,8.0,12.0,6.0,9.0,0.0,13.264129181084199,0
