,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-03-10,0.0,34.0,47.0,31.0,0.0,29.0,0.0,37.0,0.0,21.0,31.0,35.0,64.0,76.0,0.0,0.0,34.0,87.0,29.0,80.0,54.930795847750865
2020-03-11,62.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,52.0,32.0,38.0,38.0,0.0,34.0,0.0,28.0,52.0,39.359861591695505
2020-03-12,32.0,33.0,47.0,61.0,32.0,0.0,0.0,0.0,29.0,0.0,0.0,35.0,32.0,0.0,77.0,58.0,35.0,0.0,29.0,0.0,43.25259515570934
2020-03-13,100.0,36.0,26.0,33.0,0.0,93.0,100.0,39.0,61.0,0.0,100.0,38.0,35.0,41.0,41.0,62.0,74.0,46.0,93.0,85.0,95.41522491349481
2020-03-14,0.0,37.0,0.0,33.0,35.0,32.0,33.0,40.0,0.0,46.0,0.0,38.0,0.0,84.0,0.0,0.0,0.0,46.0,0.0,0.0,36.67820069204152
2020-03-15,60.0,32.0,23.0,0.0,31.0,28.0,60.0,35.0,28.0,41.0,30.0,51.0,62.0,0.0,73.0,28.0,66.0,0.0,56.0,25.0,63.06228373702423
2020-03-16,53.0,57.0,0.0,26.0,28.0,100.0,52.0,31.0,24.0,0.0,26.0,29.0,54.0,65.0,0.0,74.0,0.0,72.0,0.0,0.0,59.77508650519031
2020-03-17,26.0,57.0,20.0,26.0,27.0,0.0,0.0,0.0,0.0,36.0,0.0,59.0,0.0,64.0,0.0,0.0,29.0,36.0,24.0,0.0,34.94809688581315
2020-03-18,28.0,61.0,43.0,0.0,29.0,27.0,56.0,100.0,77.0,39.0,57.0,32.0,29.0,0.0,69.0,0.0,32.0,0.0,78.0,48.0,69.63667820069205
2020-03-19,30.0,63.0,44.0,0.0,0.0,54.0,0.0,35.0,27.0,20.0,58.0,33.0,30.0,73.0,0.0,54.0,33.0,80.0,27.0,25.0,59.34256055363321
2020-03-20,29.0,30.0,32.0,28.0,29.0,27.0,0.0,0.0,52.0,19.0,0.0,32.0,29.0,0.0,69.0,53.0,32.0,39.0,26.0,24.0,47.57785467128028
2020-03-21,31.0,99.0,24.0,30.0,63.0,29.0,0.0,73.0,57.0,21.0,62.0,70.0,32.0,76.0,75.0,28.0,68.0,85.0,85.0,26.0,89.44636678200692
2020-03-22,89.0,32.0,45.0,88.0,92.0,0.0,30.0,0.0,54.0,20.0,89.0,100.0,92.0,0.0,73.0,27.0,100.0,0.0,28.0,25.0,85.12110726643598
2020-03-23,0.0,27.0,19.0,0.0,26.0,0.0,25.0,0.0,0.0,17.0,0.0,28.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,21.0,19.031141868512112
2020-03-24,27.0,59.0,21.0,0.0,28.0,26.0,0.0,0.0,0.0,55.0,0.0,61.0,56.0,34.0,68.0,0.0,30.0,37.0,25.0,23.0,47.57785467128028
2020-03-25,0.0,29.0,20.0,53.0,28.0,76.0,53.0,96.0,25.0,0.0,27.0,30.0,28.0,67.0,100.0,25.0,30.0,73.0,50.0,23.0,72.05882352941177
2020-03-26,27.0,0.0,0.0,27.0,0.0,0.0,28.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,12.197231833910035
2020-03-27,79.0,56.0,30.0,26.0,54.0,74.0,26.0,62.0,48.0,18.0,77.0,89.0,80.0,97.0,64.0,24.0,87.0,72.0,49.0,44.0,100.0
2020-03-28,0.0,33.0,23.0,60.0,95.0,29.0,30.0,36.0,85.0,63.0,31.0,68.0,32.0,38.0,75.0,28.0,34.0,84.0,0.0,52.0,77.50865051903115
2020-03-29,89.0,0.0,22.0,59.0,62.0,28.0,59.0,35.0,54.0,61.0,60.0,66.0,92.0,74.0,36.0,0.0,66.0,41.0,56.0,100.0,91.69550173010381
