,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,44.0,46.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,39.0,13.999866029990145
2020-12-05,0.0,44.0,0.0,0.0,43.0,33.0,0.0,0.0,0.0,47.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,18.126142333566186
2020-12-06,0.0,0.0,42.0,47.0,45.0,35.0,0.0,63.0,32.0,48.0,0.0,0.0,0.0,42.857142857142854,0.0,32.0,46.0,33.0,47.0,0.0,37.78911206591325
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-08,46.0,90.0,42.0,46.0,0.0,100.0,0.0,31.0,31.0,0.0,46.0,0.0,32.0,41.55844155844156,0.0,32.0,90.0,33.0,46.0,0.0,52.061702758825284
2020-12-09,45.0,45.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,46.0,41.0,22.105051626300227
2020-12-10,0.0,0.0,0.0,0.0,0.0,34.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,41.55844155844156,48.0,0.0,0.0,0.0,0.0,42.0,14.48311499411489
2020-12-11,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,6.631515487890069
2020-12-12,0.0,47.0,86.0,48.0,91.0,0.0,33.0,32.0,0.0,0.0,48.0,49.0,0.0,42.857142857142854,49.0,33.0,0.0,0.0,48.0,43.0,47.88375230859036
2020-12-13,48.0,48.0,44.0,0.0,0.0,36.0,0.0,0.0,33.0,0.0,0.0,0.0,34.0,44.15584415584416,0.0,0.0,48.0,35.0,50.0,0.0,30.958555420522295
2020-12-14,45.0,45.0,42.0,0.0,0.0,34.0,0.0,0.0,31.0,0.0,46.0,47.0,32.0,41.55844155844156,0.0,0.0,0.0,33.0,0.0,42.0,32.31452330599708
2020-12-15,0.0,0.0,44.0,0.0,46.0,0.0,33.0,32.0,0.0,49.0,0.0,50.0,0.0,0.0,0.0,33.0,0.0,34.0,0.0,0.0,23.652405240141245
2020-12-16,0.0,94.0,0.0,0.0,91.0,35.0,0.0,32.0,0.0,0.0,48.0,0.0,33.0,42.857142857142854,0.0,33.0,0.0,35.0,48.0,0.0,36.24175845207224
2020-12-17,0.0,0.0,0.0,0.0,48.0,36.0,0.0,0.0,34.0,0.0,50.0,51.0,0.0,44.15584415584416,0.0,34.0,49.0,35.0,49.0,45.0,35.011148218677334
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7262897005770284
2020-12-19,51.0,50.0,47.0,0.0,49.0,0.0,36.0,0.0,35.0,53.0,52.0,53.0,36.0,0.0,0.0,0.0,0.0,37.0,0.0,46.0,40.157510454445415
2020-12-20,0.0,0.0,49.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,54.0,56.0,37.0,48.05194805194805,55.0,0.0,0.0,38.0,53.0,49.0,35.00349278954269
2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-22,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,52.0,46.0,17.16825676309318
2020-12-23,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,52.0,35.0,0.0,37.0,0.0,0.0,16.799839235988173
2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-29,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,10.684108286045111
2020-12-30,51.0,0.0,48.0,0.0,50.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,37.0,0.0,0.0,21.44190007751122
2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.799973205998029
2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,55.0,0.0,0.0,37.0,0.0,54.0,0.0,52.0,38.0,0.0,49.0,23.652405240141245
2021-01-04,47.0,0.0,0.0,49.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,33.0,47.0,35.0,0.0,0.0,21.810317604616227
2021-01-05,0.0,0.0,0.0,49.0,46.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,0.0,0.0,0.0,33.0,48.0,0.0,0.0,0.0,20.18928048535421
2021-01-06,0.0,47.0,89.0,49.0,46.0,71.0,0.0,33.0,33.0,50.0,98.0,50.0,33.0,88.31168831168831,0.0,67.0,47.0,69.0,49.0,44.0,70.98018200782768
2021-01-07,98.0,48.0,90.0,50.0,47.0,36.0,35.0,33.0,67.0,51.0,0.0,0.0,0.0,44.15584415584416,51.0,34.0,0.0,36.0,100.0,0.0,60.4319575889226
2021-01-08,49.0,0.0,91.0,0.0,0.0,0.0,0.0,33.0,68.0,51.0,50.0,51.0,34.0,44.15584415584416,0.0,68.0,49.0,0.0,50.0,0.0,47.021559602300464
2021-01-09,0.0,51.0,48.0,53.0,0.0,0.0,0.0,35.0,36.0,0.0,0.0,54.0,37.0,0.0,0.0,0.0,52.0,0.0,53.0,47.0,34.33651352618636
2021-01-10,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.799973205998029
2021-01-11,96.0,47.0,45.0,0.0,0.0,36.0,34.0,33.0,33.0,50.0,98.0,100.0,34.0,89.6103896103896,0.0,34.0,96.0,70.0,50.0,88.0,76.16003674605984
2021-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13,48.0,47.0,44.0,49.0,46.0,35.0,34.0,0.0,32.0,0.0,0.0,0.0,33.0,44.15584415584416,49.0,0.0,0.0,0.0,0.0,0.0,33.97957914278334
2021-01-14,0.0,48.0,0.0,49.0,46.0,0.0,34.0,33.0,0.0,0.0,0.0,0.0,34.0,44.15584415584416,0.0,34.0,0.0,0.0,49.0,44.0,30.590137893417293
2021-01-15,0.0,50.0,46.0,50.0,0.0,0.0,0.0,34.0,34.0,52.0,0.0,0.0,35.0,0.0,51.0,0.0,49.0,0.0,0.0,0.0,29.547085673821307
2021-01-16,0.0,52.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,54.0,36.0,0.0,38.0,52.0,0.0,23.799772250983242
2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
