date,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1_10,/m/07mf1_11,/m/07mf1_12,/m/07mf1_13,/m/07mf1_14,/m/07mf1_15,/m/07mf1_16,/m/07mf1_17,/m/07mf1_18,/m/07mf1_19,/m/07mf1
2020-12-10,18.0,35.0,30.0,74.0,49.0,17.0,40.0,66.0,35.0,44.0,12.0,37.0,14.0,28.0,15.0,62.0,26.0,30.0,19.0,0.0,55.54607508532423
2020-12-11,91.0,0.0,90.0,19.0,83.0,52.0,68.0,17.0,36.0,60.0,36.0,77.0,15.0,66.0,63.0,63.0,54.0,79.0,76.0,64.0,94.62457337883959
2020-12-12,18.0,37.0,30.0,96.0,67.0,35.0,14.0,51.0,36.0,60.0,23.0,0.0,29.0,48.0,16.0,43.0,0.0,31.0,38.0,33.0,60.153583617747444
2020-12-13,57.0,38.0,16.0,79.0,52.0,36.0,70.0,35.0,37.0,15.0,0.0,20.0,0.0,39.0,0.0,66.0,0.0,48.0,39.0,33.0,58.02047781569966
2020-12-14,54.0,36.0,44.0,37.0,16.0,0.0,53.0,17.0,70.0,0.0,12.0,0.0,0.0,28.0,16.0,0.0,13.0,16.0,19.0,16.0,38.139931740614344
2020-12-15,19.0,18.0,0.0,0.0,0.0,0.0,41.0,17.0,0.0,0.0,12.0,58.0,29.0,29.0,48.0,43.0,27.0,48.0,19.0,33.0,37.62798634812287
2020-12-16,0.0,55.0,15.0,19.0,34.0,36.0,27.0,68.0,0.0,31.0,12.0,60.0,15.0,49.0,33.0,66.0,14.0,16.0,58.0,0.0,51.87713310580205
2020-12-17,0.0,19.0,0.0,0.0,18.0,19.0,14.0,0.0,19.0,48.0,0.0,0.0,31.0,41.0,17.0,0.0,15.0,0.0,41.0,35.0,27.047781569965874
2020-12-18,62.0,60.0,50.0,21.0,55.0,0.0,75.0,19.0,100.0,16.0,13.0,22.0,0.0,21.0,0.0,47.0,30.0,0.0,0.0,35.0,53.41296928327645
2020-12-19,81.0,79.0,33.0,21.0,55.0,19.0,75.0,74.0,79.0,32.0,39.0,21.0,16.0,53.0,0.0,47.0,15.0,17.0,21.0,18.0,67.83276450511946
2020-12-20,84.0,21.0,34.0,22.0,57.0,20.0,31.0,0.0,0.0,35.0,0.0,45.0,33.0,22.0,18.0,48.0,16.0,18.0,66.0,37.0,51.79180887372014
2020-12-21,38.0,19.0,16.0,20.0,0.0,54.0,29.0,0.0,56.0,47.0,12.0,100.0,30.0,60.0,33.0,67.0,28.0,16.0,80.0,34.0,63.05460750853243
2020-12-22,20.0,40.0,17.0,21.0,37.0,38.0,15.0,0.0,57.0,65.0,26.0,21.0,47.0,42.0,17.0,46.0,59.0,34.0,21.0,35.0,56.14334470989761
2020-12-23,0.0,20.0,0.0,21.0,18.0,19.0,15.0,18.0,0.0,0.0,13.0,21.0,32.0,21.0,0.0,23.0,0.0,17.0,21.0,0.0,22.098976109215016
2020-12-24,0.0,23.0,38.0,24.0,21.0,0.0,17.0,21.0,0.0,0.0,15.0,24.0,36.0,24.0,20.0,27.0,17.0,0.0,24.0,20.0,29.94880546075085
2020-12-25,24.0,23.0,19.0,25.0,22.0,45.0,35.0,0.0,0.0,19.0,15.0,25.0,37.0,25.0,62.0,28.0,35.0,21.0,0.0,21.0,41.040955631399314
2020-12-26,22.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,55.0,85.0,23.0,36.0,23.0,38.0,52.0,33.0,75.0,69.0,78.0,52.986348122866886
2020-12-27,100.0,79.0,16.0,41.0,18.0,57.0,15.0,0.0,40.0,16.0,26.0,42.0,32.0,63.0,17.0,70.0,15.0,35.0,63.0,0.0,63.56655290102389
2020-12-28,0.0,0.0,16.0,20.0,0.0,35.0,0.0,0.0,0.0,15.0,48.0,20.0,15.0,0.0,32.0,22.0,42.0,32.0,39.0,33.0,31.484641638225256
2020-12-29,19.0,19.0,48.0,59.0,52.0,0.0,43.0,52.0,19.0,16.0,25.0,20.0,46.0,40.0,17.0,0.0,14.0,0.0,20.0,17.0,44.88054607508531
2020-12-30,20.0,0.0,17.0,0.0,18.0,0.0,0.0,18.0,20.0,16.0,38.0,21.0,32.0,21.0,35.0,23.0,29.0,34.0,42.0,52.0,37.201365187713314
2020-12-31,65.0,43.0,18.0,45.0,20.0,0.0,16.0,39.0,0.0,35.0,0.0,22.0,0.0,22.0,18.0,0.0,16.0,0.0,23.0,0.0,32.59385665529011
2021-01-01,23.0,0.0,0.0,24.0,0.0,22.0,0.0,21.0,22.0,55.0,29.0,72.0,36.0,47.0,40.0,52.0,50.0,19.0,47.0,20.0,49.402730375426614
2021-01-02,63.0,42.0,35.0,43.0,39.0,81.0,16.0,58.0,21.0,52.0,55.0,90.0,100.0,56.0,56.0,98.0,47.0,55.0,66.0,76.0,98.03754266211605
2021-01-03,63.0,61.0,51.0,64.0,0.0,19.0,46.0,57.0,60.0,17.0,13.0,22.0,0.0,32.0,0.0,48.0,15.0,35.0,0.0,18.0,52.986348122866886
2021-01-04,37.0,0.0,15.0,19.0,17.0,35.0,27.0,35.0,18.0,45.0,36.0,99.0,15.0,19.0,32.0,22.0,55.0,48.0,77.0,99.0,63.993174061433436
2021-01-05,38.0,56.0,62.0,19.0,17.0,36.0,42.0,51.0,0.0,46.0,24.0,60.0,15.0,59.0,16.0,44.0,28.0,16.0,79.0,50.0,64.67576791808874
2021-01-06,38.0,19.0,31.0,39.0,17.0,36.0,28.0,35.0,37.0,78.0,24.0,40.0,30.0,60.0,48.0,22.0,56.0,32.0,59.0,0.0,62.20136518771331
2021-01-07,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,19.0,47.0,100.0,20.0,31.0,81.0,84.0,45.0,57.0,100.0,81.0,85.0,71.9283276450512
2021-01-08,39.0,57.0,48.0,40.0,35.0,36.0,29.0,53.0,19.0,47.0,0.0,21.0,31.0,50.0,0.0,22.0,43.0,17.0,40.0,17.0,54.948805460750854
2021-01-09,41.0,80.0,17.0,42.0,37.0,77.0,15.0,19.0,80.0,0.0,26.0,43.0,48.0,32.0,35.0,94.0,90.0,35.0,84.0,36.0,79.43686006825938
2021-01-10,0.0,62.0,34.0,21.0,76.0,0.0,62.0,95.0,20.0,17.0,13.0,22.0,0.0,43.0,54.0,0.0,0.0,35.0,21.0,37.0,52.21843003412969
2021-01-11,19.0,56.0,16.0,20.0,17.0,18.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,20.0,33.0,22.0,0.0,0.0,20.0,0.0,21.58703071672355
2021-01-12,0.0,38.0,0.0,39.0,0.0,18.0,14.0,17.0,37.0,16.0,0.0,0.0,0.0,20.0,0.0,22.0,28.0,16.0,40.0,17.0,27.474402730375427
2021-01-13,57.0,55.0,46.0,78.0,51.0,36.0,55.0,86.0,18.0,30.0,24.0,40.0,45.0,78.0,16.0,22.0,28.0,16.0,59.0,50.0,75.93856655290102
2021-01-14,19.0,38.0,47.0,78.0,51.0,36.0,42.0,53.0,56.0,15.0,24.0,80.0,15.0,69.0,32.0,22.0,55.0,0.0,59.0,33.0,70.30716723549487
2021-01-15,19.0,0.0,48.0,0.0,0.0,56.0,0.0,36.0,0.0,48.0,0.0,63.0,47.0,61.0,34.0,46.0,15.0,34.0,82.0,17.0,51.706484641638234
2021-01-16,61.0,40.0,33.0,21.0,18.0,59.0,15.0,38.0,40.0,17.0,13.0,22.0,16.0,21.0,18.0,24.0,15.0,35.0,0.0,54.0,47.7815699658703
2021-01-17,20.0,0.0,33.0,21.0,55.0,19.0,0.0,36.0,0.0,32.0,26.0,21.0,16.0,42.0,34.0,0.0,15.0,0.0,0.0,17.0,33.020477815699664
