date,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1,batch_id
2020-05-12,46.0,27.0,33.0,44.0,25.0,33.0,30.0,46.0,15.0,25.0,37.19862227324914,0.0
2020-05-13,12.0,26.0,20.0,35.0,16.0,23.0,26.0,21.0,11.0,25.0,24.68427095292767,0.0
2020-05-14,17.0,20.0,13.0,20.0,16.0,21.0,23.0,9.0,27.0,26.0,22.04362801377727,0.0
2020-05-15,31.0,28.0,39.0,21.0,23.0,25.0,28.0,27.0,32.0,35.0,33.18025258323766,0.0
2020-05-16,47.0,27.0,11.0,38.0,17.0,23.0,26.0,23.0,11.0,34.0,29.50631458094145,0.0
2020-05-17,27.0,15.0,26.0,21.0,16.0,26.0,19.0,22.0,34.0,27.0,26.750861079219288,0.0
2020-05-18,76.0,45.0,39.0,26.0,44.0,18.0,36.0,54.0,28.0,40.0,46.61308840413319,0.0
2020-05-19,36.0,24.0,35.0,34.0,20.0,21.0,36.0,27.0,36.0,35.0,34.90241102181401,0.0
2020-05-20,39.0,36.0,60.0,42.0,19.0,24.0,31.0,40.0,32.0,39.0,41.5614236509759,0.0
2020-05-21,37.0,25.0,22.0,17.0,17.0,22.0,16.0,23.0,29.0,18.0,25.947187141216997,0.0
2020-05-22,24.0,17.0,23.0,32.0,18.0,11.0,17.0,19.0,22.0,24.0,23.76578645235362,0.0
2020-05-23,29.0,31.0,24.0,23.0,18.0,12.0,22.0,49.0,22.0,24.0,29.161882893226174,0.0
2020-05-24,14.0,30.0,18.0,27.0,14.0,38.0,34.0,19.0,26.0,28.0,28.473019517795638,0.0
2020-05-25,12.0,33.0,16.0,15.0,12.0,23.0,11.0,12.0,18.0,20.0,19.747416762342137,0.0
2020-05-26,38.0,27.0,16.0,4.0,13.0,17.0,27.0,30.0,23.0,34.0,26.291618828932265,0.0
2020-05-27,0.0,12.0,0.0,26.0,10.0,11.0,8.0,23.0,20.0,27.0,15.729047072330653,0.0
2020-05-28,17.0,11.0,12.0,28.0,19.0,30.0,23.0,26.0,8.0,21.0,22.388059701492534,0.0
2020-05-29,19.0,17.0,37.0,36.0,21.0,15.0,34.0,43.0,9.0,28.0,29.735935706084966,0.0
2020-05-30,16.0,20.0,32.0,16.0,0.0,13.0,5.0,5.0,35.0,22.0,18.828932261768077,0.0
2020-05-31,27.0,21.0,9.0,22.0,14.0,22.0,20.0,18.0,21.0,18.0,22.04362801377727,0.0
2020-06-01,17.0,23.0,21.0,29.0,16.0,17.0,27.0,26.0,12.0,9.0,22.617680826636054,0.0
2020-06-02,17.0,35.0,21.0,24.0,13.0,27.0,23.0,22.0,23.0,21.0,25.947187141216997,0.0
2020-06-03,25.0,19.0,33.0,12.0,34.0,30.0,22.0,8.0,15.0,25.0,25.602755453501725,0.0
2020-06-04,16.0,22.0,16.0,12.0,9.0,13.0,11.0,12.0,15.0,20.0,16.762342135476466,0.0
2020-06-05,8.0,15.0,28.0,16.0,16.0,13.0,19.0,21.0,26.0,12.0,19.97703788748565,0.0
2020-06-06,21.0,33.0,26.0,30.0,8.0,25.0,19.0,27.0,19.0,16.0,25.71756601607348,0.0
2020-06-07,23.0,26.0,18.0,23.0,11.0,11.0,8.0,14.0,17.0,9.0,18.369690011481055,0.0
2020-06-08,11.0,14.0,18.0,29.0,8.0,12.0,17.0,23.0,21.0,15.0,19.288174512055107,0.0
2020-06-09,24.0,14.0,27.0,11.0,9.0,13.0,7.0,36.0,18.0,20.0,20.551090700344428,0.0
2020-06-10,8.0,11.0,12.0,23.0,15.0,13.0,22.0,16.0,15.0,8.0,16.417910447761194,0.0
2020-06-11,4.0,8.0,21.0,4.0,16.0,21.0,8.0,27.0,8.0,26.0,16.417910447761194,0.0
2020-06-12,5.0,9.0,14.0,14.0,18.0,15.0,13.0,20.0,13.0,10.0,15.040183696900115,0.0
2020-06-13,29.0,16.0,6.0,22.0,4.0,14.0,26.0,17.0,26.0,6.0,19.0585533869116,0.0
2020-06-14,19.0,35.0,23.0,27.0,14.0,26.0,25.0,34.0,34.0,24.0,29.96555683122848,0.0
2020-06-15,26.0,23.0,25.0,28.0,16.0,13.0,27.0,34.0,23.0,13.0,26.176808266360503,0.0
2020-06-16,34.0,23.0,12.0,16.0,9.0,20.0,8.0,17.0,23.0,17.0,20.551090700344428,0.0
2020-06-17,30.0,28.0,34.0,21.0,16.0,21.0,19.0,22.0,28.0,30.0,28.587830080367397,0.0
2020-06-18,29.0,38.0,37.0,32.0,25.0,20.0,30.0,13.0,23.0,21.0,30.76923076923077,0.0
2020-06-19,18.0,12.0,26.0,13.0,20.0,14.0,16.0,27.0,8.0,18.0,19.747416762342137,0.0
2020-06-20,10.0,22.0,10.0,23.0,15.0,12.0,13.0,15.0,9.0,15.0,16.532721010332953,0.0
2020-06-21,29.0,9.0,14.0,5.0,7.0,15.0,17.0,10.0,9.0,14.0,14.810562571756602,0.0
2020-06-22,13.0,16.0,13.0,17.0,13.0,14.0,8.0,13.0,12.0,9.0,14.695752009184847,0.0
2020-06-23,19.0,34.0,18.0,18.0,4.0,11.0,21.0,19.0,17.0,19.0,20.66590126291619,0.0
2020-06-24,22.0,16.0,31.0,17.0,7.0,14.0,20.0,18.0,28.0,22.0,22.388059701492534,0.0
2020-06-25,19.0,17.0,14.0,14.0,14.0,8.0,8.0,14.0,22.0,19.0,17.106773823191734,0.0
2020-06-26,20.0,22.0,24.0,28.0,7.0,12.0,18.0,20.0,22.0,10.0,21.010332950631454,0.0
2020-06-27,6.0,5.0,18.0,6.0,9.0,14.0,16.0,6.0,11.0,18.0,12.514351320321472,0.0
2020-06-28,10.0,29.0,15.0,20.0,8.0,29.0,9.0,21.0,19.0,21.0,20.78071182548795,0.0
