iso_code,location,date,icu_patients,hosp_patients,population
AFG,Afghanistan,2020-10-07,,,38928341.0
AFG,Afghanistan,2020-10-08,,,38928341.0
AFG,Afghanistan,2020-10-09,,,38928341.0
AFG,Afghanistan,2020-10-10,,,38928341.0
AFG,Afghanistan,2020-10-11,,,38928341.0
AFG,Afghanistan,2020-10-12,,,38928341.0
AFG,Afghanistan,2020-10-13,,,38928341.0
AFG,Afghanistan,2020-10-14,,,38928341.0
AFG,Afghanistan,2020-10-15,,,38928341.0
AFG,Afghanistan,2020-10-16,,,38928341.0
AFG,Afghanistan,2020-10-17,,,38928341.0
AFG,Afghanistan,2020-10-18,,,38928341.0
AFG,Afghanistan,2020-10-19,,,38928341.0
AFG,Afghanistan,2020-10-20,,,38928341.0
AFG,Afghanistan,2020-10-21,,,38928341.0
AFG,Afghanistan,2020-10-22,,,38928341.0
AFG,Afghanistan,2020-10-23,,,38928341.0
AFG,Afghanistan,2020-10-24,,,38928341.0
AFG,Afghanistan,2020-10-25,,,38928341.0
AFG,Afghanistan,2020-10-26,,,38928341.0
AFG,Afghanistan,2020-10-27,,,38928341.0
AFG,Afghanistan,2020-10-28,,,38928341.0
AFG,Afghanistan,2020-10-29,,,38928341.0
AFG,Afghanistan,2020-10-30,,,38928341.0
AFG,Afghanistan,2020-10-31,,,38928341.0
AFG,Afghanistan,2020-11-01,,,38928341.0
AFG,Afghanistan,2020-11-02,,,38928341.0
AFG,Afghanistan,2020-11-03,,,38928341.0
AFG,Afghanistan,2020-11-04,,,38928341.0
AFG,Afghanistan,2020-11-05,,,38928341.0
AFG,Afghanistan,2020-11-06,,,38928341.0
AFG,Afghanistan,2020-11-07,,,38928341.0
AFG,Afghanistan,2020-11-08,,,38928341.0
AFG,Afghanistan,2020-11-09,,,38928341.0
AFG,Afghanistan,2020-11-10,,,38928341.0
AFG,Afghanistan,2020-11-11,,,38928341.0
AFG,Afghanistan,2020-11-12,,,38928341.0
AFG,Afghanistan,2020-11-13,,,38928341.0
AFG,Afghanistan,2020-11-14,,,38928341.0
AFG,Afghanistan,2020-11-15,,,38928341.0
AFG,Afghanistan,2020-11-16,,,38928341.0
AFG,Afghanistan,2020-11-17,,,38928341.0
AFG,Afghanistan,2020-11-18,,,38928341.0
AFG,Afghanistan,2020-11-19,,,38928341.0
AFG,Afghanistan,2020-11-20,,,38928341.0
AFG,Afghanistan,2020-11-21,,,38928341.0
AFG,Afghanistan,2020-11-22,,,38928341.0
AFG,Afghanistan,2020-11-23,,,38928341.0
AFG,Afghanistan,2020-11-24,,,38928341.0
AFG,Afghanistan,2020-11-25,,,38928341.0
AFG,Afghanistan,2020-11-26,,,38928341.0
AFG,Afghanistan,2020-11-27,,,38928341.0
AFG,Afghanistan,2020-11-28,,,38928341.0
AFG,Afghanistan,2020-11-29,,,38928341.0
AFG,Afghanistan,2020-11-30,,,38928341.0
AFG,Afghanistan,2020-12-01,,,38928341.0
AFG,Afghanistan,2020-12-02,,,38928341.0
AFG,Afghanistan,2020-12-03,,,38928341.0
AFG,Afghanistan,2020-12-04,,,38928341.0
AFG,Afghanistan,2020-12-05,,,38928341.0
AFG,Afghanistan,2020-12-06,,,38928341.0
AFG,Afghanistan,2020-12-07,,,38928341.0
AFG,Afghanistan,2020-12-08,,,38928341.0
AFG,Afghanistan,2020-12-09,,,38928341.0
AFG,Afghanistan,2020-12-10,,,38928341.0
AFG,Afghanistan,2020-12-11,,,38928341.0
AFG,Afghanistan,2020-12-12,,,38928341.0
AFG,Afghanistan,2020-12-13,,,38928341.0
AFG,Afghanistan,2020-12-14,,,38928341.0
AFG,Afghanistan,2020-12-15,,,38928341.0
AFG,Afghanistan,2020-12-16,,,38928341.0
AFG,Afghanistan,2020-12-17,,,38928341.0
AFG,Afghanistan,2020-12-18,,,38928341.0
AFG,Afghanistan,2020-12-19,,,38928341.0
AFG,Afghanistan,2020-12-20,,,38928341.0
AFG,Afghanistan,2020-12-21,,,38928341.0
AFG,Afghanistan,2020-12-22,,,38928341.0
AFG,Afghanistan,2020-12-23,,,38928341.0
AFG,Afghanistan,2020-12-24,,,38928341.0
AFG,Afghanistan,2020-12-25,,,38928341.0
AFG,Afghanistan,2020-12-26,,,38928341.0
AFG,Afghanistan,2020-12-27,,,38928341.0
AFG,Afghanistan,2020-12-28,,,38928341.0
AFG,Afghanistan,2020-12-29,,,38928341.0
AFG,Afghanistan,2020-12-30,,,38928341.0
AFG,Afghanistan,2020-12-31,,,38928341.0
AFG,Afghanistan,2021-01-01,,,38928341.0
AFG,Afghanistan,2021-01-02,,,38928341.0
AFG,Afghanistan,2021-01-03,,,38928341.0
AFG,Afghanistan,2021-01-04,,,38928341.0
AFG,Afghanistan,2021-01-05,,,38928341.0
AFG,Afghanistan,2021-01-06,,,38928341.0
AFG,Afghanistan,2021-01-07,,,38928341.0
AFG,Afghanistan,2021-01-08,,,38928341.0
AFG,Afghanistan,2021-01-09,,,38928341.0
AFG,Afghanistan,2021-01-10,,,38928341.0
AFG,Afghanistan,2021-01-11,,,38928341.0
AFG,Afghanistan,2021-01-12,,,38928341.0
AFG,Afghanistan,2021-01-13,,,38928341.0
AFG,Afghanistan,2021-01-14,,,38928341.0
AFG,Afghanistan,2021-01-15,,,38928341.0
AFG,Afghanistan,2021-01-16,,,38928341.0
AFG,Afghanistan,2021-01-17,,,38928341.0
AFG,Afghanistan,2021-01-18,,,38928341.0
AFG,Afghanistan,2021-01-19,,,38928341.0
AFG,Afghanistan,2021-01-20,,,38928341.0
AFG,Afghanistan,2021-01-21,,,38928341.0
AFG,Afghanistan,2021-01-22,,,38928341.0
AFG,Afghanistan,2021-01-23,,,38928341.0
AFG,Afghanistan,2021-01-24,,,38928341.0
AFG,Afghanistan,2021-01-25,,,38928341.0
AFG,Afghanistan,2021-01-26,,,38928341.0
AFG,Afghanistan,2021-01-27,,,38928341.0
AFG,Afghanistan,2021-01-28,,,38928341.0
AFG,Afghanistan,2021-01-29,,,38928341.0
AFG,Afghanistan,2021-01-30,,,38928341.0
AFG,Afghanistan,2021-01-31,,,38928341.0
AFG,Afghanistan,2021-02-01,,,38928341.0
AFG,Afghanistan,2021-02-02,,,38928341.0
AFG,Afghanistan,2021-02-03,,,38928341.0
AFG,Afghanistan,2021-02-04,,,38928341.0
AFG,Afghanistan,2021-02-05,,,38928341.0
AFG,Afghanistan,2021-02-06,,,38928341.0
AFG,Afghanistan,2021-02-07,,,38928341.0
AFG,Afghanistan,2021-02-08,,,38928341.0
AFG,Afghanistan,2021-02-09,,,38928341.0
AFG,Afghanistan,2021-02-10,,,38928341.0
AFG,Afghanistan,2021-02-11,,,38928341.0
AFG,Afghanistan,2021-02-12,,,38928341.0
AFG,Afghanistan,2021-02-13,,,38928341.0
AFG,Afghanistan,2021-02-14,,,38928341.0
AFG,Afghanistan,2021-02-15,,,38928341.0
AFG,Afghanistan,2021-02-16,,,38928341.0
AFG,Afghanistan,2021-02-17,,,38928341.0
AFG,Afghanistan,2021-02-18,,,38928341.0
AFG,Afghanistan,2021-02-19,,,38928341.0
AFG,Afghanistan,2021-02-20,,,38928341.0
AFG,Afghanistan,2021-02-21,,,38928341.0
AFG,Afghanistan,2021-02-22,,,38928341.0
AFG,Afghanistan,2021-02-23,,,38928341.0
AFG,Afghanistan,2021-02-24,,,38928341.0
AFG,Afghanistan,2021-02-25,,,38928341.0
AFG,Afghanistan,2021-02-26,,,38928341.0
AFG,Afghanistan,2021-02-27,,,38928341.0
AFG,Afghanistan,2021-02-28,,,38928341.0
AFG,Afghanistan,2021-03-01,,,38928341.0
AFG,Afghanistan,2021-03-02,,,38928341.0
AFG,Afghanistan,2021-03-03,,,38928341.0
AFG,Afghanistan,2021-03-04,,,38928341.0
AFG,Afghanistan,2021-03-05,,,38928341.0
AFG,Afghanistan,2021-03-06,,,38928341.0
AFG,Afghanistan,2021-03-07,,,38928341.0
AFG,Afghanistan,2021-03-08,,,38928341.0
AFG,Afghanistan,2021-03-09,,,38928341.0
OWID_AFR,Africa,2020-02-13,,,1340598113.0
OWID_AFR,Africa,2020-02-14,,,1340598113.0
OWID_AFR,Africa,2020-02-15,,,1340598113.0
OWID_AFR,Africa,2020-02-16,,,1340598113.0
OWID_AFR,Africa,2020-02-17,,,1340598113.0
OWID_AFR,Africa,2020-02-18,,,1340598113.0
OWID_AFR,Africa,2020-02-19,,,1340598113.0
OWID_AFR,Africa,2020-02-20,,,1340598113.0
OWID_AFR,Africa,2020-02-21,,,1340598113.0
OWID_AFR,Africa,2020-02-22,,,1340598113.0
OWID_AFR,Africa,2020-02-23,,,1340598113.0
OWID_AFR,Africa,2020-02-24,,,1340598113.0
OWID_AFR,Africa,2020-02-25,,,1340598113.0
OWID_AFR,Africa,2020-02-26,,,1340598113.0
OWID_AFR,Africa,2020-02-27,,,1340598113.0
OWID_AFR,Africa,2020-02-28,,,1340598113.0
OWID_AFR,Africa,2020-02-29,,,1340598113.0
OWID_AFR,Africa,2020-03-01,,,1340598113.0
OWID_AFR,Africa,2020-03-02,,,1340598113.0
OWID_AFR,Africa,2020-03-03,,,1340598113.0
OWID_AFR,Africa,2020-03-04,,,1340598113.0
OWID_AFR,Africa,2020-03-05,,,1340598113.0
OWID_AFR,Africa,2020-03-06,,,1340598113.0
OWID_AFR,Africa,2020-03-07,,,1340598113.0
OWID_AFR,Africa,2020-03-08,,,1340598113.0
OWID_AFR,Africa,2020-03-09,,,1340598113.0
OWID_AFR,Africa,2020-03-10,,,1340598113.0
OWID_AFR,Africa,2020-03-11,,,1340598113.0
OWID_AFR,Africa,2020-03-12,,,1340598113.0
OWID_AFR,Africa,2020-03-13,,,1340598113.0
OWID_AFR,Africa,2020-03-14,,,1340598113.0
OWID_AFR,Africa,2020-03-15,,,1340598113.0
