LOC,DATE,TOT_HOSP(t+1),TOT_HOSP(t+2),TOT_HOSP(t+3),TOT_HOSP(t+4),TOT_HOSP(t+5),TOT_HOSP(t+6),TOT_HOSP(t+7),TOT_HOSP(t+8),TOT_HOSP(t+9),TOT_HOSP(t+10),TOT_HOSP(t+11),TOT_HOSP(t+12),TOT_HOSP(t+13),TOT_HOSP(t+14),TOT_HOSP(t+15),TOT_HOSP(t+16),TOT_HOSP(t+17),TOT_HOSP(t+18),TOT_HOSP(t+19),TOT_HOSP(t+20)
BE,2021-03-19,2228.714285714286,2275.714285714286,2325.8571428571427,2375.8571428571427,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284
BE,2021-03-20,2275.714285714286,2325.8571428571427,2375.8571428571427,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716
BE,2021-03-21,2325.8571428571427,2375.8571428571427,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573
BE,2021-03-22,2375.8571428571427,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286
BE,2021-03-23,2434.1428571428573,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427
BE,2021-03-24,2497.5714285714284,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714
BE,2021-03-25,2561.5714285714284,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714
BE,2021-03-26,2628.1428571428573,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573
BE,2021-03-27,2697.5714285714284,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716
BE,2021-03-28,2764.1428571428573,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284
BE,2021-03-29,2838.8571428571427,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286
BE,2021-03-30,2887.8571428571427,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284
BE,2021-03-31,2920.714285714286,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714
BE,2021-04-01,2954.285714285714,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573
BE,2021-04-02,2997.0,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716
BE,2021-04-03,3029.285714285714,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716
BE,2021-04-04,3053.5714285714284,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716
BE,2021-04-05,3066.5714285714284,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0
BE,2021-04-06,3082.4285714285716,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284
BE,2021-04-07,3105.5714285714284,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427
BE,2021-04-08,3128.4285714285716,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286
BE,2021-04-09,3123.1428571428573,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573
BE,2021-04-10,3106.714285714286,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427
BE,2021-04-11,3092.8571428571427,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427,2699.714285714286
BE,2021-04-12,3078.285714285714,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427,2699.714285714286,2652.8571428571427
BE,2021-04-13,3062.285714285714,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427,2699.714285714286,2652.8571428571427,2599.4285714285716
BE,2021-04-14,3050.1428571428573,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427,2699.714285714286,2652.8571428571427,2599.4285714285716,2542.285714285714
BE,2021-04-15,3039.4285714285716,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427,2699.714285714286,2652.8571428571427,2599.4285714285716,2542.285714285714,2481.4285714285716
BE,2021-04-16,3035.5714285714284,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427,2699.714285714286,2652.8571428571427,2599.4285714285716,2542.285714285714,2481.4285714285716,2413.4285714285716
BE,2021-04-17,3039.714285714286,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427,2699.714285714286,2652.8571428571427,2599.4285714285716,2542.285714285714,2481.4285714285716,2413.4285714285716,2341.0
BE,2021-04-18,3033.5714285714284,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427,2699.714285714286,2652.8571428571427,2599.4285714285716,2542.285714285714,2481.4285714285716,2413.4285714285716,2341.0,2270.0
BE,2021-04-19,3023.285714285714,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427,2699.714285714286,2652.8571428571427,2599.4285714285716,2542.285714285714,2481.4285714285716,2413.4285714285716,2341.0,2270.0,2204.8571428571427
BE,2021-04-20,3014.1428571428573,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427,2699.714285714286,2652.8571428571427,2599.4285714285716,2542.285714285714,2481.4285714285716,2413.4285714285716,2341.0,2270.0,2204.8571428571427,2134.8571428571427
BE,2021-04-21,2997.4285714285716,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427,2699.714285714286,2652.8571428571427,2599.4285714285716,2542.285714285714,2481.4285714285716,2413.4285714285716,2341.0,2270.0,2204.8571428571427,2134.8571428571427,2079.285714285714
BE,2021-04-22,2970.4285714285716,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427,2699.714285714286,2652.8571428571427,2599.4285714285716,2542.285714285714,2481.4285714285716,2413.4285714285716,2341.0,2270.0,2204.8571428571427,2134.8571428571427,2079.285714285714,2027.5714285714287
BE,2021-04-23,2935.4285714285716,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427,2699.714285714286,2652.8571428571427,2599.4285714285716,2542.285714285714,2481.4285714285716,2413.4285714285716,2341.0,2270.0,2204.8571428571427,2134.8571428571427,2079.285714285714,2027.5714285714287,1974.857142857143
BE,2021-04-24,2897.0,2866.5714285714284,2832.8571428571427,2796.714285714286,2763.1428571428573,2735.8571428571427,2699.714285714286,2652.8571428571427,2599.4285714285716,2542.285714285714,2481.4285714285716,2413.4285714285716,2341.0,2270.0,2204.8571428571427,2134.8571428571427,2079.285714285714,2027.5714285714287,1974.857142857143,1918.2857142857142
