date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0_20,/m/0cjf0_21,/m/0cjf0_22,/m/0cjf0_23,/m/0cjf0_24,/m/0cjf0_25,/m/0cjf0_26,/m/0cjf0_27,/m/0cjf0_28,/m/0cjf0_29,/m/0cjf0_30,/m/0cjf0_31,/m/0cjf0_32,/m/0cjf0_33,/m/0cjf0_34,/m/0cjf0_35,/m/0cjf0_36,/m/0cjf0_37,/m/0cjf0_38,/m/0cjf0_39,/m/0cjf0_40,/m/0cjf0_41,/m/0cjf0_42,/m/0cjf0_43,/m/0cjf0_44,/m/0cjf0_45,/m/0cjf0_46,/m/0cjf0_47,/m/0cjf0_48,/m/0cjf0_49,/m/0cjf0_50,/m/0cjf0_51,/m/0cjf0_52,/m/0cjf0_53,/m/0cjf0_54,/m/0cjf0_55,/m/0cjf0_56,/m/0cjf0_57,/m/0cjf0_58,/m/0cjf0_59,/m/0cjf0_60,/m/0cjf0_61,/m/0cjf0_62,/m/0cjf0_63,/m/0cjf0_64,/m/0cjf0_65,/m/0cjf0_66,/m/0cjf0_67,/m/0cjf0_68,/m/0cjf0_69,/m/0cjf0_70,/m/0cjf0_71,/m/0cjf0_72,/m/0cjf0_73,/m/0cjf0_74,/m/0cjf0_75,/m/0cjf0_76,/m/0cjf0_77,/m/0cjf0_78,/m/0cjf0_79,/m/0cjf0_80,/m/0cjf0_81,/m/0cjf0_82,/m/0cjf0_83,/m/0cjf0_84,/m/0cjf0_85,/m/0cjf0_86,/m/0cjf0_87,/m/0cjf0_88,/m/0cjf0_89,/m/0cjf0_90,/m/0cjf0_91,/m/0cjf0_92,/m/0cjf0_93,/m/0cjf0_94,/m/0cjf0_95,/m/0cjf0_96,/m/0cjf0_97,/m/0cjf0_98,/m/0cjf0_99,/m/0cjf0,batch_id
2020-02-11,18.0,11.0,6.0,11.0,17.0,12.0,13.0,8.0,6.0,9.0,13.0,8.0,11.0,20.0,16.0,8.0,11.0,12.0,13.0,5.0,11.0,13.0,15.0,15.0,17.0,12.0,12.0,12.0,17.0,9.0,12.0,13.0,15.0,6.0,16.0,17.0,16.0,12.0,23.0,10.0,17.0,10.0,18.0,15.0,11.0,10.0,13.0,10.0,11.0,17.0,10.0,10.0,11.0,9.0,13.0,11.0,10.0,8.0,11.0,13.0,12.0,9.0,18.0,13.0,6.0,12.0,18.0,17.0,9.0,14.0,8.0,13.0,10.0,7.0,12.0,9.0,9.0,11.0,9.0,8.0,20.0,13.0,7.0,10.0,16.0,7.0,16.0,8.0,15.0,9.0,13.0,8.0,10.0,17.0,13.0,11.0,14.0,7.0,16.0,10.0,12.25799877725698,1
2020-02-12,18.0,10.0,12.0,20.0,15.0,12.0,10.0,16.0,13.0,19.0,16.0,13.0,18.0,16.0,14.0,24.0,8.0,19.0,20.0,18.0,18.0,9.0,17.0,12.0,17.0,9.0,21.0,17.0,15.0,16.0,7.0,13.0,20.0,13.0,10.0,17.0,23.0,16.0,17.0,20.0,20.0,24.0,24.0,9.0,13.0,15.0,7.0,10.0,4.0,23.0,19.0,24.0,21.0,15.0,19.0,13.0,10.0,17.0,25.0,20.0,14.0,15.0,20.0,8.0,12.0,12.0,18.0,9.0,16.0,11.0,13.0,20.0,12.0,13.0,13.0,12.0,18.0,25.0,11.0,9.0,23.0,15.0,23.0,14.0,14.0,12.0,13.0,14.0,23.0,8.0,16.0,16.0,17.0,14.0,20.0,16.0,11.0,15.0,16.0,10.0,15.70205828408396,1
2020-02-13,18.0,11.0,10.0,9.0,17.0,9.0,8.0,11.0,6.0,12.0,8.0,7.0,12.0,13.0,9.0,20.0,12.0,10.0,10.0,12.0,10.0,10.0,9.0,12.0,12.0,11.0,14.0,10.0,13.0,7.0,13.0,13.0,11.0,10.0,10.0,11.0,9.0,12.0,19.0,15.0,15.0,17.0,9.0,14.0,13.0,15.0,14.0,8.0,13.0,14.0,21.0,10.0,16.0,14.0,17.0,13.0,5.0,22.0,19.0,11.0,14.0,15.0,9.0,10.0,4.0,10.0,18.0,16.0,6.0,12.0,17.0,20.0,10.0,15.0,3.0,12.0,14.0,12.0,9.0,15.0,11.0,13.0,24.0,13.0,14.0,20.0,10.0,8.0,10.0,12.0,11.0,13.0,10.0,11.0,10.0,14.0,16.0,11.0,19.0,19.0,12.68595883431832,1
2020-02-14,19.0,9.0,19.0,28.0,19.0,23.0,20.0,19.0,27.0,21.0,12.0,17.0,17.0,16.0,19.0,26.0,15.0,17.0,16.0,18.0,16.0,16.0,21.0,13.0,16.0,13.0,21.0,17.0,23.0,16.0,19.0,14.0,28.0,14.0,19.0,16.0,23.0,17.0,12.0,12.0,20.0,20.0,24.0,24.0,19.0,21.0,16.0,14.0,11.0,21.0,21.0,13.0,19.0,13.0,30.0,21.0,13.0,30.0,22.0,16.0,21.0,16.0,26.0,18.0,11.0,23.0,17.0,23.0,15.0,6.0,20.0,23.0,13.0,25.0,15.0,17.0,17.0,25.0,23.0,21.0,18.0,10.0,12.0,23.0,17.0,21.0,16.0,17.0,18.0,13.0,20.0,15.0,22.0,17.0,23.0,18.0,30.0,10.0,22.0,22.0,18.850621561035254,1
2020-02-15,25.0,19.0,12.0,38.0,36.0,9.0,21.0,22.0,22.0,26.0,15.0,15.0,25.0,17.0,38.0,17.0,20.0,22.0,21.0,25.0,28.0,17.0,24.0,16.0,32.0,23.0,32.0,30.0,26.0,29.0,14.0,23.0,26.0,26.0,22.0,17.0,24.0,23.0,13.0,15.0,22.0,26.0,30.0,19.0,28.0,29.0,19.0,9.0,19.0,21.0,32.0,27.0,37.0,23.0,22.0,27.0,26.0,22.0,26.0,23.0,25.0,11.0,26.0,17.0,22.0,23.0,23.0,22.0,18.0,18.0,13.0,27.0,26.0,24.0,23.0,31.0,30.0,24.0,18.0,14.0,23.0,23.0,25.0,25.0,18.0,36.0,9.0,25.0,24.0,25.0,13.0,24.0,21.0,27.0,23.0,22.0,21.0,13.0,24.0,22.0,23.130222131648665,1
2020-02-16,29.0,15.0,16.0,25.0,22.0,8.0,21.0,20.0,22.0,20.0,24.0,15.0,19.0,26.0,32.0,22.0,18.0,17.0,14.0,23.0,26.0,14.0,17.0,17.0,25.0,22.0,15.0,20.0,20.0,16.0,25.0,24.0,26.0,17.0,19.0,33.0,28.0,30.0,24.0,16.0,22.0,18.0,27.0,14.0,21.0,14.0,21.0,26.0,15.0,18.0,16.0,27.0,24.0,18.0,22.0,32.0,29.0,20.0,30.0,16.0,29.0,13.0,25.0,19.0,18.0,23.0,22.0,20.0,18.0,17.0,28.0,19.0,19.0,21.0,24.0,24.0,23.0,23.0,19.0,21.0,16.0,21.0,13.0,12.0,22.0,21.0,22.0,21.0,24.0,18.0,20.0,19.0,14.0,23.0,17.0,15.0,24.0,9.0,22.0,18.0,21.071938047686977,1
2020-02-17,23.0,14.0,20.0,25.0,13.0,12.0,20.0,14.0,15.0,20.0,14.0,19.0,17.0,21.0,16.0,20.0,9.0,19.0,16.0,19.0,14.0,9.0,7.0,13.0,13.0,7.0,15.0,18.0,20.0,13.0,13.0,16.0,31.0,13.0,19.0,14.0,12.0,17.0,8.0,19.0,18.0,18.0,13.0,9.0,15.0,13.0,20.0,14.0,12.0,21.0,10.0,16.0,10.0,12.0,18.0,13.0,17.0,24.0,19.0,23.0,18.0,13.0,13.0,18.0,16.0,15.0,12.0,17.0,8.0,18.0,15.0,18.0,17.0,16.0,16.0,19.0,21.0,22.0,9.0,15.0,18.0,11.0,18.0,15.0,21.0,14.0,14.0,15.0,17.0,20.0,14.0,16.0,20.0,15.0,18.0,12.0,13.0,12.0,17.0,17.0,16.150397391481558,1
2020-02-18,21.0,19.0,16.0,28.0,21.0,11.0,21.0,15.0,19.0,21.0,24.0,21.0,12.0,18.0,14.0,22.0,18.0,24.0,22.0,24.0,19.0,13.0,19.0,19.0,29.0,12.0,23.0,17.0,28.0,12.0,10.0,19.0,26.0,19.0,17.0,9.0,23.0,23.0,21.0,18.0,20.0,18.0,22.0,15.0,14.0,20.0,21.0,11.0,11.0,21.0,24.0,13.0,19.0,15.0,17.0,17.0,22.0,26.0,24.0,24.0,29.0,20.0,14.0,20.0,16.0,33.0,28.0,12.0,17.0,27.0,17.0,18.0,12.0,20.0,21.0,21.0,16.0,23.0,12.0,15.0,14.0,20.0,25.0,21.0,16.0,18.0,18.0,20.0,26.0,21.0,17.0,14.0,25.0,11.0,23.0,20.0,19.0,15.0,19.0,22.0,19.52313022213165,1
2020-02-19,22.0,14.0,15.0,17.0,17.0,12.0,22.0,17.0,14.0,19.0,13.0,10.0,7.0,12.0,20.0,18.0,8.0,16.0,13.0,14.0,13.0,16.0,14.0,21.0,15.0,23.0,24.0,14.0,19.0,16.0,16.0,20.0,15.0,17.0,11.0,17.0,12.0,14.0,8.0,18.0,25.0,14.0,17.0,18.0,14.0,13.0,13.0,10.0,7.0,26.0,21.0,17.0,16.0,12.0,15.0,21.0,24.0,21.0,13.0,17.0,24.0,18.0,17.0,10.0,17.0,20.0,21.0,8.0,14.0,11.0,19.0,16.0,8.0,13.0,15.0,18.0,16.0,17.0,12.0,17.0,18.0,17.0,15.0,13.0,19.0,24.0,16.0,12.0,25.0,11.0,16.0,13.0,20.0,15.0,18.0,14.0,20.0,15.0,16.0,12.0,16.27267169349908,1
2020-02-20,22.0,13.0,28.0,17.0,21.0,20.0,19.0,18.0,18.0,14.0,13.0,26.0,27.0,15.0,26.0,27.0,28.0,21.0,18.0,28.0,22.0,21.0,17.0,15.0,17.0,22.0,30.0,26.0,20.0,17.0,18.0,17.0,21.0,17.0,25.0,22.0,16.0,25.0,19.0,15.0,23.0,22.0,21.0,18.0,15.0,24.0,12.0,28.0,19.0,25.0,25.0,19.0,20.0,17.0,23.0,19.0,26.0,25.0,12.0,17.0,34.0,23.0,24.0,24.0,16.0,26.0,18.0,19.0,18.0,20.0,27.0,24.0,15.0,31.0,24.0,22.0,26.0,25.0,20.0,23.0,20.0,26.0,24.0,22.0,23.0,29.0,18.0,20.0,29.0,19.0,19.0,21.0,10.0,19.0,18.0,26.0,15.0,13.0,37.0,12.0,21.49989810474832,1
2020-02-21,30.0,24.0,27.0,16.0,27.0,20.0,25.0,25.0,15.0,19.0,32.0,26.0,19.0,20.0,23.0,28.0,20.0,17.0,14.0,21.0,26.0,21.0,23.0,21.0,30.0,18.0,23.0,28.0,25.0,22.0,25.0,30.0,18.0,21.0,26.0,28.0,25.0,23.0,29.0,30.0,26.0,31.0,18.0,16.0,22.0,36.0,16.0,19.0,17.0,23.0,13.0,22.0,21.0,18.0,24.0,43.0,31.0,22.0,31.0,22.0,30.0,21.0,27.0,27.0,22.0,33.0,32.0,25.0,25.0,18.0,24.0,21.0,27.0,32.0,21.0,23.0,39.0,29.0,29.0,21.0,21.0,39.0,29.0,22.0,22.0,26.0,28.0,24.0,29.0,30.0,37.0,28.0,24.0,28.0,21.0,25.0,19.0,10.0,21.0,30.0,24.964336661911556,1
2020-02-22,23.0,16.0,20.0,15.0,20.0,16.0,29.0,14.0,11.0,22.0,19.0,17.0,22.0,11.0,12.0,26.0,22.0,16.0,17.0,11.0,22.0,19.0,14.0,21.0,24.0,17.0,29.0,22.0,18.0,27.0,19.0,17.0,22.0,14.0,18.0,13.0,12.0,14.0,15.0,9.0,17.0,16.0,15.0,16.0,20.0,15.0,23.0,21.0,13.0,17.0,18.0,17.0,18.0,23.0,17.0,20.0,26.0,19.0,18.0,21.0,34.0,19.0,23.0,17.0,15.0,18.0,23.0,18.0,16.0,16.0,31.0,11.0,10.0,12.0,17.0,31.0,13.0,24.0,14.0,11.0,17.0,27.0,19.0,12.0,14.0,25.0,19.0,14.0,20.0,18.0,14.0,17.0,20.0,19.0,13.0,13.0,9.0,14.0,16.0,18.0,18.402282453637657,1
2020-02-23,17.0,21.0,24.0,28.0,28.0,17.0,20.0,29.0,19.0,19.0,18.0,16.0,21.0,27.0,24.0,33.0,27.0,19.0,28.0,27.0,14.0,18.0,17.0,23.0,35.0,18.0,21.0,23.0,29.0,16.0,18.0,16.0,37.0,21.0,23.0,26.0,19.0,31.0,32.0,23.0,29.0,33.0,30.0,18.0,19.0,16.0,24.0,29.0,18.0,22.0,29.0,37.0,31.0,17.0,29.0,29.0,32.0,19.0,29.0,28.0,22.0,23.0,28.0,33.0,25.0,34.0,21.0,24.0,15.0,20.0,25.0,31.0,25.0,33.0,22.0,27.0,22.0,27.0,26.0,23.0,21.0,28.0,24.0,9.0,21.0,34.0,16.0,22.0,25.0,22.0,21.0,18.0,28.0,26.0,25.0,22.0,25.0,19.0,21.0,23.0,24.41410230283269,1
2020-02-24,12.0,11.0,12.0,15.0,17.0,12.0,12.0,5.0,11.0,14.0,21.0,8.0,16.0,10.0,14.0,20.0,17.0,14.0,15.0,11.0,13.0,15.0,13.0,7.0,7.0,18.0,6.0,7.0,21.0,16.0,7.0,8.0,18.0,7.0,16.0,11.0,7.0,19.0,14.0,11.0,9.0,17.0,11.0,11.0,11.0,13.0,15.0,13.0,10.0,11.0,17.0,18.0,14.0,11.0,15.0,9.0,14.0,17.0,9.0,11.0,18.0,16.0,18.0,10.0,11.0,16.0,12.0,3.0,11.0,10.0,11.0,4.0,10.0,12.0,12.0,19.0,13.0,13.0,18.0,14.0,18.0,22.0,14.0,10.0,19.0,5.0,13.0,12.0,11.0,9.0,14.0,10.0,10.0,15.0,15.0,9.0,6.0,10.0,5.0,16.0,12.818422661503973,1
2020-02-25,30.0,17.0,16.0,22.0,19.0,20.0,20.0,25.0,16.0,26.0,23.0,16.0,20.0,22.0,14.0,18.0,12.0,10.0,18.0,15.0,28.0,16.0,20.0,15.0,17.0,14.0,18.0,28.0,25.0,12.0,13.0,20.0,15.0,18.0,13.0,31.0,18.0,14.0,10.0,20.0,13.0,17.0,22.0,17.0,20.0,18.0,13.0,24.0,17.0,12.0,19.0,12.0,23.0,20.0,30.0,19.0,19.0,21.0,25.0,22.0,20.0,20.0,24.0,22.0,21.0,16.0,14.0,19.0,22.0,17.0,17.0,29.0,21.0,20.0,15.0,21.0,33.0,23.0,12.0,20.0,25.0,20.0,13.0,21.0,16.0,18.0,13.0,17.0,19.0,16.0,22.0,27.0,27.0,17.0,25.0,24.0,16.0,14.0,24.0,14.0,19.574077847972283,1
2020-02-26,21.0,15.0,22.0,22.0,25.0,10.0,15.0,15.0,20.0,19.0,26.0,19.0,16.0,21.0,20.0,32.0,12.0,26.0,29.0,15.0,18.0,12.0,21.0,16.0,18.0,13.0,23.0,27.0,24.0,14.0,13.0,24.0,26.0,14.0,19.0,25.0,17.0,19.0,14.0,21.0,29.0,23.0,24.0,25.0,20.0,21.0,23.0,16.0,19.0,12.0,30.0,25.0,15.0,15.0,24.0,36.0,24.0,22.0,24.0,32.0,25.0,13.0,14.0,20.0,17.0,31.0,26.0,15.0,23.0,22.0,17.0,16.0,19.0,23.0,19.0,28.0,21.0,26.0,25.0,20.0,14.0,18.0,20.0,26.0,19.0,28.0,29.0,16.0,26.0,20.0,17.0,13.0,23.0,24.0,18.0,20.0,16.0,20.0,24.0,27.0,21.14326472386387,1
2020-02-27,15.0,20.0,11.0,25.0,23.0,13.0,21.0,9.0,9.0,32.0,14.0,13.0,15.0,16.0,19.0,22.0,20.0,19.0,19.0,12.0,11.0,17.0,22.0,16.0,13.0,10.0,23.0,18.0,20.0,17.0,6.0,22.0,11.0,16.0,20.0,27.0,14.0,10.0,19.0,10.0,20.0,18.0,21.0,18.0,14.0,20.0,28.0,27.0,21.0,15.0,14.0,18.0,14.0,13.0,18.0,15.0,17.0,11.0,15.0,18.0,19.0,12.0,20.0,15.0,13.0,11.0,15.0,14.0,24.0,22.0,20.0,10.0,10.0,13.0,15.0,28.0,11.0,13.0,15.0,18.0,13.0,29.0,19.0,17.0,10.0,19.0,9.0,21.0,28.0,21.0,17.0,14.0,16.0,20.0,17.0,15.0,25.0,8.0,17.0,12.0,17.21010800896678,1
2020-02-28,27.0,15.0,14.0,19.0,24.0,24.0,16.0,18.0,29.0,28.0,21.0,24.0,36.0,24.0,27.0,32.0,11.0,11.0,22.0,22.0,25.0,20.0,25.0,20.0,27.0,21.0,27.0,29.0,24.0,20.0,22.0,17.0,26.0,22.0,27.0,21.0,27.0,18.0,19.0,21.0,26.0,21.0,21.0,21.0,20.0,26.0,25.0,24.0,16.0,24.0,26.0,25.0,19.0,24.0,29.0,20.0,22.0,18.0,22.0,25.0,35.0,13.0,23.0,23.0,25.0,27.0,22.0,26.0,21.0,22.0,26.0,34.0,21.0,21.0,16.0,24.0,15.0,34.0,17.0,14.0,14.0,19.0,19.0,18.0,28.0,15.0,22.0,21.0,24.0,31.0,15.0,20.0,22.0,23.0,16.0,23.0,12.0,17.0,20.0,22.0,22.579987772569797,1
