date,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-04-11,57.0,56.25,56.92307692307692,57.0,56.25,54.54545454545455,56.92307692307692,56.92307692307692,56.0,56.92307692307692,54.54545454545455,60.317460317460316,57.142857142857146,54.6875,58.73015873015873,57.0,56.25,58.73015873015873,56.92307692307692,56.25,56.76572143134642
2020-04-12,56.0,56.25,55.38461538461539,58.0,57.8125,56.06060606060606,56.92307692307692,55.38461538461539,58.0,56.92307692307692,56.06060606060606,57.142857142857146,58.73015873015873,56.25,58.73015873015873,57.0,56.25,57.142857142857146,55.38461538461539,57.8125,56.862112193362194
2020-04-13,59.0,57.8125,60.0,59.0,59.375,57.57575757575758,58.46153846153846,58.46153846153846,60.0,60.0,57.57575757575758,60.317460317460316,60.317460317460316,60.9375,60.317460317460316,59.0,59.375,60.317460317460316,58.46153846153846,59.375,59.284048590298596
2020-04-14,54.0,53.125,53.84615384615385,53.0,54.6875,53.03030303030303,53.84615384615385,53.84615384615385,54.0,55.38461538461539,53.03030303030303,55.55555555555556,53.96825396825397,54.6875,53.96825396825397,54.0,54.6875,53.96825396825397,52.30769230769231,54.6875,53.98133463758463
2020-04-15,86.0,87.5,87.6923076923077,86.0,87.5,86.36363636363636,89.23076923076923,86.15384615384616,87.0,86.15384615384616,86.36363636363636,87.3015873015873,88.88888888888889,87.5,90.47619047619048,90.0,84.375,88.88888888888889,86.15384615384616,85.9375,87.27399718337219
2020-04-16,61.0,59.375,60.0,59.0,60.9375,57.57575757575758,58.46153846153846,60.0,60.0,61.53846153846154,59.09090909090909,60.317460317460316,61.904761904761905,60.9375,61.904761904761905,58.0,59.375,58.73015873015873,61.53846153846154,60.9375,60.03123855311355
2020-04-17,50.0,48.4375,49.23076923076923,49.0,50.0,48.484848484848484,50.76923076923077,49.23076923076923,51.0,50.76923076923077,48.484848484848484,50.79365079365079,50.79365079365079,48.4375,50.79365079365079,49.0,50.0,49.20634920634921,49.23076923076923,50.0,49.6831383893884
2020-04-18,48.0,48.4375,47.69230769230769,47.0,48.4375,46.96969696969697,49.23076923076923,47.69230769230769,48.0,47.69230769230769,46.96969696969697,49.20634920634921,50.79365079365079,48.4375,50.79365079365079,48.0,48.4375,47.61904761904762,47.69230769230769,48.4375,48.27697961760462
2020-04-19,49.0,50.0,49.23076923076923,48.0,48.4375,46.96969696969697,49.23076923076923,49.23076923076923,50.0,49.23076923076923,48.484848484848484,49.20634920634921,50.79365079365079,48.4375,50.79365079365079,49.0,48.4375,49.20634920634921,47.69230769230769,50.0,49.06912150349651
2020-04-20,45.0,45.3125,44.61538461538461,43.0,46.875,43.93939393939394,43.07692307692308,44.61538461538461,45.0,44.61538461538461,43.93939393939394,46.03174603174603,46.03174603174603,45.3125,46.03174603174603,45.0,45.3125,46.03174603174603,46.15384615384615,45.3125,45.06038475413476
2020-04-21,45.0,45.3125,44.61538461538461,45.0,45.3125,43.93939393939394,46.15384615384615,44.61538461538461,45.0,44.61538461538461,43.93939393939394,46.03174603174603,46.03174603174603,45.3125,46.03174603174603,45.0,45.3125,44.44444444444444,44.61538461538461,45.3125,45.07981775169275
2020-04-22,45.0,46.875,43.07692307692308,44.0,45.3125,45.45454545454545,44.61538461538461,44.61538461538461,46.0,44.61538461538461,43.93939393939394,46.03174603174603,46.03174603174603,45.3125,46.03174603174603,45.0,45.3125,46.03174603174603,44.61538461538461,45.3125,45.15921925296926
2020-04-23,44.0,43.75,43.07692307692308,43.0,43.75,43.93939393939394,44.61538461538461,43.07692307692308,44.0,44.61538461538461,43.93939393939394,44.44444444444444,44.44444444444444,45.3125,46.03174603174603,44.0,43.75,44.44444444444444,43.07692307692308,45.3125,44.129020285270286
2020-04-24,42.0,40.625,41.53846153846154,41.0,42.1875,40.90909090909091,41.53846153846154,41.53846153846154,42.0,41.53846153846154,40.90909090909091,42.857142857142854,42.857142857142854,42.1875,42.857142857142854,41.0,42.1875,39.682539682539684,41.53846153846154,42.1875,41.65697288822288
2020-04-25,42.0,42.1875,41.53846153846154,41.0,43.75,40.90909090909091,41.53846153846154,41.53846153846154,42.0,41.53846153846154,40.90909090909091,42.857142857142854,42.857142857142854,40.625,42.857142857142854,44.0,43.75,42.857142857142854,41.53846153846154,42.1875,42.12195304695305
2020-04-26,42.0,42.1875,43.07692307692308,42.0,43.75,42.42424242424242,43.07692307692308,43.07692307692308,43.0,43.07692307692308,42.42424242424242,44.44444444444444,42.857142857142854,43.75,44.44444444444444,44.0,42.1875,42.857142857142854,43.07692307692308,45.3125,43.151188741813755
2020-04-27,40.0,40.625,41.53846153846154,40.0,42.1875,39.39393939393939,40.0,41.53846153846154,40.0,40.0,39.39393939393939,41.26984126984127,41.26984126984127,40.625,42.857142857142854,41.0,40.625,41.26984126984127,40.0,40.625,40.71094842657343
2020-04-28,40.0,40.625,40.0,41.0,40.625,40.90909090909091,41.53846153846154,40.0,41.0,40.0,40.90909090909091,41.26984126984127,41.26984126984127,42.1875,42.857142857142854,41.0,40.625,41.26984126984127,41.53846153846154,42.1875,41.04058857808858
2020-04-29,42.0,42.1875,41.53846153846154,40.0,42.1875,40.90909090909091,41.53846153846154,41.53846153846154,41.0,40.0,39.39393939393939,41.26984126984127,41.26984126984127,40.625,42.857142857142854,42.0,40.625,41.26984126984127,41.53846153846154,40.625,41.21867715617716
2020-04-30,38.0,39.0625,38.46153846153846,39.0,40.625,37.878787878787875,40.0,36.92307692307692,39.0,38.46153846153846,37.878787878787875,39.682539682539684,39.682539682539684,39.0625,39.682539682539684,39.0,39.0625,38.095238095238095,38.46153846153846,39.0625,38.854156260406256
2020-05-01,39.0,39.0625,38.46153846153846,39.0,39.0625,37.878787878787875,40.0,38.46153846153846,40.0,38.46153846153846,37.878787878787875,39.682539682539684,39.682539682539684,39.0625,41.26984126984127,40.0,39.0625,39.682539682539684,40.0,39.0625,39.23860757298257
2020-05-02,38.0,37.5,36.92307692307692,37.0,37.5,36.36363636363637,36.92307692307692,36.92307692307692,38.0,36.92307692307692,36.36363636363637,38.095238095238095,38.095238095238095,37.5,38.095238095238095,38.0,37.5,38.095238095238095,36.92307692307692,37.5,37.41118048618048
2020-05-03,42.0,42.1875,41.53846153846154,41.0,42.1875,40.90909090909091,41.53846153846154,41.53846153846154,41.0,41.53846153846154,40.90909090909091,42.857142857142854,42.857142857142854,42.1875,42.857142857142854,43.0,40.625,42.857142857142854,41.53846153846154,42.1875,41.86570304695304
2020-05-04,39.0,39.0625,38.46153846153846,38.0,39.0625,39.39393939393939,40.0,40.0,39.0,38.46153846153846,39.39393939393939,39.682539682539684,39.682539682539684,39.0625,39.682539682539684,40.0,39.0625,39.682539682539684,38.46153846153846,39.0625,39.21075764513264
