date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06
2021-05-14,20.0,6.0,46.0,26.0,23.0,38.0,22.0,16.0,24.0,34.0,32.77634961439589
2021-05-15,40.0,0.0,17.0,37.0,16.0,45.0,29.0,16.0,18.0,21.0,30.71979434447301
2021-05-16,19.0,40.0,54.0,25.0,52.0,52.0,35.0,37.0,29.0,73.0,53.47043701799486
2021-05-17,25.0,21.0,21.0,23.0,36.0,21.0,7.0,29.0,17.0,32.0,29.82005141388175
2021-05-18,32.0,44.0,32.0,36.0,73.0,22.0,41.0,45.0,28.0,45.0,51.156812339331616
2021-05-19,45.0,28.0,16.0,37.0,50.0,72.0,62.0,66.0,41.0,39.0,58.61182519280206
2021-05-20,49.0,25.0,17.0,33.0,16.0,31.0,30.0,24.0,37.0,49.0,39.97429305912596
2021-05-21,41.0,12.0,46.0,45.0,47.0,71.0,66.0,71.0,37.0,54.0,62.98200514138818
2021-05-22,14.0,13.0,18.0,34.0,16.0,16.0,23.0,16.0,32.0,21.0,26.092544987146532
2021-05-23,34.0,41.0,23.0,46.0,32.0,39.0,31.0,56.0,50.0,42.0,50.6426735218509
2021-05-24,57.0,22.0,43.0,30.0,29.0,36.0,34.0,35.0,23.0,50.0,46.1439588688946
2021-05-25,60.0,46.0,67.0,25.0,53.0,52.0,57.0,60.0,24.0,53.0,63.88174807197944
2021-05-26,32.0,11.0,5.0,18.0,52.0,36.0,21.0,29.0,17.0,26.0,31.74807197943445
2021-05-27,35.0,54.0,53.0,52.0,48.0,32.0,45.0,47.0,38.0,21.0,54.62724935732648
2021-05-28,36.0,26.0,55.0,14.0,34.0,8.0,40.0,58.0,26.0,15.0,40.102827763496144
2021-05-29,58.0,42.0,27.0,54.0,85.0,75.0,70.0,94.0,38.0,92.0,81.61953727506427
2021-05-30,47.0,47.0,45.0,67.0,71.0,63.0,77.0,46.0,21.0,72.0,71.46529562982005
2021-05-31,20.0,29.0,17.0,59.0,47.0,46.0,22.0,54.0,24.0,21.0,43.573264781491005
