date,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751_10,/m/01c751_11,/m/01c751_12,/m/01c751_13,/m/01c751_14,/m/01c751_15,/m/01c751_16,/m/01c751_17,/m/01c751_18,/m/01c751_19,/m/01c751
2020-11-15,15.0,29.0,25.0,0.0,20.0,0.0,0.0,0.0,25.0,35.0,0.0,29.0,29.0,25.0,0.0,0.0,0.0,21.0,0.0,0.0,17.249946295310412
2020-11-16,15.0,56.0,48.0,0.0,0.0,26.0,20.0,31.868131868131872,0.0,0.0,32.0,42.0,29.0,0.0,24.0,0.0,0.0,21.0,21.0,28.767123287671232,26.90686544535069
2020-11-17,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,7.090887014673054
2020-11-18,0.0,0.0,24.0,0.0,20.0,0.0,0.0,32.967032967032964,0.0,0.0,0.0,29.0,29.0,0.0,24.0,33.0,0.0,0.0,21.0,56.164383561643845,18.349812179843845
2020-11-19,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636321182063569
2020-11-20,15.0,0.0,0.0,0.0,0.0,0.0,0.0,34.065934065934066,26.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,25.0,0.0,0.0,30.136986301369863,10.650165958524275
2020-11-21,15.0,29.0,24.0,43.0,20.0,0.0,20.0,32.967032967032964,26.0,0.0,0.0,58.0,0.0,24.0,0.0,34.0,25.0,0.0,0.0,28.767123287671232,25.890884592445303
2020-11-22,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9772665713992168
2020-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,15.0,29.0,0.0,43.0,20.0,0.0,0.0,32.967032967032964,25.0,35.0,33.0,86.0,30.0,25.0,0.0,34.0,25.0,0.0,22.0,28.767123287671232,32.981771607118354
2020-11-25,0.0,0.0,24.0,0.0,20.0,53.0,20.0,31.868131868131872,25.0,34.0,32.0,28.0,87.0,0.0,49.0,33.0,49.0,63.0,21.0,28.767123287671232,40.815913051055524
2020-11-26,0.0,0.0,0.0,23.0,0.0,0.0,21.0,34.065934065934066,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.368108928813907
2020-11-27,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,31.0,31.0,0.0,0.0,0.0,26.0,23.0,0.0,0.0,11.249964975202444
2020-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-29,32.0,0.0,26.0,0.0,0.0,28.0,0.0,70.32967032967035,53.0,37.0,70.0,45.0,62.0,0.0,53.0,35.0,52.0,22.0,22.0,0.0,41.408712240060844
2020-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,22.0,28.767123287671232,8.097733195102133
2020-12-01,15.0,0.0,0.0,0.0,0.0,0.0,0.0,64.83516483516482,50.0,0.0,0.0,0.0,29.0,0.0,25.0,0.0,25.0,42.0,21.0,28.767123287671232,20.495546744531023
2020-12-02,0.0,0.0,24.0,0.0,0.0,0.0,0.0,31.868131868131872,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,21.0,0.0,28.767123287671232,8.906921485026782
2020-12-03,0.0,29.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.454528472825427
2020-12-04,30.0,0.0,74.0,21.0,0.0,27.0,20.0,31.868131868131872,0.0,70.0,66.0,43.0,29.0,0.0,25.0,100.0,75.0,0.0,21.0,28.767123287671232,45.11135422340554
2020-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,35.0,0.0,22.0,22.0,0.0,7.431795044224644
2020-12-07,0.0,30.0,0.0,23.0,0.0,0.0,0.0,35.164835164835175,0.0,0.0,0.0,30.0,0.0,0.0,0.0,36.0,0.0,23.0,23.0,0.0,13.647559908312518
2020-12-08,0.0,0.0,27.0,48.0,0.0,0.0,23.0,73.62637362637362,0.0,0.0,0.0,65.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,19.951736085558828
2020-12-09,0.0,32.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7499883250674806
2020-12-10,0.0,33.0,0.0,25.0,0.0,31.0,23.0,37.362637362637365,0.0,0.0,0.0,33.0,34.0,0.0,0.0,0.0,28.0,0.0,0.0,32.87671232876713,18.902624083492142
2020-12-11,16.0,31.0,0.0,0.0,0.0,0.0,0.0,34.065934065934066,0.0,0.0,35.0,30.0,0.0,26.0,26.0,0.0,0.0,23.0,0.0,0.0,15.072630396679823
2020-12-12,0.0,0.0,0.0,0.0,0.0,29.0,0.0,69.23076923076923,0.0,38.0,71.0,31.0,32.0,0.0,27.0,0.0,0.0,45.0,23.0,31.50684931506849,27.05020795749031
2020-12-13,16.0,31.0,0.0,0.0,0.0,0.0,21.0,35.164835164835175,27.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,0.0,14.056649543774428
2020-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,5.522710078735744
2020-12-15,0.0,31.0,0.0,0.0,44.0,29.0,22.0,36.263736263736256,0.0,0.0,0.0,0.0,0.0,27.0,27.0,36.0,0.0,0.0,0.0,0.0,17.199746651398414
2020-12-16,16.0,0.0,26.0,23.0,0.0,29.0,0.0,34.065934065934066,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,12.959000613459967
2020-12-17,17.0,94.0,27.0,47.0,22.0,0.0,0.0,71.42857142857143,0.0,0.0,36.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,23.0,0.0,26.688228599181556
2020-12-18,0.0,65.0,27.0,0.0,23.0,0.0,23.0,37.362637362637365,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,13.865591197542221
2020-12-19,0.0,0.0,27.0,0.0,0.0,0.0,22.0,37.362637362637365,0.0,39.0,0.0,33.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,32.87671232876713,16.857175906182608
2020-12-20,17.0,64.0,0.0,24.0,22.0,30.0,22.0,73.62637362637362,0.0,79.0,0.0,81.0,100.0,84.0,56.0,0.0,28.0,48.0,24.0,32.87671232876713,53.55686184793192
2020-12-21,33.0,61.0,26.0,0.0,0.0,29.0,0.0,35.164835164835175,0.0,0.0,36.0,31.0,32.0,26.0,81.0,37.0,53.0,23.0,46.0,0.0,37.442940371013435
2020-12-22,17.0,0.0,0.0,0.0,0.0,0.0,22.0,35.164835164835175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.056677563612473
2020-12-23,0.0,0.0,0.0,0.0,23.0,30.0,23.0,0.0,28.0,79.0,0.0,65.0,100.0,0.0,55.0,37.0,0.0,24.0,0.0,65.75342465753424,36.11943922964125
