date,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-11-14,48.19277108433735,41.0,52.0,34.0,17.0,79.0,51.0,44.0,36.0,16.0,99.0,29.0,59.0,65.0,59.0,75.0,46.0,75.0,13.0,55.0,79.98816212072698
2020-11-15,48.19277108433735,42.0,53.0,35.0,17.0,59.0,34.0,44.0,36.0,16.0,50.0,0.0,59.0,32.0,75.0,60.0,15.0,15.0,26.0,55.0,62.109083146547135
2020-11-16,69.87951807228916,100.0,17.0,17.0,33.0,57.0,49.0,14.0,53.0,80.0,16.0,43.0,72.0,31.0,43.0,29.0,45.0,58.0,25.0,0.0,68.60730261306631
2020-11-17,71.08433734939759,20.0,34.0,51.0,0.0,19.0,17.0,14.0,35.0,32.0,81.0,57.0,0.0,79.0,15.0,74.0,30.0,29.0,0.0,18.0,54.44939306610778
2020-11-18,71.08433734939759,41.0,69.0,17.0,100.0,97.0,100.0,57.0,88.0,49.0,17.0,0.0,43.0,16.0,58.0,30.0,90.0,15.0,26.0,36.0,82.15391183690895
2020-11-19,22.891566265060238,81.0,84.0,34.0,33.0,77.0,0.0,29.0,35.0,16.0,49.0,42.0,14.0,63.0,29.0,44.0,15.0,14.0,25.0,53.0,61.1989248876857
2020-11-20,49.39759036144578,42.0,18.0,34.0,34.0,40.0,34.0,0.0,37.0,33.0,0.0,29.0,44.0,0.0,30.0,15.0,31.0,29.0,0.0,0.0,40.21967998913245
2020-11-21,0.0,43.0,0.0,54.0,17.0,20.0,35.0,15.0,37.0,100.0,50.0,90.0,0.0,100.0,61.0,75.0,31.0,91.0,53.0,37.0,73.20758012400665
2020-11-22,49.39759036144578,0.0,18.0,89.0,17.0,40.0,88.0,30.0,19.0,68.0,70.0,30.0,15.0,17.0,0.0,31.0,0.0,47.0,0.0,19.0,52.13906597191901
2020-11-23,48.19277108433735,63.0,53.0,35.0,34.0,0.0,34.0,15.0,72.0,32.0,82.0,71.0,45.0,95.0,30.0,89.0,31.0,44.0,26.0,89.0,79.58548016184906
2020-11-24,0.0,20.0,34.0,33.0,0.0,57.0,49.0,0.0,52.0,63.0,48.0,28.0,14.0,93.0,14.0,57.0,30.0,14.0,12.0,17.0,51.140608777496396
2020-11-25,22.891566265060238,79.0,50.0,50.0,32.0,56.0,16.0,42.0,52.0,47.0,64.0,55.0,0.0,31.0,56.0,57.0,44.0,71.0,49.0,35.0,73.19884726224785
2020-11-26,95.18072289156626,21.0,34.0,17.0,67.0,19.0,17.0,29.0,71.0,32.0,0.0,0.0,73.0,32.0,15.0,44.0,75.0,15.0,64.0,36.0,60.900066951940154
2020-11-27,0.0,0.0,51.0,50.0,16.0,0.0,49.0,14.0,52.0,16.0,32.0,14.0,14.0,31.0,29.0,29.0,15.0,43.0,25.0,52.0,42.84536042461115
2020-11-28,93.97590361445783,41.0,34.0,34.0,49.0,19.0,16.0,57.0,35.0,32.0,0.0,14.0,29.0,15.0,29.0,14.0,30.0,14.0,38.0,35.0,50.655449790896476
2020-11-29,73.49397590361446,43.0,35.0,17.0,52.0,60.0,52.0,15.0,36.0,0.0,34.0,0.0,45.0,49.0,30.0,45.0,46.0,30.0,27.0,36.0,58.42866707420023
2020-11-30,0.0,40.0,34.0,34.0,33.0,57.0,16.0,14.0,35.0,47.0,32.0,28.0,29.0,31.0,29.0,29.0,30.0,42.0,38.0,34.0,50.89899960216964
2020-12-01,69.87951807228916,41.0,34.0,16.0,33.0,38.0,16.0,29.0,17.0,49.0,16.0,14.0,29.0,47.0,14.0,15.0,15.0,44.0,25.0,0.0,45.2517489981467
2020-12-02,45.783132530120476,0.0,17.0,33.0,17.0,38.0,0.0,14.0,52.0,31.0,32.0,28.0,57.0,31.0,43.0,29.0,29.0,14.0,13.0,17.0,43.55272222707382
2020-12-03,22.891566265060238,20.0,17.0,51.0,16.0,19.0,17.0,14.0,52.0,0.0,0.0,0.0,29.0,0.0,14.0,0.0,15.0,0.0,0.0,0.0,23.105211577834066
2020-12-04,22.891566265060238,0.0,0.0,16.0,16.0,19.0,16.0,41.0,0.0,30.0,15.0,27.0,14.0,15.0,14.0,83.0,14.0,55.0,24.0,33.0,36.63532539613232
