date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2020-03-17,9.0,36.0,32.0,96.0,100.0,55.0,22.0,24.0,35.0,24.0,35.0,0.0,41.0,29.0,32.0,35.0,10.0,48.0,0.0,57.0,52.708638360175705
2020-03-18,20.0,13.0,46.0,60.0,81.0,75.0,25.0,26.0,26.0,25.0,19.0,58.0,68.0,21.0,82.0,78.0,79.0,38.0,50.0,49.0,68.74084919472914
2020-03-19,41.0,27.0,46.0,46.0,0.0,62.0,50.0,53.0,77.0,52.0,49.0,92.0,58.0,33.0,73.0,93.0,46.0,40.0,13.0,38.0,72.40117130307469
2020-03-20,40.0,38.0,68.0,76.0,54.0,45.0,24.0,90.0,89.0,63.0,47.0,75.0,79.0,32.0,71.0,77.0,100.0,66.0,100.0,100.0,97.65739385065885
2020-03-21,23.0,15.0,0.0,0.0,44.0,100.0,55.0,43.0,56.0,28.0,42.0,33.0,50.0,48.0,64.0,59.0,87.0,15.0,28.0,41.0,60.834553440702784
2020-03-22,22.0,0.0,50.0,65.0,73.0,65.0,40.0,28.0,55.0,55.0,0.0,97.0,48.0,35.0,100.0,28.0,73.0,42.0,14.0,54.0,69.10688140556371
2020-03-23,45.0,46.0,50.0,81.0,73.0,54.0,100.0,69.0,23.0,100.0,59.0,53.0,20.0,75.0,83.0,35.0,30.0,47.0,23.0,55.0,82.06442166910688
2020-03-24,29.0,13.0,22.0,14.0,13.0,28.0,59.0,38.0,37.0,37.0,37.0,44.0,43.0,10.0,33.0,37.0,21.0,51.0,24.0,36.0,45.82723279648609
2020-03-25,19.0,37.0,0.0,14.0,25.0,14.0,35.0,25.0,12.0,37.0,9.0,29.0,31.0,20.0,44.0,37.0,52.0,37.0,24.0,12.0,37.55490483162519
2020-03-26,39.0,88.0,43.0,100.0,26.0,43.0,35.0,50.0,49.0,24.0,45.0,100.0,21.0,30.0,44.0,49.0,42.0,49.0,73.0,24.0,71.30307467057101
2020-03-27,37.0,36.0,31.0,69.0,37.0,41.0,22.0,60.0,35.0,58.0,34.0,41.0,51.0,29.0,43.0,35.0,84.0,36.0,58.0,91.0,67.93557833089312
2020-03-28,34.0,58.0,38.0,33.0,87.0,49.0,68.0,43.0,28.0,42.0,31.0,82.0,62.0,24.0,63.0,70.0,24.0,72.0,42.0,67.0,74.45095168374817
2020-03-29,41.0,27.0,59.0,62.0,55.0,31.0,88.0,53.0,39.0,64.0,38.0,61.0,34.0,44.0,36.0,93.0,59.0,14.0,26.0,51.0,71.37628111273794
2020-03-30,27.0,46.0,31.0,80.0,25.0,54.0,55.0,46.0,23.0,55.0,25.0,54.0,10.0,47.0,42.0,34.0,20.0,58.0,68.0,65.0,63.32357247437775
2020-03-31,28.0,0.0,10.0,27.0,37.0,41.0,22.0,24.0,0.0,23.0,26.0,0.0,52.0,19.0,11.0,0.0,31.0,12.0,23.0,11.0,29.062957540263554
2020-04-01,29.0,25.0,33.0,58.0,26.0,57.0,23.0,50.0,25.0,24.0,27.0,29.0,43.0,10.0,33.0,25.0,65.0,12.0,0.0,24.0,45.24158125915081
2020-04-02,0.0,12.0,11.0,43.0,51.0,14.0,0.0,12.0,12.0,24.0,0.0,14.0,21.0,20.0,44.0,36.0,42.0,12.0,0.0,35.0,29.502196193265004
2020-04-03,29.0,25.0,22.0,14.0,0.0,14.0,23.0,0.0,37.0,12.0,27.0,28.0,11.0,10.0,11.0,37.0,32.0,25.0,24.0,0.0,27.89165446559297
2020-04-04,11.0,44.0,0.0,35.0,45.0,50.0,28.0,0.0,57.0,43.0,22.0,17.0,37.0,36.0,39.0,14.0,50.0,15.0,29.0,28.0,43.92386530014642
