date,/g/11j8_9sv06_0,/g/11j8_9sv06_1,/g/11j8_9sv06_2,/g/11j8_9sv06_3,/g/11j8_9sv06_4,/g/11j8_9sv06_5,/g/11j8_9sv06_6,/g/11j8_9sv06_7,/g/11j8_9sv06_8,/g/11j8_9sv06_9,/g/11j8_9sv06
2020-05-17,13.0,21.0,11.0,12.0,21.0,25.0,23.0,27.0,19.0,0.0,17.659137577002053
2020-05-18,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,2.2587268993839835
2020-05-19,11.0,19.0,20.0,11.0,0.0,11.0,21.0,0.0,0.0,24.0,12.012320328542094
2020-05-20,6.0,10.0,33.0,23.0,7.0,24.0,0.0,0.0,19.0,25.0,15.092402464065708
2020-05-21,7.0,12.0,37.0,26.0,16.0,27.0,50.0,0.0,0.0,29.0,20.94455852156057
2020-05-22,6.0,0.0,11.0,0.0,7.0,25.0,23.0,0.0,10.0,14.0,9.856262833675563
2020-05-23,14.0,35.0,0.0,39.0,0.0,27.0,26.0,0.0,32.0,30.0,20.84188911704312
2020-05-24,7.0,12.0,13.0,0.0,8.0,41.0,26.0,45.0,22.0,30.0,20.94455852156057
2020-05-25,6.0,10.0,10.0,0.0,13.0,11.0,0.0,12.0,9.0,12.0,8.521560574948666
2020-05-26,18.0,20.0,11.0,45.0,13.0,12.0,0.0,25.0,18.0,25.0,19.199178644763858
2020-05-27,6.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.7453798767967146
2020-05-28,0.0,19.0,10.0,0.0,7.0,0.0,11.0,0.0,0.0,12.0,6.057494866529773
2020-05-29,6.0,10.0,0.0,11.0,7.0,0.0,0.0,12.0,9.0,25.0,8.213552361396303
2020-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,21.0,24.0,13.0,0.0,16.0,28.0,13.0,0.0,22.0,15.0,15.605749486652977
2020-06-01,0.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,13.0,3.9014373716632442
2020-06-02,0.0,0.0,10.0,0.0,0.0,11.0,10.0,12.0,0.0,0.0,4.414784394250513
2020-06-03,11.0,0.0,10.0,10.0,0.0,0.0,20.0,11.0,0.0,0.0,6.365503080082135
2020-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-05,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.7186858316221766
