date,/m/05w_j_0,/m/05w_j_1,/m/05w_j_2,/m/05w_j_3,/m/05w_j_4,/m/05w_j_5,/m/05w_j_6,/m/05w_j_7,/m/05w_j_8,/m/05w_j_9,/m/05w_j
2020-04-16,26.0,0.0,0.0,19.0,19.0,15.0,9.0,13.0,20.0,10.0,14.539400665926749
2020-04-17,13.0,16.0,26.0,19.0,0.0,15.0,28.0,13.0,0.0,21.0,16.759156492785795
2020-04-18,13.0,16.0,26.0,75.0,19.0,31.0,9.0,13.0,20.0,11.0,25.86015538290788
2020-04-19,27.0,34.0,28.0,20.0,20.0,16.0,10.0,28.0,11.0,0.0,21.53163152053274
2020-04-20,51.0,31.0,38.0,54.0,19.0,59.0,44.0,38.0,30.0,31.0,43.840177580466154
2020-04-21,0.0,16.0,13.0,0.0,19.0,0.0,9.0,13.0,0.0,10.0,8.879023307436183
2020-04-22,39.0,32.0,0.0,19.0,19.0,15.0,18.0,26.0,10.0,10.0,20.86570477247503
2020-04-23,0.0,0.0,13.0,0.0,19.0,15.0,9.0,25.0,20.0,10.0,12.319644839067703
2020-04-24,0.0,16.0,13.0,0.0,0.0,15.0,0.0,27.0,21.0,11.0,11.431742508324085
2020-04-25,14.0,17.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,22.0,7.991120976692565
2020-04-26,28.0,17.0,14.0,20.0,42.0,0.0,20.0,14.0,0.0,23.0,19.755826859045506
2020-04-27,24.0,15.0,12.0,18.0,0.0,29.0,9.0,0.0,0.0,10.0,12.985571587125417
2020-04-28,34.0,14.0,23.0,49.0,67.0,39.0,0.0,23.0,9.0,9.0,29.63374028856826
2020-04-29,35.0,71.0,35.0,83.0,69.0,54.0,8.0,58.0,9.0,37.0,50.943396226415096
2020-04-30,0.0,14.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,9.0,3.9955604883462823
2020-05-01,12.0,0.0,0.0,0.0,18.0,14.0,0.0,12.0,0.0,10.0,7.32519422863485
2020-05-02,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.552719200887902
2020-05-03,0.0,0.0,13.0,19.0,0.0,16.0,0.0,13.0,0.0,11.0,7.991120976692565
2020-05-04,12.0,0.0,23.0,16.0,0.0,41.0,16.0,12.0,9.0,0.0,14.317425083240844
2020-05-05,0.0,0.0,11.0,15.0,0.0,12.0,8.0,0.0,0.0,17.0,6.992230854605994
2020-05-06,48.0,15.0,12.0,52.0,71.0,28.0,25.0,36.0,37.0,19.0,38.068812430632626
2020-05-07,12.0,15.0,25.0,70.0,0.0,43.0,0.0,12.0,10.0,10.0,21.8645948945616
2020-05-08,13.0,16.0,0.0,19.0,0.0,0.0,9.0,0.0,0.0,11.0,7.547169811320755
2020-05-09,13.0,17.0,54.0,38.0,20.0,31.0,9.0,27.0,10.0,11.0,25.527192008879023
2020-05-10,50.0,31.0,13.0,36.0,56.0,29.0,9.0,25.0,20.0,20.0,32.07547169811321
2020-05-11,12.0,59.0,36.0,35.0,18.0,28.0,0.0,24.0,37.0,19.0,29.744728079911212
2020-05-12,25.0,32.0,13.0,37.0,19.0,15.0,9.0,39.0,41.0,10.0,26.637069922308548
2020-05-13,0.0,0.0,13.0,0.0,0.0,15.0,0.0,13.0,10.0,0.0,5.660377358490566
2020-05-14,26.0,16.0,26.0,0.0,58.0,45.0,0.0,52.0,30.0,0.0,28.079911209766927
2020-05-15,53.0,66.0,53.0,19.0,99.0,32.0,38.0,27.0,21.0,21.0,47.61376248612653
2020-05-16,0.0,37.0,15.0,0.0,22.0,35.0,32.0,15.0,12.0,12.0,19.97780244173141
2020-05-17,0.0,19.0,31.0,0.0,45.0,18.0,11.0,47.0,0.0,13.0,20.421753607103216
2020-05-18,0.0,0.0,13.0,0.0,0.0,15.0,9.0,0.0,0.0,10.0,5.216426193118758
2020-05-19,38.0,62.0,26.0,37.0,0.0,30.0,9.0,13.0,20.0,31.0,29.52275249722531
2020-05-20,53.0,33.0,0.0,39.0,78.0,47.0,9.0,27.0,53.0,21.0,39.95560488346282
2020-05-21,15.0,36.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,8.435072142064373
2020-05-22,13.0,16.0,0.0,0.0,0.0,15.0,9.0,13.0,0.0,20.0,9.544950055493896
2020-05-23,28.0,34.0,28.0,0.0,84.0,33.0,29.0,28.0,33.0,57.0,39.28967813540511
2020-05-24,14.0,0.0,0.0,40.0,0.0,33.0,0.0,14.0,11.0,23.0,14.983351831298558
2020-05-25,0.0,16.0,26.0,0.0,57.0,45.0,27.0,51.0,49.0,51.0,35.73806881243064
2020-05-26,39.0,16.0,13.0,56.0,38.0,30.0,27.0,26.0,31.0,10.0,31.74250832408435
2020-05-27,13.0,16.0,13.0,19.0,58.0,15.0,27.0,39.0,30.0,10.0,26.637069922308548
2020-05-28,13.0,15.0,13.0,0.0,19.0,0.0,18.0,0.0,0.0,21.0,10.987791342952276
2020-05-29,0.0,33.0,0.0,19.0,0.0,15.0,9.0,13.0,0.0,0.0,9.877913429522753
2020-05-30,0.0,0.0,15.0,21.0,0.0,0.0,11.0,30.0,12.0,0.0,9.877913429522753
2020-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,12.0,4.772475027746948
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,25.0,31.0,38.0,18.0,37.0,44.0,27.0,37.0,10.0,30.0,32.963374028856826
2020-06-03,23.0,29.0,0.0,17.0,18.0,28.0,0.0,0.0,28.0,9.0,16.870144284128745
2020-06-04,34.0,14.0,0.0,17.0,17.0,14.0,8.0,23.0,27.0,28.0,20.199778024417316
2020-06-05,12.0,0.0,24.0,34.0,18.0,14.0,8.0,36.0,19.0,19.0,20.421753607103216
2020-06-06,28.0,0.0,14.0,20.0,0.0,16.0,10.0,42.0,11.0,11.0,16.870144284128745
2020-06-07,0.0,0.0,15.0,21.0,21.0,17.0,0.0,0.0,0.0,12.0,9.544950055493896
2020-06-08,23.0,14.0,0.0,16.0,33.0,0.0,8.0,22.0,26.0,27.0,18.756936736958934
2020-06-09,24.0,0.0,0.0,0.0,35.0,0.0,8.0,0.0,18.0,10.0,10.543840177580467
2020-06-10,39.0,0.0,13.0,55.0,19.0,30.0,18.0,26.0,10.0,10.0,24.417314095449502
2020-06-11,13.0,15.0,0.0,36.0,19.0,29.0,0.0,0.0,0.0,20.0,14.6503884572697
2020-06-12,13.0,0.0,0.0,18.0,38.0,30.0,9.0,13.0,10.0,21.0,16.870144284128745
2020-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,13.0,0.0,25.0,0.0,37.0,15.0,27.0,13.0,10.0,20.0,17.758046614872367
2020-06-16,0.0,15.0,0.0,0.0,18.0,0.0,9.0,12.0,10.0,0.0,7.103218645948946
2020-06-17,25.0,31.0,25.0,18.0,37.0,44.0,18.0,13.0,19.0,10.0,26.637069922308548
2020-06-18,26.0,47.0,0.0,19.0,19.0,15.0,9.0,13.0,0.0,10.0,17.53607103218646
2020-06-19,40.0,33.0,41.0,39.0,100.0,47.0,28.0,0.0,11.0,43.0,42.397336293007776
2020-06-20,0.0,19.0,16.0,45.0,23.0,18.0,11.0,16.0,12.0,25.0,20.532741398446174
2020-06-21,0.0,0.0,0.0,21.0,65.0,18.0,10.0,44.0,12.0,0.0,18.867924528301888
2020-06-22,27.0,17.0,0.0,40.0,20.0,0.0,10.0,41.0,22.0,11.0,20.86570477247503
2020-06-23,0.0,35.0,29.0,40.0,63.0,65.0,30.0,29.0,33.0,11.0,37.18091009988901
2020-06-24,0.0,35.0,29.0,20.0,42.0,0.0,20.0,28.0,11.0,12.0,21.8645948945616
2020-06-25,57.0,52.0,72.0,82.0,84.0,67.0,40.0,29.0,22.0,35.0,59.93340732519423
2020-06-26,0.0,0.0,0.0,20.0,42.0,17.0,0.0,42.0,11.0,0.0,14.6503884572697
2020-06-27,30.0,18.0,0.0,63.0,22.0,17.0,31.0,15.0,35.0,12.0,26.970033296337405
2020-06-28,13.0,16.0,14.0,0.0,40.0,16.0,0.0,14.0,21.0,0.0,14.872364039955606
2020-06-29,26.0,32.0,52.0,37.0,38.0,0.0,27.0,26.0,20.0,21.0,30.965593784683687
2020-06-30,40.0,48.0,13.0,38.0,58.0,15.0,19.0,13.0,10.0,21.0,30.521642619311876
2020-07-01,66.0,32.0,40.0,57.0,39.0,46.0,28.0,40.0,10.0,32.0,43.28523862375139
2020-07-02,27.0,50.0,41.0,39.0,61.0,48.0,19.0,0.0,32.0,22.0,37.624861265260826
2020-07-03,42.0,69.0,28.0,40.0,42.0,16.0,30.0,43.0,11.0,11.0,36.84794672586016
2020-07-04,15.0,37.0,30.0,0.0,22.0,52.0,32.0,15.0,35.0,12.0,27.74694783573807
2020-07-05,0.0,36.0,15.0,0.0,22.0,0.0,10.0,15.0,11.0,0.0,12.0976692563818
2020-07-06,13.0,65.0,14.0,39.0,60.0,31.0,19.0,14.0,31.0,0.0,31.74250832408435
2020-07-07,42.0,34.0,14.0,40.0,42.0,16.0,39.0,42.0,22.0,34.0,36.07103218645949
2020-07-08,68.0,100.0,69.0,58.0,100.0,80.0,57.0,68.0,96.0,100.0,88.34628190899001
2020-07-09,100.0,87.0,100.0,82.0,63.0,100.0,100.0,100.0,100.0,69.0,100.0
2020-07-10,15.0,0.0,14.0,0.0,43.0,0.0,61.0,15.0,45.0,23.0,23.973362930077695
2020-07-11,35.0,43.0,35.0,50.0,26.0,20.0,12.0,0.0,14.0,28.0,29.18978912319645
2020-07-12,53.0,43.0,18.0,25.0,53.0,41.0,25.0,18.0,0.0,29.0,33.85127635960045
